==========================================================================================
PAN-INDIA DISTRICT-COMPLETE EDUCATIONAL INSTITUTION COLLECTION ORDER & AUDIT REPORT
==========================================================================================
Generated: 2026-09-08 15:49:20
Total Official Districts: 787
Total Districts Processed: 787
Total Districts Skipped: 0
Total Unique Institutions: 17,872
==========================================================================================
State #  State / UT Name                     Dist #   District Name                  Status                    Institutions
------------------------------------------------------------------------------------------
1        Andhra Pradesh                      1        Alluri Sitharama Raju          COMPLETE                  24          
1        Andhra Pradesh                      2        Anakapalli                     COMPLETE                  24          
1        Andhra Pradesh                      3        Ananthapuramu                  COMPLETE                  24          
1        Andhra Pradesh                      4        Annamayya                      COMPLETE                  24          
1        Andhra Pradesh                      5        Bapatla                        COMPLETE                  24          
1        Andhra Pradesh                      6        Chittoor                       COMPLETE                  24          
1        Andhra Pradesh                      7        Dr. B.R. Ambedkar Konaseema    COMPLETE                  24          
1        Andhra Pradesh                      8        East Godavari                  COMPLETE                  21          
1        Andhra Pradesh                      9        Eluru                          COMPLETE                  24          
1        Andhra Pradesh                      10       Guntur                         COMPLETE                  26          
1        Andhra Pradesh                      11       Kakinada                       COMPLETE                  25          
1        Andhra Pradesh                      12       Krishna                        COMPLETE                  24          
1        Andhra Pradesh                      13       Kurnool                        COMPLETE                  25          
1        Andhra Pradesh                      14       Nandyal                        COMPLETE                  24          
1        Andhra Pradesh                      15       NTR                            COMPLETE                  24          
1        Andhra Pradesh                      16       Palnadu                        COMPLETE                  24          
1        Andhra Pradesh                      17       Parvathipuram Manyam           COMPLETE                  24          
1        Andhra Pradesh                      18       Prakasam                       COMPLETE                  24          
1        Andhra Pradesh                      19       SPSR Nellore                   COMPLETE                  24          
1        Andhra Pradesh                      20       Sri Sathya Sai                 COMPLETE                  24          
1        Andhra Pradesh                      21       Srikakulam                     COMPLETE                  24          
1        Andhra Pradesh                      22       Tirupati                       COMPLETE                  26          
1        Andhra Pradesh                      23       Visakhapatnam                  COMPLETE                  27          
1        Andhra Pradesh                      24       Vizianagaram                   COMPLETE                  24          
1        Andhra Pradesh                      25       West Godavari                  COMPLETE                  24          
1        Andhra Pradesh                      26       YSR Kadapa                     COMPLETE                  24          
2        Arunachal Pradesh                   1        Anjaw                          COMPLETE                  24          
2        Arunachal Pradesh                   2        Changlang                      COMPLETE                  24          
2        Arunachal Pradesh                   3        Dibang Valley                  COMPLETE                  24          
2        Arunachal Pradesh                   4        East Kameng                    COMPLETE                  21          
2        Arunachal Pradesh                   5        East Siang                     COMPLETE                  22          
2        Arunachal Pradesh                   6        Kamle                          COMPLETE                  24          
2        Arunachal Pradesh                   7        Kra Daadi                      COMPLETE                  24          
2        Arunachal Pradesh                   8        Kurung Kumey                   COMPLETE                  24          
2        Arunachal Pradesh                   9        Lepa Rada                      COMPLETE                  24          
2        Arunachal Pradesh                   10       Lohit                          COMPLETE                  24          
2        Arunachal Pradesh                   11       Longding                       COMPLETE                  24          
2        Arunachal Pradesh                   12       Lower Dibang Valley            COMPLETE                  24          
2        Arunachal Pradesh                   13       Lower Siang                    COMPLETE                  24          
2        Arunachal Pradesh                   14       Lower Subansiri                COMPLETE                  24          
2        Arunachal Pradesh                   15       Namsai                         COMPLETE                  24          
2        Arunachal Pradesh                   16       Pakke Kessang                  COMPLETE                  24          
2        Arunachal Pradesh                   17       Papum Pare                     COMPLETE                  28          
2        Arunachal Pradesh                   18       Shi Yomi                       COMPLETE                  24          
2        Arunachal Pradesh                   19       Siang                          COMPLETE                  24          
2        Arunachal Pradesh                   20       Tawang                         COMPLETE                  24          
2        Arunachal Pradesh                   21       Tirap                          COMPLETE                  24          
2        Arunachal Pradesh                   22       Upper Siang                    COMPLETE                  24          
2        Arunachal Pradesh                   23       Upper Subansiri                COMPLETE                  24          
2        Arunachal Pradesh                   24       West Kameng                    COMPLETE                  24          
2        Arunachal Pradesh                   25       West Siang                     COMPLETE                  24          
2        Arunachal Pradesh                   26       Keyi Panyor                    COMPLETE                  3           
2        Arunachal Pradesh                   27       Bichom                         COMPLETE                  3           
3        Assam                               1        Baksa                          COMPLETE                  24          
3        Assam                               2        Barpeta                        COMPLETE                  24          
3        Assam                               3        Biswanath                      COMPLETE                  24          
3        Assam                               4        Bongaigaon                     COMPLETE                  24          
3        Assam                               5        Cachar                         COMPLETE                  24          
3        Assam                               6        Charaideo                      COMPLETE                  24          
3        Assam                               7        Chirang                        COMPLETE                  24          
3        Assam                               8        Darrang                        COMPLETE                  24          
3        Assam                               9        Dhemaji                        COMPLETE                  24          
3        Assam                               10       Dhubri                         COMPLETE                  24          
3        Assam                               11       Dibrugarh                      COMPLETE                  24          
3        Assam                               12       Dima Hasao                     COMPLETE                  24          
3        Assam                               13       Goalpara                       COMPLETE                  24          
3        Assam                               14       Golaghat                       COMPLETE                  24          
3        Assam                               15       Hailakandi                     COMPLETE                  24          
3        Assam                               16       Hojai                          COMPLETE                  24          
3        Assam                               17       Jorhat                         COMPLETE                  25          
3        Assam                               18       Kamrup                         COMPLETE                  26          
3        Assam                               19       Kamrup Metropolitan            COMPLETE                  26          
3        Assam                               20       Karbi Anglong                  COMPLETE                  24          
3        Assam                               21       Karimganj                      COMPLETE                  24          
3        Assam                               22       Kokrajhar                      COMPLETE                  24          
3        Assam                               23       Lakhimpur                      COMPLETE                  24          
3        Assam                               24       Majuli                         COMPLETE                  24          
3        Assam                               25       Morigaon                       COMPLETE                  24          
3        Assam                               26       Nagaon                         COMPLETE                  24          
3        Assam                               27       Nalbari                        COMPLETE                  24          
3        Assam                               28       Sivasagar                      COMPLETE                  24          
3        Assam                               29       Sonitpur                       COMPLETE                  25          
3        Assam                               30       South Salmara-Mankachar        COMPLETE                  24          
3        Assam                               31       Tamulpur                       COMPLETE                  3           
