sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,sector,programme,annual_intake,state,academic_year,page_number,extraction_timestamp,source_url
1,Ahilya Bai College Of Nursing,"Ahilya Bai College Of Nursing, Lok Nayak Hospital, New Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110002",Government Of Delhi,Central Delhi,Government,B.Sc(N),40 (Forty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,Akansha Institute Of Nursing,"Akansha Institute Of Nursing, Rz-C-117, Gopla Nagar, Najafgarh, Distt.- South West Delhi, Delhi, Pin Code- 110043",Gaur Educational And Research Organization,South West Delhi,Private,ANM,30 (Thirty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,Akansha Institute Of Nursing,"Akansha Institute Of Nursing, Rz-C-117, Gopla Nagar, Najafgarh, Distt.- South West Delhi, Delhi, Pin Code- 110043",Gaur Educational And Research Organization,South West Delhi,Private,GNM,20 (Twenty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
3,Baba Hari Dass Institute Of Nursing Education,"Baba Hari Dass Institute Of Nursing Education,, Village Jharoda Kalan, Vill.- Jharoda Kalan, Tehsil- Najafgarh, Distt.- South West Delhi, Delhi, Pin Code- 110072",Jan Kalyani Society,South West Delhi,Private,ANM,30 (Thirty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
3,Baba Hari Dass Institute Of Nursing Education,"Baba Hari Dass Institute Of Nursing Education,, Village Jharoda Kalan, Vill.- Jharoda Kalan, Tehsil- Najafgarh, Distt.- South West Delhi, Delhi, Pin Code- 110072",Jan Kalyani Society,South West Delhi,Private,GNM,40 (Forty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
4,Brahm Shakti School Of Nursing,"Brahm Shakti School Of Nursing, U-A/78 Budh Vihar Main Kanjhawla Road, Delhi, Distt.- North West Delhi, Delhi, Pin Code- 110086",Brahm Shakti Trust,North West Delhi,Private,GNM,40 (Forty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
5,College Of Nursing Institute Of Liver And Biliary Sciences,"College Of Nursing Institute Of Liver And Biliary Sciences, D - 1, Vasant Kunj , New Delhi , Distt.- South Delhi, Delhi, Pin Code- 110070",Govt. Of Delhi,South Delhi,Government,M. Sc (N),"30 (Thirty) Gastro Enterology-25, Nephro-Urology- 05",Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
6,College Of Nursing,"College Of Nursing, College Of Nursing Aiims Ansari Nagar , New Delhi , Distt.- Central Delhi, Delhi, Pin Code- 110029",Govt. Of Delhi,Central Delhi,Government,B.Sc(N),50 (Fifty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
6,College Of Nursing,"College Of Nursing, College Of Nursing Aiims Ansari Nagar , New Delhi , Distt.- Central Delhi, Delhi, Pin Code- 110029",Govt. Of Delhi,Central Delhi,Government,M. Sc (N),14 (Fourteen),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
6,College Of Nursing,"College Of Nursing, College Of Nursing Aiims Ansari Nagar , New Delhi , Distt.- Central Delhi, Delhi, Pin Code- 110029",Govt. Of Delhi,Central Delhi,Government,P B B.Sc(N),20 (Twenty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
