sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,sector,programme,annual_intake,state,academic_year,page_number,extraction_timestamp,source_url
1,Ahilya Bai College Of Nursing,"Ahilya Bai College Of Nursing, Lok Nayak Hospital, New Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110002",Government Of Delhi,Central Delhi,Government,B.Sc(N),40 (Forty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,College Of Nursing,"College Of Nursing, College Of Nursing Aiims Ansari Nagar , New Delhi , Distt.- Central Delhi, Delhi, Pin Code- 110029",Govt. Of Delhi,Central Delhi,Government,B.Sc(N),50 (Fifty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,College Of Nursing,"College Of Nursing, College Of Nursing Aiims Ansari Nagar , New Delhi , Distt.- Central Delhi, Delhi, Pin Code- 110029",Govt. Of Delhi,Central Delhi,Government,M. Sc (N),14 (Fourteen),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,College Of Nursing,"College Of Nursing, College Of Nursing Aiims Ansari Nagar , New Delhi , Distt.- Central Delhi, Delhi, Pin Code- 110029",Govt. Of Delhi,Central Delhi,Government,P B B.Sc(N),20 (Twenty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
3,College Of Nursing,"College Of Nursing, Kasturba Hospital, Darya Ganj, Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110002",Government Of Delhi,Central Delhi,Government,B.Sc(N),20 (Twenty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
4,College Of Nursing,"College Of Nursing,, St. Stephen's Hospital Tis Hazari, Delhi, Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110054",St. Stephen's Hospital Society,Central Delhi,Private,GNM,50 (Fifty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
4,College Of Nursing,"College Of Nursing,, St. Stephen's Hospital Tis Hazari, Delhi, Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110054",St. Stephen's Hospital Society,Central Delhi,Private,B.Sc(N),50 (Fifty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
4,College Of Nursing,"College Of Nursing,, St. Stephen's Hospital Tis Hazari, Delhi, Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110054",St. Stephen's Hospital Society,Central Delhi,Private,M. Sc (N),"15 (Fifteen) Med Surg-4, Obg- 8, Psy- 3",Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
4,College Of Nursing,"College Of Nursing,, St. Stephen's Hospital Tis Hazari, Delhi, Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110054",St. Stephen's Hospital Society,Central Delhi,Private,P B B.Sc(N),20 (Twenty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
5,Dr Ram Manohar Lohia Hospital,"Dr Ram Manohar Lohia Hospital, College Of Nursing, College Of Nusing Dr.Rml Hospital, New Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110001",Govenment Of Delhi,Central Delhi,Government,B.Sc(N),50 (Fifty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
6,Sir Ganga Ram Hospital,"Sir Ganga Ram Hospital, , New Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110060",Sir Ganga Ram Trust,Central Delhi,Private,GNM,40 (Forty),Delhi,2025-2026,1,2026-09-11T10:44:41.048156,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
