inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Delhi|Central Delhi|AHILYA BAI COLLEGE OF NURSING,Ahilya Bai College Of Nursing,"Ahilya Bai College Of Nursing, Lok Nayak Hospital, New Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110002",Government Of Delhi,Central Delhi,Delhi,Government,B.Sc(N),40 (Forty),40,110002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|South West Delhi|AKANSHA INSTITUTE OF NURSING,Akansha Institute Of Nursing,"Akansha Institute Of Nursing, Rz-C-117, Gopla Nagar, Najafgarh, Distt.- South West Delhi, Delhi, Pin Code- 110043",Gaur Educational And Research Organization,South West Delhi,Delhi,Private,ANM | GNM,30 (Thirty) | 20 (Twenty),50,110043,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|South West Delhi|BABA HARI DASS INSTITUTE OF NURSING EDUCATION,Baba Hari Dass Institute Of Nursing Education,"Baba Hari Dass Institute Of Nursing Education,, Village Jharoda Kalan, Vill.- Jharoda Kalan, Tehsil- Najafgarh, Distt.- South West Delhi, Delhi, Pin Code- 110072",Jan Kalyani Society,South West Delhi,Delhi,Private,ANM | GNM,30 (Thirty) | 40 (Forty),70,110072,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|North West Delhi|BRAHM SHAKTI SCHOOL OF NURSING,Brahm Shakti School Of Nursing,"Brahm Shakti School Of Nursing, U-A/78 Budh Vihar Main Kanjhawla Road, Delhi, Distt.- North West Delhi, Delhi, Pin Code- 110086",Brahm Shakti Trust,North West Delhi,Delhi,Private,GNM,40 (Forty),40,110086,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|South Delhi|COLLEGE OF NURSING INSTITUTE OF LIVER AND BILIARY SCIENCES,College Of Nursing Institute Of Liver And Biliary Sciences,"College Of Nursing Institute Of Liver And Biliary Sciences, D - 1, Vasant Kunj , New Delhi , Distt.- South Delhi, Delhi, Pin Code- 110070",Govt. Of Delhi,South Delhi,Delhi,Government,M. Sc (N),"30 (Thirty) Gastro Enterology-25, Nephro-Urology- 05",30,110070,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|Central Delhi|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, College Of Nursing Aiims Ansari Nagar , New Delhi , Distt.- Central Delhi, Delhi, Pin Code- 110029",Govt. Of Delhi,Central Delhi,Delhi,Government,B.Sc(N) | M. Sc (N) | P B B.Sc(N) | GNM,50 (Fifty) | 14 (Fourteen) | 20 (Twenty) | 50 (Fifty),134,110029,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|North Delhi|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Hindu Rao Hospital, Malka Ganj, Delhi, Distt.- North Delhi, Delhi, Pin Code- 110007",Government Of Delhi,North Delhi,Delhi,Government,B.Sc(N),20 (Twenty),20,110007,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|South Delhi|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, V M M C & Safdarjang Hospital, New Delhi, New Delhi , Distt.- South Delhi, Delhi, Pin Code- 110029",Government Of Delhi,South Delhi,Delhi,Government,B.Sc(N),50 (Fifty),50,110029,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|New Delhi|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing,, Lady Hardinge Medical College And Associated Hospitals,, , Distt.- New Delhi, Delhi, Pin Code- 110001",Government Of Delhi,New Delhi,Delhi,Government,B.Sc(N),50 (Fifty),50,110001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
Delhi|South West Delhi|DELHI COLLEGE OF NURSING,Delhi College Of Nursing,"Delhi College Of Nursing, 3 A,4 A,5 &Amp; 5 A(B), Phase I, Shyam Vihar, Roshanpura, Distt.- South West Delhi, Delhi, Pin Code- 110043",Shri Shyama Health Trust,South West Delhi,Delhi,Private,GNM,30 (Thirty),30,110043,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T10:43:59.001711
