inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
INC|ANDAMAN & NICOB|ANDAMAN|ANM_TRAINING_SCHOOL_-_VAN_VIKAS_BHAVAN|744102,ANM TRAINING SCHOOL - Van Vikas Bhavan,"Anm Training School, Van Vikas Bhavan,Haddo,Sri Vijaya Puram,Andamans,Andaman & Nicobar Islands, Sri Vijaya Puram (Portblair), Distt.- Andaman, Andaman & Nicobar, Pin Code- 744102",Mohfw,Andaman,Andaman & Nicobar,Government,ANM | GNM,30 (Thirty) | 20 (Twenty),50,744102,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:27.868133
INC|ANDHRA PRADESH|ANANTHAPUR|ADARSHA_COLLEGE_OF_NURSING|515004,Adarsha College Of Nursing,"Adarsha College Of Nursing , Mahanandi Irrigation System Back Side, K.K. Colony, Kalyandurg Road, Vill.- Anantapur, Tehsil- Anantapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515004",Sri Venkateswara Educational Society,Ananthapur,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),50,515004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
INC|ANDHRA PRADESH|ANANTHAPUR|ADARSHA_SCHOOL_OF_NURSING|515004,Adarsha School Of Nursing,"Adarsha School Of Nursing, Mahanandi Irrigation System Back Side, K.K. Colony, Kalyandurg Road, Vill.- Anantapur, Tehsil- Anantapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515004",Sri Venkateswara Educational Society,Ananthapur,Andhra Pradesh,Private,GNM,40 (Forty),40,515004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
INC|ANDHRA PRADESH|ANANTHAPUR|GOVT_COLLEGE_OF_NURSING_-_PRINCIPAL|515005,GOVT COLLEGE OF NURSING - Principal,"Govt College Of Nursing, Principal, Govt.College Of B.Sc Nursing, Jntu Road,, Anantapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515005",Andhra Pradesh,Ananthapur,Andhra Pradesh,Government,B.Sc(N),50 (Fifty),50,515005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:08:05.974648
INC|ANDHRA PRADESH|ANANTHAPUR|JEEVAN_JYOTHI_HOSPITAL_SCHOOL_OF_NURSING|515001,Jeevan Jyothi Hospital School Of Nursing,"Jeevan Jyothi Hospital School Of Nursing, # 15/381, Kamala Nagar, , Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515001",Jeevan Jothi Hospitals Pvt. Ltd.,Ananthapur,Andhra Pradesh,Private,GNM,40 (Forty),40,515001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:08:15.164812
INC|ANDHRA PRADESH|ANANTHAPUR|NIRMALA_SCHOOL_OF_NURSING|515004,Nirmala School Of Nursing,"Nirmala School Of Nursing, #1-1479,Lakshmi Srinivasa Nagar,Rudram Peta,, Vill.- Rudrampeta, Tehsil- Anantapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515004",Bhagawan Sri Sai Educational Society,Ananthapur,Andhra Pradesh,Private,GNM | B.Sc(N),60 (Sixty) | 40 (Forty),100,515004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:08:24.322006
INC|ANDHRA PRADESH|ANANTHAPUR|R_D_T_SCHOOL_OF_NURSING|515661,R D T School Of Nursing,"R D T School Of Nursing, Rdt Hospital Campus,Kadiri Road, Bathalapalli, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515661",Rural Development Trust,Ananthapur,Andhra Pradesh,Private,GNM,45 (Forty Five),45,515661,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:08:24.322006
INC|ANDHRA PRADESH|ANANTHAPUR|SAVEERA_COLLEGE_OF_NURSING|515001,Saveera College Of Nursing,"Saveera College Of Nursing, 1/1348/Srinagar Colony Extensionnh44 Backside Fordshowroom Saveera Hospital Premises Anantapur, Ananthapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515001",Saveera Educational And Rural Development Society,Ananthapur,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),50,515001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:08:33.499329
INC|ANDHRA PRADESH|ANANTHAPUR|SRI_ADI_SIVA_SADGURU_ALLI_SAHEB_SIVARULA|515801,Sri Adi Siva Sadguru Alli Saheb Sivarula,"Sri Adi Siva Sadguru Alli Saheb Sivarula, School Of Nursing, Opp Govt Area Hospital, Guntakal, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515801",Sri Venkata Padmavathi Educational Service Society,Ananthapur,Andhra Pradesh,Private,GNM,30 (Thirty),30,515801,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:08:42.409204
INC|ANDHRA PRADESH|ANANTHAPUR|SRI_RAMYA_SAI_SCHOOL_OF_NURSING|515801,Sri Ramya Sai School Of Nursing,"Sri Ramya Sai School Of Nursing, Near Sri Padmvathi Srinivasa Hospital, Vijaya Nagar Colony-South, Vill.- Guntakal, Tehsil- Guntakal, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515801",Sri Ramya Sri Educational Society,Ananthapur,Andhra Pradesh,Private,GNM,40 (Forty),40,515801,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:08:42.409204
