inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Andhra Pradesh|Visakhapatnam|A M G - DR SATYAVEDAM SCHOOL OF NURSING,A M G - Dr Satyavedam School Of Nursing,"A M G - Dr Satyavedam School Of Nursing, D.No: 51-1-3&4, Seethammadhara, Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 530013",A M G India International Society,Visakhapatnam,Andhra Pradesh,Private,GNM,50 (Fifty),50,530013,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|Guntur|A M G - DR SATYAVEDAM SCHOOL OF NURSING,A M G - Dr Satyavedam School Of Nursing,"A M G - Dr Satyavedam School Of Nursing, Post Box No:12,Gt Road,Amg Campus,, Vill.- Chilakaluripet, Tehsil- Chilakaluripet, Distt.- Guntur, Andhra Pradesh, Pin Code- 522616",A M G India International,Guntur,Andhra Pradesh,Private,GNM,40 (Forty),40,522616,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|Visakhapatnam|ACADEMY OF LIFE SCIENCES- NURSING,Academy Of Life Sciences- Nursing,"Academy Of Life Sciences- Nursing,, N R I Hospital, Gurudwara,Seethammadhara,, Visakhapatnam, Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 530013",Gadadhar Educational Society,Visakhapatnam,Andhra Pradesh,Private,B.Sc(N),60 (Sixty),60,530013,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|Ananthapur|ADARSHA COLLEGE OF NURSING,Adarsha College Of Nursing,"Adarsha College Of Nursing , Mahanandi Irrigation System Back Side, K.K. Colony, Kalyandurg Road, Vill.- Anantapur, Tehsil- Anantapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515004",Sri Venkateswara Educational Society,Ananthapur,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),50,515004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|Ananthapur|ADARSHA SCHOOL OF NURSING,Adarsha School Of Nursing,"Adarsha School Of Nursing, Mahanandi Irrigation System Back Side, K.K. Colony, Kalyandurg Road, Vill.- Anantapur, Tehsil- Anantapur, Distt.- Ananthapur, Andhra Pradesh, Pin Code- 515004",Sri Venkateswara Educational Society,Ananthapur,Andhra Pradesh,Private,GNM,40 (Forty),40,515004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|East Godavari|ADITYA COLLEGE OF NURSING,Aditya College Of Nursing,"Aditya College Of Nursing, Door No. 70-17A-30/5, Sasikanth Nagar, Kakinada, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533003",Aditya Academy,East Godavari,Andhra Pradesh,Private,B.Sc(N) | GNM,50 (Fifty) | 45 (Forty Five),95,533003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|Prakasam|ALURI COLLEGE OF NURSING,Aluri College Of Nursing,"Aluri College Of Nursing, Kurnool Road,Near Bus Stand, Ongole, Distt.- Prakasam, Andhra Pradesh, Pin Code- 523002",Rural India,Prakasam,Andhra Pradesh,Private,B.Sc(N),40 (Forty),40,523002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|Visakhapatnam|AMERICAN NRI COLLEGE OF NURSING,American Nri College Of Nursing,"American Nri College Of Nursing, Sangivalasa, Bheemunipatnam, Visakhapatnam , Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 531162",Anil Neerukonda Educational Society,Visakhapatnam,Andhra Pradesh,Private,B.Sc(N) | P B B.Sc(N),50 (Fifty) | 30 (Thirty),80,531162,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|Chittoor|APOLLO COLLEGE OF NURSING,Apollo College Of Nursing,"Apollo College Of Nursing, Apollo Institute Of Medical Sciences And Research (Aimsr) Campus,Saketa, Murukambattu, Vill.- Chittoor, Tehsil- Chittoor, Distt.- Chittoor, Andhra Pradesh, Pin Code- 51",Apollo Hospitals Educational And Research Foundation,Chittoor,Andhra Pradesh,Private,B.Sc(N),100 (One Hundred),100,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
Andhra Pradesh|Chittoor|ARAGONDA APOLLO COLLEGE OF NURSING,Aragonda Apollo College Of Nursing,"Aragonda Apollo College Of Nursing, Aragonda, Thavanampalli Mandal, Chittoor, Distt.- Chittoor, Andhra Pradesh, Pin Code- 517129",Apollo Hospitals Educational Trust,Chittoor,Andhra Pradesh,Private,B.Sc(N),60 (Sixty),60,517129,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
