sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Khando Drowa Sangmo Govt. Anm School Of Nursing,"Khando Drowa Sangmo Govt. Anm School Of Nursing, Khando Drowa Sangmo Govt. Anm School Of Nursing, Tawang, Distt.- Tawang, Arunachal Pradesh, Pin Code- 790104",Government Of Arunachal Pradesh,Tawang,Arunachal Pradesh,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
2,Anm Nursing School,"Anm Nursing School, District Health Society, Vill.- Namsai, Tehsil- Naharlagun, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 792103",N.A.,Papumpare,Arunachal Pradesh,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
3,Arunachal State Nursing College,"Arunachal State Nursing College, Trihms Naharlagun, Near Rajiv Gandhi Stadium, Naharlagun, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 791110",Government Of Arunachal Pradesh,Papumpare,Arunachal Pradesh,Government,Upgraded College of Nursing,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
4,Arunachal University Of Studies,"Arunachal University Of Studies, Knowledge City, Nh-52, Namsai, Dist. Namsai, Arunachal Pradesh, Namsai, Distt.- Lohit, Arunachal Pradesh, Pin Code- 792103",World Education Mission,Lohit,Arunachal Pradesh,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
4,Arunachal University Of Studies,"Arunachal University Of Studies, Knowledge City, Nh-52, Namsai, Dist. Namsai, Arunachal Pradesh, Namsai, Distt.- Lohit, Arunachal Pradesh, Pin Code- 792103",World Education Mission,Lohit,Arunachal Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
5,Government College Of Nursing,"Government College Of Nursing, Pasighat, Near, Tb Hospital, Forest Colony East Siang Arunachal Pradesh, Pasighat, Distt.- East Siang, Arunachal Pradesh, Pin Code- 791102",Govt. Of Arunachal Pradesh,East Siang,Arunachal Pradesh,Government,Upgraded College of Nursing,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
6,Health Taining And Research Centre,"Health Taining And Research Centre, School Of Nursing, Pasighat, Distt.- East Siang, Arunachal Pradesh, Pin Code- 791102",Govt. Of Arunachal Pradesh,East Siang,Arunachal Pradesh,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
7,North East Nursing College Of Health Science,"North East Nursing College Of Health Science, Nonpu, , Vill.- Doimukh, Tehsil- Itanagar, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 791109",Abo Tani Charitable Society,Papumpare,Arunachal Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
7,North East Nursing College Of Health Science,"North East Nursing College Of Health Science, Nonpu, , Vill.- Doimukh, Tehsil- Itanagar, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 791109",Abo Tani Charitable Society,Papumpare,Arunachal Pradesh,Private,P B B.Sc(N),10 (Ten),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
8,Ramakrishna Mission Hospital,"Ramakrishna Mission Hospital, Ramakrishna Missions Hospital School Of Nursing, P.O. R. K. Mission , Itanagar, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 791113",Ramakrishna Mission Hospital,Papumpare,Arunachal Pradesh,Private,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
