inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Assam|Kamrup Metro|AMIYA BHARALI SCHOOL OF NURSING,Amiya Bharali School Of Nursing,"Amiya Bharali School Of Nursing, Bidyanagar, P.O.- Khetri, P.S.- Khetri, Vill.- Bhogpur, Tehsil- Dimoria, Distt.- Kamrup Metro, Assam, Pin Code- 782403",Bharali Education Foundation,Kamrup Metro,Assam,Private,ANM | GNM | B.Sc(N),30 (Thirty) | 30 (Thirty) | 40 (Forty),100,782403,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Kamrup Metro|APOLLO COLLEGE OF NURSING & APOLLO SCHOOL OF NURSING,Apollo College Of Nursing & Apollo School Of Nursing,"Apollo College Of Nursing & Apollo School Of Nursing, Upasana Palace Complex, Dr. R.P. Road, Ganeshguri., Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781006",Apollo Hospitals Educational Trust,Kamrup Metro,Assam,Private,GNM | B.Sc(N),40 (Forty) | 70 (Seventy),110,781006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Kamrup Metro|ARMY INSTITUTE OF NURSING,Army Institute Of Nursing,"Army Institute Of Nursing, C/O 151 Base Hospital, Basistha, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781029",Army Welfare Education Society,Kamrup Metro,Assam,Government,B.Sc(N) | M. Sc (N),50 (Fifty) | 20 (Twenty) Med Surg-5 Chn-5 Obg-5 Psy-5,70,781029,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Kamrup ( Rural )|ARYA SCHOOL OF NURSING,Arya School Of Nursing,"Arya School Of Nursing, Village - Nij Sindurighopa (Chowkigate), Changsari, Distt.- Kamrup ( Rural ), Assam, Pin Code- 781101",Surakhya Trust,Kamrup ( Rural ),Assam,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),30 (Thirty) | 40 (Forty) | 50 (Fifty) | 20 (Twenty) | 30 (Thirty),170,781101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Sonitpur|ASCENT SCHOOL OF NURSING,Ascent School Of Nursing,"Ascent School Of Nursing, Saraf Tower, 3 Rd Floor, Near R.D. Motors, Nh-37 (A), Tezpur, Distt.- Sonitpur, Assam, Pin Code- 784001",Chaliha Education Foundation,Sonitpur,Assam,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,784001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Kamrup ( Rural )|ASIAN INSTITUTE OF NURSING EDUCATION,Asian Institute Of Nursing Education,"Asian Institute Of Nursing Education, Iit Road, Adjacent To Gnrc Hospitals, Sila Grant , North Guwahati, North Guwahati, Distt.- Kamrup ( Rural ), Assam, Pin Code- 781031",Institute Of Neurological Sciences Trust,Kamrup ( Rural ),Assam,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N) | Post Basic Diploma in Oncology Nursing | NURSE PRACTITIONER IN CRITICAL CARE(NPCC),50 (Fifty) | 100 (One Hundred) | 19 (Nineteen) | 25 (Twenty Five) | 10 (Ten) | 10 (Ten),214,781031,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Cachar|ASSAM INSTITUTE OF NURSING,Assam Institute Of Nursing,"Assam Institute Of Nursing, Saidpur Part-I, P.O- Sonabarighat, Silchar, Distt.- Cachar, Assam, Pin Code- 788013",Bilpar Dhamkar Yuva Parishad,Cachar,Assam,Private,GNM,30 (Thirty),30,788013,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Tinsukia|ASSAM OIL COLLEGE OF NURSING,Assam Oil College Of Nursing,"Assam Oil College Of Nursing, C/O Assam Oil Division Hospital, Digboi, Distt.- Tinsukia, Assam, Pin Code- 786171",Indian Oil Corporation Limited,Tinsukia,Assam,Private,B.Sc(N) | GNM,30 (Thirty) | 30 (Thirty),60,786171,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Kamrup Metro|BRAHMAPUTRA COLLEGE OF NURSING,Brahmaputra College Of Nursing,"Brahmaputra College Of Nursing, Sonapur, Tetelia,P.O-Gandhi Nagar, Nh-37,, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 782403",Geanjyoti National Foundation Trust,Kamrup Metro,Assam,Private,B.Sc(N),40 (Forty),40,782403,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Dibrugarh|BSC NURSING COLLEGE,Bsc Nursing College,"Bsc Nursing College, Assam Medical College Hospital, Dibrugarh, Distt.- Dibrugarh, Assam, Pin Code- 786002",Assam Government,Dibrugarh,Assam,Government,B.Sc(N),60 (Sixty),60,786002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
