sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Amiya Bharali School Of Nursing,"Amiya Bharali School Of Nursing, Bidyanagar, P.O.- Khetri, P.S.- Khetri, Vill.- Bhogpur, Tehsil- Dimoria, Distt.- Kamrup Metro, Assam, Pin Code- 782403",Bharali Education Foundation,Kamrup Metro,Assam,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
1,Amiya Bharali School Of Nursing,"Amiya Bharali School Of Nursing, Bidyanagar, P.O.- Khetri, P.S.- Khetri, Vill.- Bhogpur, Tehsil- Dimoria, Distt.- Kamrup Metro, Assam, Pin Code- 782403",Bharali Education Foundation,Kamrup Metro,Assam,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
1,Amiya Bharali School Of Nursing,"Amiya Bharali School Of Nursing, Bidyanagar, P.O.- Khetri, P.S.- Khetri, Vill.- Bhogpur, Tehsil- Dimoria, Distt.- Kamrup Metro, Assam, Pin Code- 782403",Bharali Education Foundation,Kamrup Metro,Assam,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
2,Apollo College Of Nursing & Apollo School Of Nursing,"Apollo College Of Nursing & Apollo School Of Nursing, Upasana Palace Complex, Dr. R.P. Road, Ganeshguri., Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781006",Apollo Hospitals Educational Trust,Kamrup Metro,Assam,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
2,Apollo College Of Nursing & Apollo School Of Nursing,"Apollo College Of Nursing & Apollo School Of Nursing, Upasana Palace Complex, Dr. R.P. Road, Ganeshguri., Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781006",Apollo Hospitals Educational Trust,Kamrup Metro,Assam,Private,B.Sc(N),70 (Seventy),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
3,Army Institute Of Nursing,"Army Institute Of Nursing, C/O 151 Base Hospital, Basistha, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781029",Army Welfare Education Society,Kamrup Metro,Assam,Government,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
3,Army Institute Of Nursing,"Army Institute Of Nursing, C/O 151 Base Hospital, Basistha, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781029",Army Welfare Education Society,Kamrup Metro,Assam,Government,M. Sc (N),20 (Twenty) Med Surg-5 Chn-5 Obg-5 Psy-5,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
4,Arya School Of Nursing,"Arya School Of Nursing, Village - Nij Sindurighopa (Chowkigate), Changsari, Distt.- Kamrup ( Rural ), Assam, Pin Code- 781101",Surakhya Trust,Kamrup ( Rural ),Assam,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
4,Arya School Of Nursing,"Arya School Of Nursing, Village - Nij Sindurighopa (Chowkigate), Changsari, Distt.- Kamrup ( Rural ), Assam, Pin Code- 781101",Surakhya Trust,Kamrup ( Rural ),Assam,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
4,Arya School Of Nursing,"Arya School Of Nursing, Village - Nij Sindurighopa (Chowkigate), Changsari, Distt.- Kamrup ( Rural ), Assam, Pin Code- 781101",Surakhya Trust,Kamrup ( Rural ),Assam,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
