inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Bihar|Samastipur|A.H.S NURSING COLLEGE,A.H.S Nursing College,"A.H.S Nursing College, Ahs Building, Jail Chowk, Tajpur Road, Samastipur, Bihar, Pin: 848129, Samastipur, Distt.- Samastipur, Bihar, Pin Code- 848129",Sir Syed Educational And Charitable Trust,Samastipur,Bihar,Private,ANM | GNM | B.Sc(N),60 (Sixty) | 60 (Sixty) | 60 (Sixty),180,848129,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Patna|ALAY FATIMA HAI COLLEGE OF NURSING,Alay Fatima Hai College Of Nursing,"Alay Fatima Hai College Of Nursing, Paras Hmri Hospital Campus, Raja Bazar, Bailey Road, Patna, Bihar 800014, Patna, Distt.- Patna, Bihar, Pin Code- 800014",Hai Medicare Research And Educational Foundation Society,Patna,Bihar,Private,B.Sc(N),60 (Sixty),60,800014,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Patna|ALL INDIA INSTITUTE OF MEDICAL SCIENCES COLLEGE OF NURSING,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Phulwari Sharif, Patna, Distt.- Patna, Bihar, Pin Code- 801507",Government Of Bihar,Patna,Bihar,Government,B.Sc(N),60 (Sixty),60,801507,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Khagaria|ANM SCHOOL GOGRI KHAGARIA,Anm School Gogri Khagaria,"Anm School Gogri Khagaria, Anm School Gogri Khagaria,(Chhoti Pasarha) Pin-851212, Khagaria, Distt.- Khagaria, Bihar, Pin Code- 851212",Bihar Goverment,Khagaria,Bihar,Government,ANM,60 (Sixty),60,851212,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Muzaffarpur|ANM SCHOOL MUZAFFARPUR,Anm School Muzaffarpur,"Anm School Muzaffarpur, Anm School Sadar Hospital Campus, Bank Road , Muzaffarpur, Distt.- Muzaffarpur, Bihar, Pin Code- 842001",Govt Of Bihar,Muzaffarpur,Bihar,Government,ANM,60 (Sixty),60,842001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Kishanganj|ANM SCHOOL OF NURSING,Anm School Of Nursing,"Anm School Of Nursing, Sadar Hospital, , Distt.- Kishanganj, Bihar, Pin Code- 855107",,Kishanganj,Bihar,Government,ANM,20 (Twenty),20,855107,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Supaul|ANM SCHOOL SUKHPUR SUPAUL,Anm School Sukhpur Supaul,"Anm School Sukhpur Supaul, Anm School Sukhpur, Supaulpin Code 852130Mob 7858007272, Supaul, Distt.- Supaul, Bihar, Pin Code- 852130",Health Department Bihar,Supaul,Bihar,Government,ANM,60 (Sixty),60,852130,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Munger|ANM TRAINING SCHOOL SDH TARAPUR,Anm Training School Sdh Tarapur,"Anm Training School Sdh Tarapur, Munger, Sub Divisional Hospital Tarapur, Munger, Tarapur, Distt.- Munger, Bihar, Pin Code- 813221",Bihar Government,Munger,Bihar,Government,ANM,60 (Sixty),60,813221,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Madhubani|ANM TRAINING SCHOOL,Anm Training School,"Anm Training School, Sdh, Jhanjharpur, Anm Training School, Sdh, Jhanjharpur, Madhubani, Jhanjharpur, Distt.- Madhubani, Bihar, Pin Code- 847404",Anm Training School,Madhubani,Bihar,Government,ANM,60 (Sixty),60,847404,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Saran|ANM TRANNINGF SCHOOL SUB DIVISIONAL HOSPITAL SONPUR SARAN BIHAR,Anm Tranningf School Sub Divisional Hospital Sonpur Saran Bihar,"Anm Tranningf School Sub Divisional Hospital Sonpur Saran Bihar, Anm Trainnig School Sdh Sonpur, Sonpur, Distt.- Saran, Bihar, Pin Code- 841101",Bihar Govt.,Saran,Bihar,Government,ANM,60 (Sixty),60,841101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Darbhanga|B.SC. NURSING COLLEGE DMCH,B.Sc. Nursing College Dmch,"B.Sc. Nursing College Dmch, Laheriasarai , Darbhanga, Darbhanga, Distt.- Darbhanga, Bihar, Pin Code- 846003",Government Of Bihar,Darbhanga,Bihar,Government,B.Sc(N),60 (Sixty),60,846003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Gaya|BUDDHA INSTITUTE OF HEALTH EDUCATIONAL ANM TRAINING SCHOOL,Buddha Institute Of Health Educational Anm Training School,"Buddha Institute Of Health Educational Anm Training School, Singra Asthan, Police Line, Gaya, Distt.- Gaya, Bihar, Pin Code- 823001",Buddha Institute Of Health Education Society,Gaya,Bihar,Private,ANM,40 (Forty),40,823001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Patna|COLLEGE OF NURSING KURJI HOLY FAMILY HOSPITAL,College Of Nursing Kurji Holy Family Hospital,"College Of Nursing Kurji Holy Family Hospital, P.O.- Sadquat Ashram, Patna , Distt.- Patna, Bihar, Pin Code- 800010",Kurji Holy Family Hospital Society,Patna,Bihar,Private,B.Sc(N),60 (Sixty),60,800010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Siwan|DAKSH B SC NURSING COLLEGE DAKSH SCHOOL OF NURSING AND HOSPITAL,Daksh B Sc Nursing College Daksh School Of Nursing And Hospital,"Daksh B Sc Nursing College Daksh School Of Nursing And Hospital, Daksh Nagar Dhebar, Siwan, Distt.- Siwan, Bihar, Pin Code- 841233",Mahatma Budh Educational And Research Centre,Siwan,Bihar,Private,B.Sc(N) | ANM | GNM,40 (Forty) | 30 (Thirty) | 30 (Thirty),100,841233,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Aurangabad|DEV VALLEY GLOBAL SCHOOL OF NURSING,Dev Valley Global School Of Nursing,"Dev Valley Global School Of Nursing, Erka Colony, Amba, Kutumba, Aurangabad, Bihar, Aurangabad, Distt.- Aurangabad, Bihar, Pin Code- 824111",Maa Kalawati Development Foundation,Aurangabad,Bihar,Private,ANM,40 (Forty),40,824111,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Rohtas(Sasaram)|GEMS SCHOOL OF NUSING,Gems School Of Nusing,"Gems School Of Nusing, Sikaria Village, Indrapuri Post, Dehri On Sone, Distt.- Rohtas(Sasaram), Bihar, Pin Code- 821308",Gospel Echoing Missionary Society,Rohtas(Sasaram),Bihar,Private,ANM,30 (Thirty),30,821308,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Patna|HIMALAYA COLLEGE OF NURSING,Himalaya College Of Nursing,"Himalaya College Of Nursing , Chiksi,Sh-69,Paliganj,Patna, Patna , Distt.- Patna, Bihar, Pin Code- 801110",Himalaya Educational Trust,Patna,Bihar,Private,ANM | GNM | B.Sc(N) | P B B.Sc(N),50 (Fifty) | 100 (One Hundred) | 100 (One Hundred) | 40 (Forty),290,801110,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Patna|INDIRA GANDHI INSTITUTE OF MEDICAL SCIENCES,Indira Gandhi Institute Of Medical Sciences,"Indira Gandhi Institute Of Medical Sciences, School Of Nursing, Sheikhpura, Patna, Distt.- Patna, Bihar, Pin Code- 800014",Indira Gandhi Institute Of Medical Sciences,Patna,Bihar,Government,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),50 (Fifty) | 50 (Fifty) | 10 (Ten) Paed-05 Obg-05 | 40 (Forty),150,800014,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
Bihar|Darbhanga|KHWAJA GARIB NAWAZ SCHOOL OF NURSING,Khwaja Garib Nawaz School Of Nursing,"Khwaja Garib Nawaz School Of Nursing, Saidnagar, Inside Of Vishwakarma Mandir, Laheriasarai, Darbhanga , Distt.- Darbhanga, Bihar, Pin Code- 846001",Khwaja Garib Nawaz Educational Welfare Society,Darbhanga,Bihar,Private,ANM,60 (Sixty),60,846001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Patna|M G M COLLEGE OF NURSING AND PARAMEDICAL,M G M College Of Nursing And Paramedical,"M G M College Of Nursing And Paramedical, Azad Nagar, Chiraura, Patna, Distt.- Patna, Bihar, Pin Code- 800020",Prakhar,Patna,Bihar,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),60 (Sixty) | 60 (Sixty) | 60 (Sixty) | 25 (Twenty Five) 05 In Each Subject | 60 (Sixty),265,800020,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Madhubani|MADHUBANI INSTITUTE OF NURSING AND PARAMEDICAL SCIENCES,Madhubani Institute Of Nursing And Paramedical Sciences,"Madhubani Institute Of Nursing And Paramedical Sciences, Madhubani, Madhubani, Distt.- Madhubani, Bihar, Pin Code- 847212",Milli Trust,Madhubani,Bihar,Private,B.Sc(N),100 (One Hundred),100,847212,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|East Champaran|MANORMA DEVI SIKARIA ANM TRAINING SCHOOL,Manorma Devi Sikaria Anm Training School,"Manorma Devi Sikaria Anm Training School, Radha Nagar, Nacckched Tola, Motihari, Distt.- East Champaran, Bihar, Pin Code- 845401",Radha Krishna Sewa Sansathan,East Champaran,Bihar,Private,ANM,50 (Fifty),50,845401,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Kishanganj|MATA GUJRI MEMORIAL GNM NURSING SCHOOL,Mata Gujri Memorial Gnm Nursing School,"Mata Gujri Memorial Gnm Nursing School, P.O.- Kishanganj, Kishanganj, Distt.- Kishanganj, Bihar, Pin Code- 855107",Mata Gujri Memorial Medical College And Lions Seva Kendra Hospital Trust,Kishanganj,Bihar,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),100 (One Hundred) | 100 (One Hundred) | 30 (Thirty) | 20 (Twenty),250,855107,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Bhojpur|MOTHER TERESA NURISNG SCHOOL,Mother Teresa Nurisng School,"Mother Teresa Nurisng School, Araura, Pakri, Ara, Ara, Distt.- Bhojpur, Bihar, Pin Code- 802206",Indraswana Rajinandan Seva Sansthan,Bhojpur,Bihar,Private,ANM,30 (Thirty),30,802206,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Rohtas(Sasaram)|NARAYAN NURSING COLLEGE,Narayan Nursing College,"Narayan Nursing College, Post Office- Jamuhar, P.S.- Dehri, Vill.- Jamuhar, Tehsil- Sasaram, Distt.- Rohtas(Sasaram), Bihar, Pin Code- 821305",Deo Mangal Memorial Trust,Rohtas(Sasaram),Bihar,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),"100 (Hundred) | 100 (Hundred) | 30 (Thirty) Med-Nsg-10, Paed-5, Chn-5, Obg-5, Psy-5 | 60 (Sixty)",290,821305,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Begusarai|OM SAI SHIV NURSING COLLEGE,Om Sai Shiv Nursing College,"Om Sai Shiv Nursing College, Chhoti Aghu, Post Mohan Aghu, Begusarai, Distt.- Begusarai, Bihar, Pin Code- 851129",Om Sai Shiva Ji Educational Trust,Begusarai,Bihar,Private,ANM,30 (Thirty),30,851129,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Patna|PATLIPUTRA INSTITUTE OF NURSING TRAINING,Patliputra Institute Of Nursing Training,"Patliputra Institute Of Nursing Training, Plot No.16, 24, Defence Colony, Bailey Road, Near Danapur Army Cantt, Patna , Distt.- Patna, Bihar, Pin Code- 801503",National Co-Operation Council,Patna,Bihar,Private,ANM,30 (Thirty),30,801503,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Muzaffarpur|PRASHANT NURSING TRAINING SCHOOL AND COLLEGE,Prashant Nursing Training School And College,"Prashant Nursing Training School And College , Lenin Chowk,Kalambagh Road Muzaffarpur ,Bihar, Muzaffarpur , Distt.- Muzaffarpur, Bihar, Pin Code- 842001",Prashant Memorial Charitable Hospital,Muzaffarpur,Bihar,Private,GNM,60 (Sixty),60,842001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Darbhanga|R B MEMORIAL SCHOOL OF NURSING,R B Memorial School Of Nursing,"R B Memorial School Of Nursing, R S Tank, Laheriasarai, Darbhanga, Distt.- Darbhanga, Bihar, Pin Code- 846001",R B Memorial Charitable Trust,Darbhanga,Bihar,Private,ANM | GNM,50 (Fifty) | 50 (Fifty),100,846001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Gaya|RAMAKANTI ANM NURSING TRAINING SCHOOL,Ramakanti Anm Nursing Training School,"Ramakanti Anm Nursing Training School, Vill: Shahbazpur, P.O : Nepa Fathepur, Tikari, Distt.- Gaya, Bihar, Pin Code- 824236",Maa Jethani Yashodhara Seva Sansthan,Gaya,Bihar,Private,ANM,50 (Fifty),50,824236,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Sitamarhi|RUP BALA MEMORIAL ANM TRAINING CENTER,Rup Bala Memorial Anm Training Center,"Rup Bala Memorial Anm Training Center, Nageswar Nagar, Ward No 13, Mehsuale East, Pupri Road, , Distt.- Sitamarhi, Bihar, Pin Code- 843302",Swastik Kalyan Kendra,Sitamarhi,Bihar,Private,ANM,30 (Thirty),30,843302,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Gaya|S.K.M NURSING SCHOOL,S.K.M Nursing School,"S.K.M Nursing School, Indra Nagar,Bairiya ,Wazirganj, Gaya, Gaya, Distt.- Gaya, Bihar, Pin Code- 805131",Lord Buddha Multipurpose Trust,Gaya,Bihar,Private,ANM,60 (Sixty),60,805131,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Munger|SATYENDRAM NURSING INSTITUTE OF ANM,Satyendram Nursing Institute Of Anm,"Satyendram Nursing Institute Of Anm , At-Beladih,Po-Madhodih,Ps-Harpur,Munger,Bihar, Munger, Distt.- Munger, Bihar, Pin Code- 813221",Shiwani Welfare Trust,Munger,Bihar,Private,ANM,45 (Forty Five),45,813221,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|East Champaran|SCHOOL OF NURSING,School Of Nursing,"School Of Nursing, Duncan Hospital, Raxaul, Distt.- East Champaran, Bihar, Pin Code- 845305",Regions Beyond Medical Union Society,East Champaran,Bihar,Private,GNM,20 (Twenty),20,845305,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
Bihar|Patna|SHRI SAI COLLEGE OF NURSING AND PARAMEDICAL,Shri Sai College Of Nursing And Paramedical,"Shri Sai College Of Nursing And Paramedical, Bindauli, East Of Beldarichak, P.S- Gaurichak,P.O- Masadhi,Patna, Patna, Distt.- Patna, Bihar, Pin Code- 803201",Usha Educational And Social Welfare Trust,Patna,Bihar,Private,B.Sc(N),50 (Fifty),50,803201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:25.542848
