inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Chhattisgarh|Raipur|AADARSH NURSING INSTITUTE,Aadarsh Nursing Institute,"Aadarsh Nursing Institute, Behind Sejbahar Housing Board Colony, Near Kushabhau Thakre University,Murra Road , Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 492015",Aadarsh Nursing Institute Pvt. Ltd.,Raipur,Chhattisgarh,Private,B.Sc(N),60 (Sixty),60,492015,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Bilaspur|AARBEE COLLEGE OF NURSING,Aarbee College Of Nursing,"Aarbee College Of Nursing, Ring Road No- 2, Swarn Jayanti Nagar, Bilaspur, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495001",Bilasa Education And Research Foundation,Bilaspur,Chhattisgarh,Private,B.Sc(N),50 (Fifty),50,495001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Surguja|AASRA INSTITUTE OF NURSING,Aasra Institute Of Nursing,"Aasra Institute Of Nursing, Raghunathpur, Vill.- Jarhadih, Tehsil- Lundra (08), Distt.- Surguja, Chhattisgarh, Pin Code- 497101",Aasra Educational Society,Surguja,Chhattisgarh,Private,GNM | B.Sc(N),30 (Thirty) | 30 (Thirty),60,497101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Baster|ADESHWAR NURSING INSTITUTE,Adeshwar Nursing Institute,"Adeshwar Nursing Institute, Jeypore Road Khamhargaon, Jagdalpur , Jagdalpur, Distt.- Baster, Chhattisgarh, Pin Code- 494001",Adeshwar Shikshan Samiti,Baster,Chhattisgarh,Private,Upgraded College of Nursing,40 (Forty),40,494001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Kanker|ADESHWAR NURSING INSTITUTE,Adeshwar Nursing Institute,"Adeshwar Nursing Institute, Patharri, Kanker, Kanker, Distt.- Kanker, Chhattisgarh, Pin Code- 494334",Adeshwar Shikshan Samiti,Kanker,Chhattisgarh,Private,B.Sc(N),40 (Forty),40,494334,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Raipur|ALL INDIA INSTITUTE OF MEDICAL SCIENCES COLLEGE OF NURSING,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, G E Road, Tatibandh, , Distt.- Raipur, Chhattisgarh, Pin Code- 492099",Ministry Of Health And Family Welfare,Raipur,Chhattisgarh,Government,B.Sc(N),75 (Seventy Five),75,492099,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Raigarh|APEX COLLEGE OF NURSING,Apex College Of Nursing,"Apex College Of Nursing, Atal Chowk, Chhatamuda Bypass Road, Raigarh, Distt.- Raigarh, Chhattisgarh, Pin Code- 496001",Goyal Nursing Education Society,Raigarh,Chhattisgarh,Private,B.Sc(N),40 (Forty),40,496001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Durg|APOLLO COLLEGE OF NURSING,Apollo College Of Nursing,"Apollo College Of Nursing, In Front Of Veterinary College, Anjora, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Shrishti Education And Welfare Society,Durg,Chhattisgarh,Private,P B B.Sc(N) | B.Sc(N) | GNM | M. Sc (N),30 (Thirty) | 60 (Sixty) | 40 (Forty) | 15 (Fifteen) Med Surg-05 Chn-05 Obg-05,145,491001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Durg|BETHANY COLLEGE OF NURSING,Bethany College Of Nursing,"Bethany College Of Nursing, Borsi, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Bethany Seva Sangham,Durg,Chhattisgarh,Private,B.Sc(N),50 (Fifty),50,491001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Balod|BHARAT INSTITUTE OF NURSING,Bharat Institute Of Nursing,"Bharat Institute Of Nursing, Danitola, Post Office-Bhaisbor, , Distt.- Balod, Chhattisgarh, Pin Code- 491226",Rastogi Education Society,Balod,Chhattisgarh,Private,B.Sc(N),60 (Sixty),60,491226,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Korba|BHARAT INSTITUTE OF NURSING,Bharat Institute Of Nursing,"Bharat Institute Of Nursing, Near Dayanand Puclic School, Kosawadi, Post-Korba, Korba, Distt.- Korba, Chhattisgarh, Pin Code- 495677",Rastogi Education,Korba,Chhattisgarh,Private,B.Sc(N),30 (Thirty),30,495677,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Mahasamund|BHARATI INSTITUTE OF NURSING,Bharati Institute Of Nursing,"Bharati Institute Of Nursing, Bharati Hospital Campus, Main Road, Saraipali, Distt.- Mahasamund, Chhattisgarh, Pin Code- 493558",Bharati Shiksha Swashthya Avum Krishi Vikash Samiti Chhattisgarh,Mahasamund,Chhattisgarh,Private,B.Sc(N),40 (Forty),40,493558,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Durg|BHARTI COLLEGE OF NURSING,Bharti College Of Nursing,"Bharti College Of Nursing, Pulgaon Chowk, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Shri Jug Mahadev Education Society,Durg,Chhattisgarh,Private,B.Sc(N),30 (Thirty),30,491001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
Chhattisgarh|Bilaspur|BILASA INSTITUTE OF NURSING,Bilasa Institute Of Nursing,"Bilasa Institute Of Nursing, Near To Lakhmi Chand Institute Of Technology, Chichirda Road, Bodri, Bilaspur, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495220",Shri Rawatpura Sarkar Lok Kalyan Trust,Bilaspur,Chhattisgarh,Private,B.Sc(N),40 (Forty),40,495220,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
