sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Aadarsh Nursing Institute,"Aadarsh Nursing Institute, Behind Sejbahar Housing Board Colony, Near Kushabhau Thakre University,Murra Road , Raipur, Distt.- Raipur, Chhattisgarh, Pin Code- 492015",Aadarsh Nursing Institute Pvt. Ltd.,Raipur,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
2,Aarbee College Of Nursing,"Aarbee College Of Nursing, Ring Road No- 2, Swarn Jayanti Nagar, Bilaspur, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495001",Bilasa Education And Research Foundation,Bilaspur,Chhattisgarh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
3,Aasra Institute Of Nursing,"Aasra Institute Of Nursing, Raghunathpur, Vill.- Jarhadih, Tehsil- Lundra (08), Distt.- Surguja, Chhattisgarh, Pin Code- 497101",Aasra Educational Society,Surguja,Chhattisgarh,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
3,Aasra Institute Of Nursing,"Aasra Institute Of Nursing, Raghunathpur, Vill.- Jarhadih, Tehsil- Lundra (08), Distt.- Surguja, Chhattisgarh, Pin Code- 497101",Aasra Educational Society,Surguja,Chhattisgarh,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
4,Adeshwar Nursing Institute,"Adeshwar Nursing Institute, Jeypore Road Khamhargaon, Jagdalpur , Jagdalpur, Distt.- Baster, Chhattisgarh, Pin Code- 494001",Adeshwar Shikshan Samiti,Baster,Chhattisgarh,Private,Upgraded College of Nursing,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
5,Adeshwar Nursing Institute,"Adeshwar Nursing Institute, Patharri, Kanker, Kanker, Distt.- Kanker, Chhattisgarh, Pin Code- 494334",Adeshwar Shikshan Samiti,Kanker,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
6,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, G E Road, Tatibandh, , Distt.- Raipur, Chhattisgarh, Pin Code- 492099",Ministry Of Health And Family Welfare,Raipur,Chhattisgarh,Government,B.Sc(N),75 (Seventy Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
7,Apex College Of Nursing,"Apex College Of Nursing, Atal Chowk, Chhatamuda Bypass Road, Raigarh, Distt.- Raigarh, Chhattisgarh, Pin Code- 496001",Goyal Nursing Education Society,Raigarh,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
8,Apollo College Of Nursing,"Apollo College Of Nursing, In Front Of Veterinary College, Anjora, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Shrishti Education And Welfare Society,Durg,Chhattisgarh,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
8,Apollo College Of Nursing,"Apollo College Of Nursing, In Front Of Veterinary College, Anjora, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Shrishti Education And Welfare Society,Durg,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
8,Apollo College Of Nursing,"Apollo College Of Nursing, In Front Of Veterinary College, Anjora, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Shrishti Education And Welfare Society,Durg,Chhattisgarh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
8,Apollo College Of Nursing,"Apollo College Of Nursing, In Front Of Veterinary College, Anjora, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Shrishti Education And Welfare Society,Durg,Chhattisgarh,Private,M. Sc (N),15 (Fifteen) Med Surg-05 Chn-05 Obg-05,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
9,Bethany College Of Nursing,"Bethany College Of Nursing, Borsi, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Bethany Seva Sangham,Durg,Chhattisgarh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
10,Bharat Institute Of Nursing,"Bharat Institute Of Nursing, Danitola, Post Office-Bhaisbor, , Distt.- Balod, Chhattisgarh, Pin Code- 491226",Rastogi Education Society,Balod,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
