sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Govt. Nursing School,"Govt. Nursing School, Opposite Military Hospital, Bambolim , Bambolim Goa, Distt.- North Goa, Goa, Pin Code- 403202",Goa State Government,North Goa,Goa,Government,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
1,Govt. Nursing School,"Govt. Nursing School, Opposite Military Hospital, Bambolim , Bambolim Goa, Distt.- North Goa, Goa, Pin Code- 403202",Goa State Government,North Goa,Goa,Government,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
1,Govt. Nursing School,"Govt. Nursing School, Opposite Military Hospital, Bambolim , Bambolim Goa, Distt.- North Goa, Goa, Pin Code- 403202",Goa State Government,North Goa,Goa,Government,M. Sc (N),25 (Twenty Five) Med-Surg-5 Paed-5 Obg-5 Psy-5 Chn-5,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
2,Harmal Panchakroshi Shikshan Mandal's College Of Nursing,"Harmal Panchakroshi Shikshan Mandal's College Of Nursing, Vidhya Sankul Bhoom Plateau Arambol (Harmal), Arambol, Distt.- North Goa, Goa, Pin Code- 403524",Harmal Panchakroshi Shikshan Mandal,North Goa,Goa,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
2,Harmal Panchakroshi Shikshan Mandal's College Of Nursing,"Harmal Panchakroshi Shikshan Mandal's College Of Nursing, Vidhya Sankul Bhoom Plateau Arambol (Harmal), Arambol, Distt.- North Goa, Goa, Pin Code- 403524",Harmal Panchakroshi Shikshan Mandal,North Goa,Goa,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
3,Institute Of Psychiatry & Human Behaviour,"Institute Of Psychiatry & Human Behaviour, Opp. Holy Cross Shrine, Bambolim, Goa, Bambolim, Distt.- North Goa, Goa, Pin Code- 403202",Goa State Government,North Goa,Goa,Government,Post Basic Diploma in Psychiatric nsg.,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
4,Sai Nursing Institute,"Sai Nursing Institute, Near Primary Health Centre, Sankhali, Distt.- North Goa, Goa, Pin Code- 403505",Sai Nursing Institute,North Goa,Goa,Private,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
4,Sai Nursing Institute,"Sai Nursing Institute, Near Primary Health Centre, Sankhali, Distt.- North Goa, Goa, Pin Code- 403505",Sai Nursing Institute,North Goa,Goa,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
5,Shri Bhumika Nursing College,"Shri Bhumika Nursing College, Parye, Sanquelim, Distt.- North Goa, Goa, Pin Code- 403505",Shri Bhumika Shikshan Saunstha,North Goa,Goa,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
5,Shri Bhumika Nursing College,"Shri Bhumika Nursing College, Parye, Sanquelim, Distt.- North Goa, Goa, Pin Code- 403505",Shri Bhumika Shikshan Saunstha,North Goa,Goa,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
5,Shri Bhumika Nursing College,"Shri Bhumika Nursing College, Parye, Sanquelim, Distt.- North Goa, Goa, Pin Code- 403505",Shri Bhumika Shikshan Saunstha,North Goa,Goa,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
6,Vrundavan Institute Of Nursing Education,"Vrundavan Institute Of Nursing Education, Near Binani Glass Fibre Pvt. Ltd. Mushir Wado, Colvale, Distt.- North Goa, Goa, Pin Code- 403513",Bhagirathi Surya Naik Memorial Trust,North Goa,Goa,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
