inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Gujarat|Gandhinagar|A K PATEL SCHOOL OF NURSING,A K Patel School Of Nursing,"A K Patel School Of Nursing, Anandba Campus, Near Karai Gam Road, At & P.O- Valad, Gandhinagar, Distt.- Gandhinagar, Gujarat, Pin Code- 382355",Induben Seva Trust,Gandhinagar,Gujarat,Private,GNM | B.Sc(N) | P B B.Sc(N),40 (Forty) | 50 (Fifty) | 50 (Fifty),140,382355,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Jamnagar|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, Divisional Training Centre Campus, Near Bus Stand, , Aliabada, Distt.- Jamnagar, Gujarat, Pin Code- 361110",Gujarat Government,Jamnagar,Gujarat,Government,ANM,20 (TWENTY),20,361110,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Vadodara|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, Divisional Training Centre, Padra, Distt.- Vadodara, Gujarat, Pin Code- 391440",Gujarat State Government,Vadodara,Gujarat,Government,ANM,20 (TWENTY),20,391440,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Mehsana|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, G D General Hospital, Visnagar , Visnagar, Distt.- Mehsana, Gujarat, Pin Code- 384315",Health And Family Welfare Department,Mehsana,Gujarat,Government,ANM,20 (TWENTY),20,384315,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Navsari|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, General Nursing School New Building, Navsari, Distt.- Navsari, Gujarat, Pin Code- 396445",Gujarat Government,Navsari,Gujarat,Government,ANM | GNM,20 (Twenty) | 20 (Twenty),40,396445,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Narmada|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, New Civil Hospital Campus, Near Nandikeshwar Mahadev Temple, At. Jeetnagar, P.O-Sunderpura, Rajpipla, Distt.- Narmada, Gujarat, Pin Code- 393145",Gujarat Government,Narmada,Gujarat,Government,ANM | GNM,20 (Twenty) | 30 (Thirty),50,393145,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Patan|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, Referal Hospital/Chc, Opp. Bus Station, Radhanpur, Distt.- Patan, Gujarat, Pin Code- 385340",Government Of Gujarat,Patan,Gujarat,Government,ANM,40 (Forty),40,385340,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Surendranagar|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, Referral Hospital And Chc Campus, Chotila, Distt.- Surendranagar, Gujarat, Pin Code- 363520",Government Of Gujarat,Surendranagar,Gujarat,Government,ANM,20 (Twenty),20,363520,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Banaskantha|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, School Of Nursing, 1St Floor, Simila Gate General Hospital Palanpur , Palanpur, Distt.- Banaskantha, Gujarat, Pin Code- 385001",Government Of Gujarat,Banaskantha,Gujarat,Government,ANM | GNM,30 (Thirty) | 20 (Twenty),50,385001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Kachchh|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, School Of Nursing, G K General Hospital, , Bhuj-Kachchh, Distt.- Kachchh, Gujarat, Pin Code- 370001",Government Of Gujarat,Kachchh,Gujarat,Government,ANM,20 (Twenty),20,370001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Morbi|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, School Of Nursing, General Hospital, , Distt.- Morbi, Gujarat, Pin Code- 363641",Government Of Gujarat,Morbi,Gujarat,Government,ANM,40 (Forty),40,363641,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Anand|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, School Of Nursing, S S Hospital, , Petlad, Distt.- Anand, Gujarat, Pin Code- 388450",Govt .Of Gujarat,Anand,Gujarat,Government,ANM,20 (Twenty),20,388450,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Amreli|A N M (F H W) TRAINING SCHOOL,A N M (F H W) Training School,"A N M (F H W) Training School, School Of Nursing,Etpur Road Near Hudko Koloni, Bagasara, Distt.- Amreli, Gujarat, Pin Code- 365440",Ra.Aa.Pa.Ka.Sansthan,Amreli,Gujarat,Government,ANM,20 (TWENTY),20,365440,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Gandhinagar|A N M NURSING SCHOOL,A N M Nursing School,"A N M Nursing School , Sanskar Tirth, Ajol, Distt.- Gandhinagar, Gujarat, Pin Code- 382810",Sanskar Tirth - Ajol,Gandhinagar,Gujarat,Private,ANM,30 (Thirty),30,382810,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Surat|A N M TRAINING SCHOOL,A N M Training School,"A N M Training School, Devisional Training Center, At: Sachin, Vill.- Pardi Gam, Tehsil- Chorasi, Distt.- Surat, Gujarat, Pin Code- 392516",Government Of Gujrat,Surat,Gujarat,Government,ANM,30 (Thirty),30,392516,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Ahmedabad|A.M.C M.E.T NURSING COLLEGE,A.M.C M.E.T Nursing College,"A.M.C M.E.T Nursing College , Sheth Vadilal Sarabhai General Hospital Campus, Eliis Bridge , Ahmedabad City, Distt.- Ahmedabad, Gujarat, Pin Code- 380006",Ahmedabad Municipal Corporation Medical Education Trust,Ahmedabad,Gujarat,Government,GNM | B.Sc(N),100 (One Hundred) | 50 (Fifty),150,380006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Gandhinagar|AARIHANT INSTITUTE OF NURSING,Aarihant Institute Of Nursing,"Aarihant Institute Of Nursing, At: Bhoyan Rathod, Opp. Iffco, Adalaj &#8211; Kalol Road, Near Ongc Wss, , , Distt.- Gandhinagar, Gujarat, Pin Code- 382420",G.P. Jain Charitable Trust,Gandhinagar,Gujarat,Private,B.Sc(N) | GNM,60 (Sixty) | 60 (Sixty),120,382420,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Banaskantha|ADARSH NURSING SCHOOL,Adarsh Nursing School,"Adarsh Nursing School,Dhanera, Shree K R Anjana Arts &Amp; Commerce College Campus Ahead Kargil Hotal,Tharad Road Dhanera, Dhanera, Distt.- Banaskantha, Gujarat, Pin Code- 385310",Shree Dhanera Taluka Yuvak Pragati Mandal,Banaskantha,Gujarat,Private,B.Sc(N) | ANM | GNM,40 (Forty) | 20 (Twenty) | 60 (Sixty),120,385310,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:03.678992
Gujarat|Chhotaudepur|ADIVASI INSTITUTE OF NURSING,Adivasi Institute Of Nursing,"Adivasi Institute Of Nursing, At & Po - Pavijetpur, Pavijetpur, Distt.- Chhotaudepur, Gujarat, Pin Code- 391160",Tulsi Sevashram Trust,Chhotaudepur,Gujarat,Private,GNM | ANM,30 (Thirty) | 40 (Forty),70,391160,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:11.490614
Gujarat|Ahmedabad|AHMEDABAD INSTITUTE OF NURSING SCIENCES,Ahmedabad Institute Of Nursing Sciences,"Ahmedabad Institute Of Nursing Sciences, Aims Campus, Nr. S. P. Ring Road Ognaj Circle, Nr. Lions Karnavati Eye Hospital, Gota - Kalol Highway, Lapkaman, Ahmedabad , Distt.- Ahmedabad, Gujarat, Pin",Garavi Gujarat Medical And Educational Foundation,Ahmedabad,Gujarat,Private,B.Sc(N),60 (Sixty),60,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:13:11.490614
