inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Haryana|Rohtak|ADARSH SCHOOL OF NURSING,Adarsh School Of Nursing,"Adarsh School Of Nursing,, Vpo:- Madina, Madina, Distt.- Rohtak, Haryana, Pin Code- 124111",Adarsh Shiksha Samiti,Rohtak,Haryana,Private,ANM,30 (Thirty),30,124111,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Kurukshetra|ADESH NURSING COLLEGE,Adesh Nursing College,"Adesh Nursing College, Nh-1, Village Mohri, Shahbad (M.) Kurukshetra (Haryana), Shahbad, Distt.- Kurukshetra, Haryana, Pin Code- 136135",Adesh Welfare Society,Kurukshetra,Haryana,Private,GNM | B.Sc(N),100 (One Hundred) | 100 (One Hundred),200,136135,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Gurgaon|AMITY UNIVERSITY,Amity University,"Amity University, Amity Eeducation Valley, Distt Gurgaon, , Distt.- Gurgaon, Haryana, Pin Code-",Amity University,Gurgaon,Haryana,Private,Ph. D | B.Sc(N) | M. Sc (N) | P B B.Sc(N),04 (Four) | 60 (Sixty) | 25 (Twenty Five) 5 In Each Speciality | 30 (Thirty),119,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Fatehabad|ARYABHATT COLLEGE OF NURSING,Aryabhatt College Of Nursing,"Aryabhatt College Of Nursing, Bhattu Road Manawali, Fatehabad, Distt.- Fatehabad, Haryana, Pin Code- 125050",Aryabhatt Research And Educational Trust,Fatehabad,Haryana,Private,ANM | GNM,30 (Thirty) | 40 (Forty),70,125050,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Jhajjar|B D M COLLEGE OF NURSING,B D M College Of Nursing,"B D M College Of Nursing, V.P.O.- Chhuchhakwas, Chhuchhakwas, Distt.- Jhajjar, Haryana, Pin Code- 124106",Amarjeet Education Society,Jhajjar,Haryana,Private,P B B.Sc(N) | M. Sc (N) | B.Sc(N) | ANM | GNM,"20 (Twenty) | 20 (Twenty) Paed-6, Med-Surg-2, Psy-2, Obg-6, Chn-4 | 40 (Forty) | 40 (Forty) | 40 (Forty)",160,124106,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Mahendragarh|BABA SWAMI DAYAL SCHOOL OF NURSING,Baba Swami Dayal School Of Nursing,"Baba Swami Dayal School Of Nursing, Ward No. 5, Mohalla Nimri Niche, Near Khadi Bhandar , Mohindergarh, Distt.- Mahendragarh, Haryana, Pin Code- 123029",Human Development Educational Society,Mahendragarh,Haryana,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,123029,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Hissar|BHAN BHORI SCHOOL OF NURSING,Bhan Bhori School Of Nursing,"Bhan Bhori School Of Nursing, 153 N, Opposite Jindal Hospital, Model Town, Hisar, Distt.- Hissar, Haryana, Pin Code- 125001",Haryana Thalasemia Society,Hissar,Haryana,Private,ANM | GNM,30 (Thirty) | 30 (Thirty),60,125001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Jind|BIRENDER SINGH COLLEGE OF NURSING,Birender Singh College Of Nursing,"Birender Singh College Of Nursing, Nh-71, Narwana Road, Uchana, Distt.- Jind, Haryana, Pin Code- 126115",Bangar Education Trust,Jind,Haryana,Private,GNM | B.Sc(N) | P B B.Sc(N),50 (Fifty) | 60 (Sixty) | 20 (Twenty),130,126115,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Bhiwani|BRIGHT SCHOOL OF NURSING,Bright School Of Nursing,"Bright School Of Nursing, Main Bhiwani Charkhi Dadri Road,Vpo Kitlana,, Bhiwani, Distt.- Bhiwani, Haryana, Pin Code- 127309",Tapowan Education Society,Bhiwani,Haryana,Private,ANM,30 (Thirty),30,127309,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Karnal|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Pt. Deen Dayal Upadhyaya University Of Health Sciences, Kutail, Karnal, Distt.- Karnal, Haryana, Pin Code- 132037",Government Of Haryana,Karnal,Haryana,Government,B.Sc(N),40 (Forty),40,132037,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
