sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Adarsh School Of Nursing,"Adarsh School Of Nursing,, Vpo:- Madina, Madina, Distt.- Rohtak, Haryana, Pin Code- 124111",Adarsh Shiksha Samiti,Rohtak,Haryana,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
2,Adesh Nursing College,"Adesh Nursing College, Nh-1, Village Mohri, Shahbad (M.) Kurukshetra (Haryana), Shahbad, Distt.- Kurukshetra, Haryana, Pin Code- 136135",Adesh Welfare Society,Kurukshetra,Haryana,Private,GNM,100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
2,Adesh Nursing College,"Adesh Nursing College, Nh-1, Village Mohri, Shahbad (M.) Kurukshetra (Haryana), Shahbad, Distt.- Kurukshetra, Haryana, Pin Code- 136135",Adesh Welfare Society,Kurukshetra,Haryana,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
3,Amity University,"Amity University, Amity Eeducation Valley, Distt Gurgaon, , Distt.- Gurgaon, Haryana, Pin Code-",Amity University,Gurgaon,Haryana,Private,Ph. D,04 (Four),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
3,Amity University,"Amity University, Amity Eeducation Valley, Distt Gurgaon, , Distt.- Gurgaon, Haryana, Pin Code-",Amity University,Gurgaon,Haryana,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
3,Amity University,"Amity University, Amity Eeducation Valley, Distt Gurgaon, , Distt.- Gurgaon, Haryana, Pin Code-",Amity University,Gurgaon,Haryana,Private,M. Sc (N),25 (Twenty Five) 5 In Each Speciality,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
3,Amity University,"Amity University, Amity Eeducation Valley, Distt Gurgaon, , Distt.- Gurgaon, Haryana, Pin Code-",Amity University,Gurgaon,Haryana,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
4,Aryabhatt College Of Nursing,"Aryabhatt College Of Nursing, Bhattu Road Manawali, Fatehabad, Distt.- Fatehabad, Haryana, Pin Code- 125050",Aryabhatt Research And Educational Trust,Fatehabad,Haryana,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
4,Aryabhatt College Of Nursing,"Aryabhatt College Of Nursing, Bhattu Road Manawali, Fatehabad, Distt.- Fatehabad, Haryana, Pin Code- 125050",Aryabhatt Research And Educational Trust,Fatehabad,Haryana,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
5,B D M College Of Nursing,"B D M College Of Nursing, V.P.O.- Chhuchhakwas, Chhuchhakwas, Distt.- Jhajjar, Haryana, Pin Code- 124106",Amarjeet Education Society,Jhajjar,Haryana,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
