inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Himachal Pradesh|Mandi|ABHILASHI COLLEGE OF NURSING,Abhilashi College Of Nursing,"Abhilashi College Of Nursing, P.O. - Balt, Vill.- Tanda, Tehsil- Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175008",Abhilashi Educational Society,Mandi,Himachal Pradesh,Private,ANM | GNM | B.Sc(N) | P B B.Sc(N),30 (Thirty) | 30 (Thirty) | 30 (Thirty) | 25 (Twenty Five),115,175008,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Sirmaur|AKAL COLLEGE OF NURSING,Akal College Of Nursing,"Akal College Of Nursing, V P O Baru Sahib, Via Rajgarh, Rajgarh, Distt.- Sirmaur, Himachal Pradesh, Pin Code- 173101",The Kalgidhar Trust,Sirmaur,Himachal Pradesh,Private,B.Sc(N) | M. Sc (N),60 (Sixty) | 25 (Twenty Five) Med Surg-10 Obg-5 Psy-5 Chn-5,85,173101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Mandi|AROMA COLLEGE OF NURSING,Aroma College Of Nursing,"Aroma College Of Nursing, Vill Khilra Po Meramasit Teh Sunder Nagar Distt Mandi, Sunder Nagar, Distt.- Mandi, Himachal Pradesh, Pin Code- 175018",Aromaeducation Society,Mandi,Himachal Pradesh,Private,B.Sc(N),40 (Forty),40,175018,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Solan|AWASTHI INSTITUTE OF NURSING,Awasthi Institute Of Nursing,"Awasthi Institute Of Nursing, Ward No 9 , Nalagarh, Distt.- Solan, Himachal Pradesh, Pin Code- 174101",Awasthi Educational Society,Solan,Himachal Pradesh,Private,P B B.Sc(N) | GNM | B.Sc(N),20 (Twenty) | 50 (Fifty) | 40 (Forty),110,174101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Solan|BHOJIA INSTITUTE OF NURSING,Bhojia Institute Of Nursing,"Bhojia Institute Of Nursing, Vpo- Baddi, Vill.- Bhud , Tehsil- Nalagarh, Distt.- Solan, Himachal Pradesh, Pin Code- 173205",Bhojia Charitable Trust For Science Research And Social Welfare,Solan,Himachal Pradesh,Private,GNM,40 (Forty),40,173205,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Solan|BUEST NURSING COLLEGE,Buest Nursing College,"Buest Nursing College, Vill. Makhnumazra P.O. Bhud Teh Baddi Distt Solan H.P. , Baddi, Distt.- Solan, Himachal Pradesh, Pin Code- 173205",Baddi University Of Emerging Sciences And Technology,Solan,Himachal Pradesh,Private,B.Sc(N),40 (Forty),40,173205,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Solan|CHITKARA UNIVERSITY COLLEGE OF NURSING,Chitkara University College Of Nursing,"Chitkara University College Of Nursing, Chitkara University, Himachal Pradesh , Atal Shiksha Kunj, Atal Nagar, Barotiwala, Barotiwala , Distt.- Solan, Himachal Pradesh, Pin Code- 174103",Chitkara Educational Trust,Solan,Himachal Pradesh,Private,B.Sc(N),60 (Sixty),60,174103,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Kullu|CHRISTIAN NURSING COLLEGE,Christian Nursing College,"Christian Nursing College, Near Head Post Office Dhalpur, Kullu, Distt.- Kullu, Himachal Pradesh, Pin Code- 175101",The Techno- Medical Welfare Society,Kullu,Himachal Pradesh,Private,B.Sc(N) | GNM,40 (Forty) | 40 (Forty),80,175101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Kangra|DR RAJINDER PRASAD MEDICAL COLLEGE HOSPITAL,Dr Rajinder Prasad Medical College Hospital,"Dr Rajinder Prasad Medical College Hospital,School Of Nursin, Dharmshala At - Tanda, Kangra, Distt.- Kangra, Himachal Pradesh, Pin Code- 176001",Hp Govt,Kangra,Himachal Pradesh,Government,GNM,30 (Thirty),30,176001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Hamirpur|GAUTAM COLLEGE OF NURSING,Gautam College Of Nursing,"Gautam College Of Nursing, Ward No-10, Near Bus Stand , Hamirpur, Distt.- Hamirpur, Himachal Pradesh, Pin Code- 177001",Gautam Girls College Management Committee,Hamirpur,Himachal Pradesh,Private,B.Sc(N) | GNM | P B B.Sc(N),40 (Forty) | 40 (Forty) | 40 (Forty),120,177001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Shimla|GENERAL NURSING TRAINING SCHOOL,General Nursing Training School,"General Nursing Training School, Mahatma Gandhi Medical Services Complex, Khaneri, Rampur, Distt.- Shimla, Himachal Pradesh, Pin Code- 172001",Hp Govt,Shimla,Himachal Pradesh,Government,GNM,30 (Thirty),30,172001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Sirmaur|GNM SCHOOL OF NURSING,Gnm School Of Nursing,"Gnm School Of Nursing, Dr Ysp Med.College And Hospital, Zonal District Hospital , Nahan, Distt.- Sirmaur, Himachal Pradesh, Pin Code- 173001",Government Of Himachal Pradesh,Sirmaur,Himachal Pradesh,Government,GNM,20 (Twenty),20,173001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Bilaspur|GNM TRAINING SCHOOL BILASPUR,Gnm Training School Bilaspur,"Gnm Training School Bilaspur , District Hospital, Bilaspur, Bilaspur, Distt.- Bilaspur, Himachal Pradesh, Pin Code- 174001",Himachal Pradesh,Bilaspur,Himachal Pradesh,Government,GNM,20 (Twenty),20,174001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
