sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Abhilashi College Of Nursing,"Abhilashi College Of Nursing, P.O. - Balt, Vill.- Tanda, Tehsil- Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175008",Abhilashi Educational Society,Mandi,Himachal Pradesh,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
1,Abhilashi College Of Nursing,"Abhilashi College Of Nursing, P.O. - Balt, Vill.- Tanda, Tehsil- Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175008",Abhilashi Educational Society,Mandi,Himachal Pradesh,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
1,Abhilashi College Of Nursing,"Abhilashi College Of Nursing, P.O. - Balt, Vill.- Tanda, Tehsil- Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175008",Abhilashi Educational Society,Mandi,Himachal Pradesh,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
1,Abhilashi College Of Nursing,"Abhilashi College Of Nursing, P.O. - Balt, Vill.- Tanda, Tehsil- Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175008",Abhilashi Educational Society,Mandi,Himachal Pradesh,Private,P B B.Sc(N),25 (Twenty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
2,Akal College Of Nursing,"Akal College Of Nursing, V P O Baru Sahib, Via Rajgarh, Rajgarh, Distt.- Sirmaur, Himachal Pradesh, Pin Code- 173101",The Kalgidhar Trust,Sirmaur,Himachal Pradesh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
2,Akal College Of Nursing,"Akal College Of Nursing, V P O Baru Sahib, Via Rajgarh, Rajgarh, Distt.- Sirmaur, Himachal Pradesh, Pin Code- 173101",The Kalgidhar Trust,Sirmaur,Himachal Pradesh,Private,M. Sc (N),25 (Twenty Five) Med Surg-10 Obg-5 Psy-5 Chn-5,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
3,Aroma College Of Nursing,"Aroma College Of Nursing, Vill Khilra Po Meramasit Teh Sunder Nagar Distt Mandi, Sunder Nagar, Distt.- Mandi, Himachal Pradesh, Pin Code- 175018",Aromaeducation Society,Mandi,Himachal Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
4,Awasthi Institute Of Nursing,"Awasthi Institute Of Nursing, Ward No 9 , Nalagarh, Distt.- Solan, Himachal Pradesh, Pin Code- 174101",Awasthi Educational Society,Solan,Himachal Pradesh,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
4,Awasthi Institute Of Nursing,"Awasthi Institute Of Nursing, Ward No 9 , Nalagarh, Distt.- Solan, Himachal Pradesh, Pin Code- 174101",Awasthi Educational Society,Solan,Himachal Pradesh,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
4,Awasthi Institute Of Nursing,"Awasthi Institute Of Nursing, Ward No 9 , Nalagarh, Distt.- Solan, Himachal Pradesh, Pin Code- 174101",Awasthi Educational Society,Solan,Himachal Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
5,Bhojia Institute Of Nursing,"Bhojia Institute Of Nursing, Vpo- Baddi, Vill.- Bhud , Tehsil- Nalagarh, Distt.- Solan, Himachal Pradesh, Pin Code- 173205",Bhojia Charitable Trust For Science Research And Social Welfare,Solan,Himachal Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
6,Buest Nursing College,"Buest Nursing College, Vill. Makhnumazra P.O. Bhud Teh Baddi Distt Solan H.P. , Baddi, Distt.- Solan, Himachal Pradesh, Pin Code- 173205",Baddi University Of Emerging Sciences And Technology,Solan,Himachal Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
7,Chitkara University College Of Nursing,"Chitkara University College Of Nursing, Chitkara University, Himachal Pradesh , Atal Shiksha Kunj, Atal Nagar, Barotiwala, Barotiwala , Distt.- Solan, Himachal Pradesh, Pin Code- 174103",Chitkara Educational Trust,Solan,Himachal Pradesh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
8,Christian Nursing College,"Christian Nursing College, Near Head Post Office Dhalpur, Kullu, Distt.- Kullu, Himachal Pradesh, Pin Code- 175101",The Techno- Medical Welfare Society,Kullu,Himachal Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
8,Christian Nursing College,"Christian Nursing College, Near Head Post Office Dhalpur, Kullu, Distt.- Kullu, Himachal Pradesh, Pin Code- 175101",The Techno- Medical Welfare Society,Kullu,Himachal Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
