inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Jammu & kashmir|Rajouri|BABA GHULAM SHAH BADSHAH UNIVERSITY,Baba Ghulam Shah Badshah University,"Baba Ghulam Shah Badshah University, School Of Nursing & Biomedical Sciences , Rajouri, Distt.- Rajouri, Jammu & Kashmir, Pin Code- 185123",Baba Ghulam Shah Badshah University,Rajouri,Jammu & kashmir,Government,B.Sc(N),40 (Forty),40,185123,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Kathua|DATA RANPAT DEV COLLEGE OF B.SC NURSING AND POST BASIC B.SC NURSING,Data Ranpat Dev College Of B.Sc Nursing And Post Basic B.Sc Nursing,"Data Ranpat Dev College Of B.Sc Nursing And Post Basic B.Sc Nursing , Dhaloti, Rajbagh Kathua, Kathua, Distt.- Kathua, Jammu & Kashmir, Pin Code- 184144",Rani Laxmi Bhai Educational And Welfare Trust,Kathua,Jammu & kashmir,Private,GNM | P B B.Sc(N) | B.Sc(N),40 (Forty) | 20 (Twenty) | 40 (Forty),100,184144,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Anantnag|FLORENCE PARAMEDICAL AND NURSING INSTITUTE,Florence Paramedical And Nursing Institute,"Florence Paramedical And Nursing Institute, Muslim Abad Kp Road Anantnag, Anantnag, Distt.- Anantnag, Jammu & Kashmir, Pin Code- 192101",Aash Educational Trust,Anantnag,Jammu & kashmir,Private,B.Sc(N),50 (Fifty),50,192101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Samba|INDIAN INSTITUTE OF TECHNICAL TRAINING,Indian Institute Of Technical Training,"Indian Institute Of Technical Training, 25- Kartholi Bari Brahmna, Bari Brahmna, Distt.- Samba, Jammu & Kashmir, Pin Code- 181133",Shri Durga Dass Sharma Memorial Society,Samba,Jammu & kashmir,Private,GNM,25 (Twenty Five),25,181133,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Reasi|SHRI MATA VAISHNO DEVI COLLEGE OF NURSING,Shri Mata Vaishno Devi College Of Nursing,"Shri Mata Vaishno Devi College Of Nursing, Shri Mata Vaishno Devi Shrine Board Kakryal, Katra, Distt.- Reasi, Jammu & Kashmir, Pin Code- 182320",Shri Mata Vaishno Devi Shrine Board,Reasi,Jammu & kashmir,Private,B.Sc(N),80 (Eighty),80,182320,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Pulwama|SYED MANTAQI MEMORIAL COLLEGE OF NURSING & MEDICAL TECHNOLOGY,Syed Mantaqi Memorial College Of Nursing & Medical Technology,"Syed Mantaqi Memorial College Of Nursing & Medical Technology, Near Syed Hassan Mantaqi Surine , Awantipora, Distt.- Pulwama, Jammu & Kashmir, Pin Code- 192122",J And K Board For Muslim Specified Wakafs And Specified Wakaf Properties,Pulwama,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),60,192122,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Jammu|UEG COLLEGE OF PARAMEDICAL SCIENCES,Ueg College Of Paramedical Sciences,"Ueg College Of Paramedical Sciences , Silver Okax Lane Near Anuradha High Sec. School Barnai Jammu, Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181205",World Peace Forum,Jammu,Jammu & kashmir,Private,GNM,40 (Forty),40,181205,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Jammu|ACHARYA SHRI CHANDER INSTITUTE OF NURSING,Acharya Shri Chander Institute Of Nursing,"Acharya Shri Chander Institute Of Nursing, Acharya Shri Chander College Of Medical Sciences Hospital, P/O-Majeeen , Sindhra, Distt.- Jammu, Jammu Kashmir, Pin Code- 180017",Shri Chander Chinar Bada Akhara Udasin Society,Jammu,Jammu & kashmir,Private,GNM | B.Sc(N),60 (Sixty) | 60 (Sixty),120,180017,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Badgam|ALAMDAAR MEMORIAL COLLEGE OF NURSING & MEDICAL TECHNOLOGY,Alamdaar Memorial College Of Nursing & Medical Technology,"Alamdaar Memorial College Of Nursing & Medical Technology, New Colony, Charar-E-Sharief, Srinagar, Distt.- Badgam, Jammu & Kashmir, Pin Code- 191113",J And K Board For Muslim Specified Wakafs,Badgam,Jammu & kashmir,Private,B.Sc(N),40 (Forty),40,191113,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Srinagar|ARSH INSTITUTE OF HEALTH SCIENCES AND TECHNOLOGY,Arsh Institute Of Health Sciences And Technology,"Arsh Institute Of Health Sciences And Technology, Khanmoh Bungam, Srinagar/Khanmoh, Distt.- Srinagar, Jammu Kashmir, Pin Code- 191104",Arsh Institute Of Health Sciences And Technology,Srinagar,Jammu & kashmir,Private,B.Sc(N),30 (Thirty),30,191104,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
