sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Baba Ghulam Shah Badshah University,"Baba Ghulam Shah Badshah University, School Of Nursing & Biomedical Sciences , Rajouri, Distt.- Rajouri, Jammu & Kashmir, Pin Code- 185123",Baba Ghulam Shah Badshah University,Rajouri,Jammu & kashmir,Government,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
2,Data Ranpat Dev College Of B.Sc Nursing And Post Basic B.Sc Nursing,"Data Ranpat Dev College Of B.Sc Nursing And Post Basic B.Sc Nursing , Dhaloti, Rajbagh Kathua, Kathua, Distt.- Kathua, Jammu & Kashmir, Pin Code- 184144",Rani Laxmi Bhai Educational And Welfare Trust,Kathua,Jammu & kashmir,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
3,Florence Paramedical And Nursing Institute,"Florence Paramedical And Nursing Institute, Muslim Abad Kp Road Anantnag, Anantnag, Distt.- Anantnag, Jammu & Kashmir, Pin Code- 192101",Aash Educational Trust,Anantnag,Jammu & kashmir,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
4,Indian Institute Of Technical Training,"Indian Institute Of Technical Training, 25- Kartholi Bari Brahmna, Bari Brahmna, Distt.- Samba, Jammu & Kashmir, Pin Code- 181133",Shri Durga Dass Sharma Memorial Society,Samba,Jammu & kashmir,Private,GNM,25 (Twenty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
5,Shri Mata Vaishno Devi College Of Nursing,"Shri Mata Vaishno Devi College Of Nursing, Shri Mata Vaishno Devi Shrine Board Kakryal, Katra, Distt.- Reasi, Jammu & Kashmir, Pin Code- 182320",Shri Mata Vaishno Devi Shrine Board,Reasi,Jammu & kashmir,Private,B.Sc(N),80 (Eighty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
6,Syed Mantaqi Memorial College Of Nursing & Medical Technology,"Syed Mantaqi Memorial College Of Nursing & Medical Technology, Near Syed Hassan Mantaqi Surine , Awantipora, Distt.- Pulwama, Jammu & Kashmir, Pin Code- 192122",J And K Board For Muslim Specified Wakafs And Specified Wakaf Properties,Pulwama,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
7,Ueg College Of Paramedical Sciences,"Ueg College Of Paramedical Sciences , Silver Okax Lane Near Anuradha High Sec. School Barnai Jammu, Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181205",World Peace Forum,Jammu,Jammu & kashmir,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
8,Acharya Shri Chander Institute Of Nursing,"Acharya Shri Chander Institute Of Nursing, Acharya Shri Chander College Of Medical Sciences Hospital, P/O-Majeeen , Sindhra, Distt.- Jammu, Jammu Kashmir, Pin Code- 180017",Shri Chander Chinar Bada Akhara Udasin Society,Jammu,Jammu & kashmir,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
8,Acharya Shri Chander Institute Of Nursing,"Acharya Shri Chander Institute Of Nursing, Acharya Shri Chander College Of Medical Sciences Hospital, P/O-Majeeen , Sindhra, Distt.- Jammu, Jammu Kashmir, Pin Code- 180017",Shri Chander Chinar Bada Akhara Udasin Society,Jammu,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
9,Alamdaar Memorial College Of Nursing & Medical Technology,"Alamdaar Memorial College Of Nursing & Medical Technology, New Colony, Charar-E-Sharief, Srinagar, Distt.- Badgam, Jammu & Kashmir, Pin Code- 191113",J And K Board For Muslim Specified Wakafs,Badgam,Jammu & kashmir,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
