inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Jharkhand|Ranchi|A V SCHOOL OF NURSING,A V School Of Nursing,"A V School Of Nursing, Mahabir Nagar, Kokar, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834001",A-V Chikitsa Shiksha Jan Kalyan Trust,Ranchi,Jharkhand,Private,ANM | GNM,20 (Twenty) | 60 (Sixty),80,834001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Bokaro|A. G. COLLEGE OF NURSING,A. G. College Of Nursing,"A. G. College Of Nursing, Bandhdih, Jaridih, Jainamore,, Bokaro, Distt.- Bokaro, Jharkhand, Pin Code- 829301",Abdul Gafur Ansari Education Trust,Bokaro,Jharkhand,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),30 (Thirty) | 60 (Sixty) | 50 (Fifty) | 15 (Fifteen) 03 In Each Specialty | 20 (Twenty),175,829301,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Palamu|A.N.M. SCHOOL SADAR HOSPITAL,A.N.M. School Sadar Hospital,"A.N.M. School Sadar Hospital, , Daltonganj , Distt.- Palamu, Jharkhand, Pin Code- 822101",Jharkhand Government,Palamu,Jharkhand,Government,ANM,60 (Sixty),60,822101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Hazaribagh|A.N.M. SCHOOL & SADAR HOSPITAL,A.N.M. School & Sadar Hospital,"A.N.M. School & Sadar Hospital, Hazaribagh, Hazaribagh, Distt.- Hazaribagh, Jharkhand, Pin Code- 825301","Ministry Of Health And Family Welfare, Government Of Jharkhand",Hazaribagh,Jharkhand,Government,ANM,30 (Thirty),30,825301,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|A.N.M. SCHOOL OF NURSING,A.N.M. School Of Nursing,"A.N.M. School Of Nursing, Sadar Hospital Campus, Purulia Road, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834001",Government Of Jharkhand,Ranchi,Jharkhand,Government,ANM,30 (Thirty),30,834001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Dumka|A.N.M. TC DUMKA,A.N.M. Tc Dumka,"A.N.M. Tc Dumka, Sadar Hospital, Dumka, Distt.- Dumka, Jharkhand, Pin Code- 814101",Ministry Of Health And Family Welfare Govt. Of Jharkhand,Dumka,Jharkhand,Government,ANM,30 (Thirty),30,814101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Lohardaga|A.N.M. TRAINING CENTRE,A.N.M. Training Centre,"A.N.M. Training Centre, St Ursula Hospital, St. Ursula Training Hospital, College Road, Lohardaga, Distt.- Lohardaga, Jharkhand, Pin Code- 835302",Ranchi Ursuline Society,Lohardaga,Jharkhand,Private,ANM,40 (Forty),40,835302,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|A.N.M. TRAINING SCHOOL,A.N.M. Training School,"A.N.M. Training School, Tribal Social Welfare Society, Panchwati South Railway Colony Chutia, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834001",Tribal Social Welfare Society,Ranchi,Jharkhand,Private,ANM,40 (Forty),40,834001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Palamu|AASHI NURSING SCHOOL,Aashi Nursing School,"Aashi Nursing School, Sabaouna, Rehla, Bishrampur, Distt.- Palamu, Jharkhand, Pin Code- 822124",Saraswati Life Line And Rural Development,Palamu,Jharkhand,Private,ANM,20 (Twenty),20,822124,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Deoghar|ALL INDIA INSTITUTE OF MEDICAL SCIENCES,All India Institute Of Medical Sciences,"All India Institute Of Medical Sciences, Deoghar, Jharkhand, Deoghar, Distt.- Deoghar, Jharkhand, Pin Code- 0",Government Of Jharkhand,Deoghar,Jharkhand,Government,B.Sc(N),60 (Sixty),60,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|AMAR JYOTI SCHOOL OF NURSING,Amar Jyoti School Of Nursing,"Amar Jyoti School Of Nursing, P.O & P.S.- Channoh, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Amar Jyoti Society,Ranchi,Jharkhand,Private,ANM,30 (Thirty),30,835214,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|AMRITA COLLEGE OF NURSING,Amrita College Of Nursing,"Amrita College Of Nursing, P.O.-Irba, P.S-Ormanjhi, Vill.- Hutup, Tehsil- Ormanjhi, Distt.- Ranchi, Jharkhand, Pin Code- 835217",Human Benifit Education Trust,Ranchi,Jharkhand,Private,B.Sc(N) | GNM,30 (Thirty) | 30 (Thirty),60,835217,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Simdega|ANGEL NURSING COLLEGE,Angel Nursing College,"Angel Nursing College, Zamzam Complex,Bhatthi Toli, Main Road, Simdega Jharkhand, Simdega, Distt.- Simdega, Jharkhand, Pin Code- 835223",Jharkhand Educational And Health Welfare Society,Simdega,Jharkhand,Private,B.Sc(N),60 (Sixty),60,835223,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|West Singhbhum|ANM TRAINING SCHOOL,Anm Training School,"Anm Training School , Sadar Hospital Campus, Chaibasa, Distt.- West Singhbhum, Jharkhand, Pin Code- 833201",Jharkhand Government,West Singhbhum,Jharkhand,Government,ANM,20 (Twenty),20,833201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Garhwa|AROGYAM HOSPITAL AND NURSING SCHOOL,Arogyam Hospital And Nursing School,"Arogyam Hospital And Nursing School, Vill- Jhalua, P.O.- Kalyanpur, P.S.- Garhwa, Garhwa , Distt.- Garhwa, Jharkhand, Pin Code- 822114",Aarogyam Hospital And Research Private Limited,Garhwa,Jharkhand,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,822114,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Gumla|ASHISH NURSING PRASIKSHAN SANSTHAN,Ashish Nursing Prasikshan Sansthan,"Ashish Nursing Prasikshan Sansthan, Village Post Office - Chharda, Police Station - Sisai, Gumla, Distt.- Gumla, Jharkhand, Pin Code- 835324",Chetna Society,Gumla,Jharkhand,Private,ANM,50 (Fifty),50,835324,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Latehar|AVIRAM GRAMIN VIKAS SWAYAM SEVI SANSTHAN COLLEGE OF NURSING,Aviram Gramin Vikas Swayam Sevi Sansthan College Of Nursing,"Aviram Gramin Vikas Swayam Sevi Sansthan College Of Nursing, Hutup, Pandra, Distt.- Latehar, Jharkhand, Pin Code- 835213",Aviram Gramin Vikas Swayam Sevi Sansthan,Latehar,Jharkhand,Private,B.Sc(N),40 (Forty),40,835213,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|AVYAN SCHOOL OF NURSING,Avyan School Of Nursing,"Avyan School Of Nursing, At- Kathalmore, Post- Lalgutwa, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835303",Jharkhand Skilled Development For Rural Mass,Ranchi,Jharkhand,Private,GNM,60 (Sixty),60,835303,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|BABU LAL BADAMIYA DEVI INSTITUTE OF HEALTH,Babu Lal Badamiya Devi Institute Of Health,"Babu Lal Badamiya Devi Institute Of Health, Mandar, Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Utpalaksh Memorial Trust,Ranchi,Jharkhand,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,835214,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|BHARAT MATA SCHOOL OF NURSING,Bharat Mata School Of Nursing,"Bharat Mata School Of Nursing, Singhpur, Po- Muri, Ranchi, Jharkhand, Muri, Silli, Distt.- Ranchi, Jharkhand, Pin Code- 835101",Sneharam Charitable Trust,Ranchi,Jharkhand,Private,GNM,40 (Forty),40,835101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|BHARATHI COLLEGE OF NURSING,Bharathi College Of Nursing,"Bharathi College Of Nursing, Plot No. - 592, Bharathi College Road, Vill. - Kandri, Po - Mandar, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Bharathi Educational Trust,Ranchi,Jharkhand,Private,GNM,40 (Forty),40,835214,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Godda|BHARTI SCHOOL OF NURSING,Bharti School Of Nursing,"Bharti School Of Nursing, At- Pairdih, Po- Kauribahiyar,Ps- Godda, Dist- Godda (Jh)-814133, Godda, Distt.- Godda, Jharkhand, Pin Code- 814133",Bharti Seva Trust,Godda,Jharkhand,Private,ANM,50 (Fifty),50,814133,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Bokaro|BIRSA COLLEGE OF NURSING,Birsa College Of Nursing,"Birsa College Of Nursing, By Pass Road Chas , Chas, Distt.- Bokaro, Jharkhand, Pin Code- 827013",Birsa Vikas Society,Bokaro,Jharkhand,Private,GNM | ANM,60 (Sixty) | 40 (Forty),100,827013,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
