sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A V School Of Nursing,"A V School Of Nursing, Mahabir Nagar, Kokar, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834001",A-V Chikitsa Shiksha Jan Kalyan Trust,Ranchi,Jharkhand,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
1,A V School Of Nursing,"A V School Of Nursing, Mahabir Nagar, Kokar, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834001",A-V Chikitsa Shiksha Jan Kalyan Trust,Ranchi,Jharkhand,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
2,A. G. College Of Nursing,"A. G. College Of Nursing, Bandhdih, Jaridih, Jainamore,, Bokaro, Distt.- Bokaro, Jharkhand, Pin Code- 829301",Abdul Gafur Ansari Education Trust,Bokaro,Jharkhand,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
2,A. G. College Of Nursing,"A. G. College Of Nursing, Bandhdih, Jaridih, Jainamore,, Bokaro, Distt.- Bokaro, Jharkhand, Pin Code- 829301",Abdul Gafur Ansari Education Trust,Bokaro,Jharkhand,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
2,A. G. College Of Nursing,"A. G. College Of Nursing, Bandhdih, Jaridih, Jainamore,, Bokaro, Distt.- Bokaro, Jharkhand, Pin Code- 829301",Abdul Gafur Ansari Education Trust,Bokaro,Jharkhand,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
2,A. G. College Of Nursing,"A. G. College Of Nursing, Bandhdih, Jaridih, Jainamore,, Bokaro, Distt.- Bokaro, Jharkhand, Pin Code- 829301",Abdul Gafur Ansari Education Trust,Bokaro,Jharkhand,Private,M. Sc (N),15 (Fifteen) 03 In Each Specialty,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
2,A. G. College Of Nursing,"A. G. College Of Nursing, Bandhdih, Jaridih, Jainamore,, Bokaro, Distt.- Bokaro, Jharkhand, Pin Code- 829301",Abdul Gafur Ansari Education Trust,Bokaro,Jharkhand,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
3,A.N.M. School Sadar Hospital,"A.N.M. School Sadar Hospital, , Daltonganj , Distt.- Palamu, Jharkhand, Pin Code- 822101",Jharkhand Government,Palamu,Jharkhand,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
4,A.N.M. School & Sadar Hospital,"A.N.M. School & Sadar Hospital, Hazaribagh, Hazaribagh, Distt.- Hazaribagh, Jharkhand, Pin Code- 825301","Ministry Of Health And Family Welfare, Government Of Jharkhand",Hazaribagh,Jharkhand,Government,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
5,A.N.M. School Of Nursing,"A.N.M. School Of Nursing, Sadar Hospital Campus, Purulia Road, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834001",Government Of Jharkhand,Ranchi,Jharkhand,Government,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
6,A.N.M. Tc Dumka,"A.N.M. Tc Dumka, Sadar Hospital, Dumka, Distt.- Dumka, Jharkhand, Pin Code- 814101",Ministry Of Health And Family Welfare Govt. Of Jharkhand,Dumka,Jharkhand,Government,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
7,A.N.M. Training Centre,"A.N.M. Training Centre, St Ursula Hospital, St. Ursula Training Hospital, College Road, Lohardaga, Distt.- Lohardaga, Jharkhand, Pin Code- 835302",Ranchi Ursuline Society,Lohardaga,Jharkhand,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
8,A.N.M. Training School,"A.N.M. Training School, Tribal Social Welfare Society, Panchwati South Railway Colony Chutia, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834001",Tribal Social Welfare Society,Ranchi,Jharkhand,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
9,Aashi Nursing School,"Aashi Nursing School, Sabaouna, Rehla, Bishrampur, Distt.- Palamu, Jharkhand, Pin Code- 822124",Saraswati Life Line And Rural Development,Palamu,Jharkhand,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
10,All India Institute Of Medical Sciences,"All India Institute Of Medical Sciences, Deoghar, Jharkhand, Deoghar, Distt.- Deoghar, Jharkhand, Pin Code- 0",Government Of Jharkhand,Deoghar,Jharkhand,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
11,Amar Jyoti School Of Nursing,"Amar Jyoti School Of Nursing, P.O & P.S.- Channoh, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Amar Jyoti Society,Ranchi,Jharkhand,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
12,Amrita College Of Nursing,"Amrita College Of Nursing, P.O.-Irba, P.S-Ormanjhi, Vill.- Hutup, Tehsil- Ormanjhi, Distt.- Ranchi, Jharkhand, Pin Code- 835217",Human Benifit Education Trust,Ranchi,Jharkhand,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
12,Amrita College Of Nursing,"Amrita College Of Nursing, P.O.-Irba, P.S-Ormanjhi, Vill.- Hutup, Tehsil- Ormanjhi, Distt.- Ranchi, Jharkhand, Pin Code- 835217",Human Benifit Education Trust,Ranchi,Jharkhand,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
13,Angel Nursing College,"Angel Nursing College, Zamzam Complex,Bhatthi Toli, Main Road, Simdega Jharkhand, Simdega, Distt.- Simdega, Jharkhand, Pin Code- 835223",Jharkhand Educational And Health Welfare Society,Simdega,Jharkhand,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
14,Anm Training School,"Anm Training School , Sadar Hospital Campus, Chaibasa, Distt.- West Singhbhum, Jharkhand, Pin Code- 833201",Jharkhand Government,West Singhbhum,Jharkhand,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
15,Arogyam Hospital And Nursing School,"Arogyam Hospital And Nursing School, Vill- Jhalua, P.O.- Kalyanpur, P.S.- Garhwa, Garhwa , Distt.- Garhwa, Jharkhand, Pin Code- 822114",Aarogyam Hospital And Research Private Limited,Garhwa,Jharkhand,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
15,Arogyam Hospital And Nursing School,"Arogyam Hospital And Nursing School, Vill- Jhalua, P.O.- Kalyanpur, P.S.- Garhwa, Garhwa , Distt.- Garhwa, Jharkhand, Pin Code- 822114",Aarogyam Hospital And Research Private Limited,Garhwa,Jharkhand,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
16,Ashish Nursing Prasikshan Sansthan,"Ashish Nursing Prasikshan Sansthan, Village Post Office - Chharda, Police Station - Sisai, Gumla, Distt.- Gumla, Jharkhand, Pin Code- 835324",Chetna Society,Gumla,Jharkhand,Private,ANM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
17,Aviram Gramin Vikas Swayam Sevi Sansthan College Of Nursing,"Aviram Gramin Vikas Swayam Sevi Sansthan College Of Nursing, Hutup, Pandra, Distt.- Latehar, Jharkhand, Pin Code- 835213",Aviram Gramin Vikas Swayam Sevi Sansthan,Latehar,Jharkhand,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
18,Avyan School Of Nursing,"Avyan School Of Nursing, At- Kathalmore, Post- Lalgutwa, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835303",Jharkhand Skilled Development For Rural Mass,Ranchi,Jharkhand,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
19,Babu Lal Badamiya Devi Institute Of Health,"Babu Lal Badamiya Devi Institute Of Health, Mandar, Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Utpalaksh Memorial Trust,Ranchi,Jharkhand,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
19,Babu Lal Badamiya Devi Institute Of Health,"Babu Lal Badamiya Devi Institute Of Health, Mandar, Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Utpalaksh Memorial Trust,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
