inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Karnataka|Bangalore|A E C S MAARUTI SCHOOL OF NURSING,A E C S Maaruti School Of Nursing,"A E C S Maaruti School Of Nursing, #99,Near Maaruti Dental College, Off Bannerghatta Road,Kammanahalli,, Bangalore , Distt.- Bangalore, Karnataka, Pin Code- 0",Amrith Educational And Cultural Society,Bangalore,Karnataka,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),60 (Sixty) | 60 (Sixty) | 25: 5 In Each Speciality | 40 (Forty),185,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Kolar|A E C S PAVAN SCHOOL OF NURSING,A E C S Pavan School Of Nursing,"A E C S Pavan School Of Nursing, Byepass Road,P.B.No15,Harohalli Garden, Kolar, Distt.- Kolar, Karnataka, Pin Code- 563102",Amrith Educational And Cultural Society,Kolar,Karnataka,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),"60 (Sixty) | 60 (Sixty) | 30 (Thirty) Med-Surg-10, Paed-10, Obg-10 | 40 (Forty)",190,563102,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Dakshina Kannada|A SHAMA RAO NURSING SCHOOL,A Shama Rao Nursing School,"A Shama Rao Nursing School, Valachil Padavu, Arkula, Farangipete Post, Mangalore, Mangalore, Distt.- Dakshina Kannada, Karnataka, Pin Code- 574143",A.Shama Rao Foundation Or Srinivas Group Of Colleges,Dakshina Kannada,Karnataka,Private,GNM | B.Sc(N) | M. Sc (N),"60 (Sixty) | 100 (Hundred) | 10 (Ten) Psy- 02, Obg- 03, Chn- 03, Med Surg- 02",170,574143,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Bangalore|A V K COLLEGE OF NURSING,A V K College Of Nursing,"A V K College Of Nursing, No.8/9,27Th Cross,Opp Monotype Busstand,Banashanakri Iind Stage, Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560070",Adarsha Vidya Kendra Trust,Bangalore,Karnataka,Private,B.Sc(N) | P B B.Sc(N) | GNM,60 (Sixty) | 40 (Forty) | 60 (Sixty),160,560070,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Ramanagara|AAFFINITY COLLEGE OF NURSING,Aaffinity College Of Nursing,"Aaffinity College Of Nursing, No.33,Bheemanahalli, B.M Road, Bidadi, Ramanagara 562109, Bidadi, Distt.- Ramanagara, Karnataka, Pin Code- 562109",Dks Charitable Institute Trust,Ramanagara,Karnataka,Private,B.Sc(N),40 (Forty),40,562109,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Bangalore|ABHAYA COLLEGE OF NURSING,Abhaya College Of Nursing,"Abhaya College Of Nursing, Kumbalagodu Main Road. Off Kanakapura Road, Thathaguni Post, Kengeri Hobli, , Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560082",Jayalakshmi Muniswamaiah Memorial Trust,Bangalore,Karnataka,Private,B.Sc(N) | GNM,60 (Sixty) | 40 (Forty),100,560082,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Gulbarga|ABU KARNATAKA SCHOOL OF NURSING,Abu Karnataka School Of Nursing,"Abu Karnataka School Of Nursing,, Shaikh Roza Near Aland Check-Post , Gulbarga, Distt.- Gulbarga, Karnataka, Pin Code- 585101",Karnataka Educational And Welfare Trust,Gulbarga,Karnataka,Private,GNM,30 (Thirty),30,585101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Bangalore|ACHARYA COLLEGE OF NURSING,Acharya College Of Nursing,"Acharya College Of Nursing, No. 51, Cholanagar, R T Nagar Post, Bangalore, Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560032",Samagra Sikshana Samithi Trust,Bangalore,Karnataka,Private,B.Sc(N) | M. Sc (N),60 (Sixty) | 15 (Fifteen),75,560032,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Bangalore|ADITYA SCHOOL OF NURSING,Aditya School Of Nursing,"Aditya School Of Nursing, No-12, Kogilu Main Road, Yelahanka, , Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560064",S S R Medical Educational And Charitable Trust,Bangalore,Karnataka,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),"40 (Forty) | 60 (Sixty) | 25 (Twenty Five) Med Surg-5, Psy-5, Chn-5, Paed-5, Obg-5 | 50 (Fifty)",175,560064,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
Karnataka|Bangalore|ADVENTIST COLLEGE OF NURSING,Adventist College Of Nursing,"Adventist College Of Nursing,, Lowry Memorial College Campus,Opp.K R Puram Railway Station,, Dooravaninagar, Distt.- Bangalore, Karnataka, Pin Code- 560016","Professionals Education And Charitable Trust,",Bangalore,Karnataka,Private,B.Sc(N) | M. Sc (N),40 (Forty) | 15 (Fifteen),55,560016,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
