sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A E C S Maaruti School Of Nursing,"A E C S Maaruti School Of Nursing, #99,Near Maaruti Dental College, Off Bannerghatta Road,Kammanahalli,, Bangalore , Distt.- Bangalore, Karnataka, Pin Code- 0",Amrith Educational And Cultural Society,Bangalore,Karnataka,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
1,A E C S Maaruti School Of Nursing,"A E C S Maaruti School Of Nursing, #99,Near Maaruti Dental College, Off Bannerghatta Road,Kammanahalli,, Bangalore , Distt.- Bangalore, Karnataka, Pin Code- 0",Amrith Educational And Cultural Society,Bangalore,Karnataka,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
1,A E C S Maaruti School Of Nursing,"A E C S Maaruti School Of Nursing, #99,Near Maaruti Dental College, Off Bannerghatta Road,Kammanahalli,, Bangalore , Distt.- Bangalore, Karnataka, Pin Code- 0",Amrith Educational And Cultural Society,Bangalore,Karnataka,Private,M. Sc (N),25: 5 In Each Speciality,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
1,A E C S Maaruti School Of Nursing,"A E C S Maaruti School Of Nursing, #99,Near Maaruti Dental College, Off Bannerghatta Road,Kammanahalli,, Bangalore , Distt.- Bangalore, Karnataka, Pin Code- 0",Amrith Educational And Cultural Society,Bangalore,Karnataka,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
2,A E C S Pavan School Of Nursing,"A E C S Pavan School Of Nursing, Byepass Road,P.B.No15,Harohalli Garden, Kolar, Distt.- Kolar, Karnataka, Pin Code- 563102",Amrith Educational And Cultural Society,Kolar,Karnataka,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
2,A E C S Pavan School Of Nursing,"A E C S Pavan School Of Nursing, Byepass Road,P.B.No15,Harohalli Garden, Kolar, Distt.- Kolar, Karnataka, Pin Code- 563102",Amrith Educational And Cultural Society,Kolar,Karnataka,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
2,A E C S Pavan School Of Nursing,"A E C S Pavan School Of Nursing, Byepass Road,P.B.No15,Harohalli Garden, Kolar, Distt.- Kolar, Karnataka, Pin Code- 563102",Amrith Educational And Cultural Society,Kolar,Karnataka,Private,M. Sc (N),"30 (Thirty) Med-Surg-10, Paed-10, Obg-10",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
2,A E C S Pavan School Of Nursing,"A E C S Pavan School Of Nursing, Byepass Road,P.B.No15,Harohalli Garden, Kolar, Distt.- Kolar, Karnataka, Pin Code- 563102",Amrith Educational And Cultural Society,Kolar,Karnataka,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
3,A Shama Rao Nursing School,"A Shama Rao Nursing School, Valachil Padavu, Arkula, Farangipete Post, Mangalore, Mangalore, Distt.- Dakshina Kannada, Karnataka, Pin Code- 574143",A.Shama Rao Foundation Or Srinivas Group Of Colleges,Dakshina Kannada,Karnataka,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
3,A Shama Rao Nursing School,"A Shama Rao Nursing School, Valachil Padavu, Arkula, Farangipete Post, Mangalore, Mangalore, Distt.- Dakshina Kannada, Karnataka, Pin Code- 574143",A.Shama Rao Foundation Or Srinivas Group Of Colleges,Dakshina Kannada,Karnataka,Private,B.Sc(N),100 (Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
3,A Shama Rao Nursing School,"A Shama Rao Nursing School, Valachil Padavu, Arkula, Farangipete Post, Mangalore, Mangalore, Distt.- Dakshina Kannada, Karnataka, Pin Code- 574143",A.Shama Rao Foundation Or Srinivas Group Of Colleges,Dakshina Kannada,Karnataka,Private,M. Sc (N),"10 (Ten) Psy- 02, Obg- 03, Chn- 03, Med Surg- 02",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
4,A V K College Of Nursing,"A V K College Of Nursing, No.8/9,27Th Cross,Opp Monotype Busstand,Banashanakri Iind Stage, Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560070",Adarsha Vidya Kendra Trust,Bangalore,Karnataka,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
4,A V K College Of Nursing,"A V K College Of Nursing, No.8/9,27Th Cross,Opp Monotype Busstand,Banashanakri Iind Stage, Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560070",Adarsha Vidya Kendra Trust,Bangalore,Karnataka,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
4,A V K College Of Nursing,"A V K College Of Nursing, No.8/9,27Th Cross,Opp Monotype Busstand,Banashanakri Iind Stage, Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560070",Adarsha Vidya Kendra Trust,Bangalore,Karnataka,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
5,Aaffinity College Of Nursing,"Aaffinity College Of Nursing, No.33,Bheemanahalli, B.M Road, Bidadi, Ramanagara 562109, Bidadi, Distt.- Ramanagara, Karnataka, Pin Code- 562109",Dks Charitable Institute Trust,Ramanagara,Karnataka,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
6,Abhaya College Of Nursing,"Abhaya College Of Nursing, Kumbalagodu Main Road. Off Kanakapura Road, Thathaguni Post, Kengeri Hobli, , Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560082",Jayalakshmi Muniswamaiah Memorial Trust,Bangalore,Karnataka,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
6,Abhaya College Of Nursing,"Abhaya College Of Nursing, Kumbalagodu Main Road. Off Kanakapura Road, Thathaguni Post, Kengeri Hobli, , Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560082",Jayalakshmi Muniswamaiah Memorial Trust,Bangalore,Karnataka,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
7,Abu Karnataka School Of Nursing,"Abu Karnataka School Of Nursing,, Shaikh Roza Near Aland Check-Post , Gulbarga, Distt.- Gulbarga, Karnataka, Pin Code- 585101",Karnataka Educational And Welfare Trust,Gulbarga,Karnataka,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
8,Acharya College Of Nursing,"Acharya College Of Nursing, No. 51, Cholanagar, R T Nagar Post, Bangalore, Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560032",Samagra Sikshana Samithi Trust,Bangalore,Karnataka,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
8,Acharya College Of Nursing,"Acharya College Of Nursing, No. 51, Cholanagar, R T Nagar Post, Bangalore, Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560032",Samagra Sikshana Samithi Trust,Bangalore,Karnataka,Private,M. Sc (N),15 (Fifteen),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
9,Aditya School Of Nursing,"Aditya School Of Nursing, No-12, Kogilu Main Road, Yelahanka, , Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560064",S S R Medical Educational And Charitable Trust,Bangalore,Karnataka,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
9,Aditya School Of Nursing,"Aditya School Of Nursing, No-12, Kogilu Main Road, Yelahanka, , Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560064",S S R Medical Educational And Charitable Trust,Bangalore,Karnataka,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
9,Aditya School Of Nursing,"Aditya School Of Nursing, No-12, Kogilu Main Road, Yelahanka, , Bangalore, Distt.- Bangalore, Karnataka, Pin Code- 560064",S S R Medical Educational And Charitable Trust,Bangalore,Karnataka,Private,M. Sc (N),"25 (Twenty Five) Med Surg-5, Psy-5, Chn-5, Paed-5, Obg-5",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:18:41.808583
