inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Kerala|Thiruvananthapuram|A J SCHOOLOF NURSING,A J Schoolof Nursing,"A J Schoolof Nursing,, A J Hospital, Kazhakootam, Distt.- Thiruvananthapuram, Kerala, Pin Code- 695582",Ramlath Memorial Charitable Trust,Thiruvananthapuram,Kerala,Private,GNM,25 (Twenty Five),25,695582,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Kannur|A K G MEMORIAL CO- OPERATIVE SCHOOL OF NURSING,A K G Memorial Co- Operative School Of Nursing,"A K G Memorial Co- Operative School Of Nursing, Mavilayi Post, Near Gurukkenmarkavu, , Distt.- Kannur, Kerala, Pin Code- 670622",Kannur Cooperative Hospital Society Ltd,Kannur,Kerala,Private,GNM | B.Sc(N),50 (Fifty) | 80 (Eighty),130,670622,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Thrissur|ABDUL WAHAB MEMORIAL RAJAH SCHOOL OF NURSING,Abdul Wahab Memorial Rajah School Of Nursing,"Abdul Wahab Memorial Rajah School Of Nursing,, Muthuvattoor, Chavakkad, Distt.- Thrissur, Kerala, Pin Code- 680506",Rajah Charitable Medical Trust,Thrissur,Kerala,Private,GNM,20 (Twenty),20,680506,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Palakkad|AHALIA COLLEGE OF NURSING,Ahalia College Of Nursing,"Ahalia College Of Nursing, Ahalia Campus, Kozhippara Post, Palakkad, Distt.- Palakkad, Kerala, Pin Code- 678557",Ahalia International Foundation,Palakkad,Kerala,Private,B.Sc(N),40 (Forty),40,678557,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Malappuram|AL SHIFA COLLEGE OF NURSING,Al Shifa College Of Nursing,"Al Shifa College Of Nursing, Lemon Valley, Angadipuram Post, Perintalmanna, Distt.- Malappuram, Kerala, Pin Code- 679321",Shifa Medicare Trust,Malappuram,Kerala,Private,B.Sc(N) | M. Sc (N),90 (Ninety) | 15 (Fifteen),105,679321,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Iddukki|AL-AZHAR SCHOOL OF NURSING,Al-Azhar School Of Nursing,"Al-Azhar School Of Nursing, Ezhalloor, Perumpillichira, Thodupuzha, Distt.- Iddukki, Kerala, Pin Code- 685605",Noorul Islam Trust,Iddukki,Kerala,Private,GNM | B.Sc(N),60 (Sixty) | 100 (ONE HUNDRED),160,685605,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Malappuram|ALMAS COLLEGE OF NURSING,Almas College Of Nursing,"Almas College Of Nursing, Po - Puthoor, Kottakkal, Distt.- Malappuram, Kerala, Pin Code- 676503",Almas Medical Educational And Charitable Trust,Malappuram,Kerala,Private,B.Sc(N),60 (Sixty),60,676503,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Iddukki|ALPHONSA COLLEGE OF NURSING MURICKASSERY,Alphonsa College Of Nursing Murickassery,"Alphonsa College Of Nursing Murickassery, Murickassery P.O, Idukki(Dist), Kerala, Murickassery, Distt.- Iddukki, Kerala, Pin Code- 685604",Alphonsa Social Service Society,Iddukki,Kerala,Private,B.Sc(N),40 (Forty),40,685604,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Thrissur|AMALA CANCER HOSPITAL AND RESEARCH CENTRE,Amala Cancer Hospital And Research Centre,"Amala Cancer Hospital And Research Centre, Amalanagar, Thrissur, Distt.- Thrissur, Kerala, Pin Code- 680555",Amala Cancer Hospital Society,Thrissur,Kerala,Private,GNM,40 (Forty),40,680555,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
Kerala|Thrissur|AMALA COLLEGE OF NURSING,Amala College Of Nursing,"Amala College Of Nursing,, Amala Instt Of Medical Sciences, Amalanagar P O, Thrissur, Distt.- Thrissur, Kerala, Pin Code- 680555",Amala Cancer Hospital Society,Thrissur,Kerala,Private,B.Sc(N) | M. Sc (N),90 (Ninety) | 20 (Twenty),110,680555,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
