sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A J Schoolof Nursing,"A J Schoolof Nursing,, A J Hospital, Kazhakootam, Distt.- Thiruvananthapuram, Kerala, Pin Code- 695582",Ramlath Memorial Charitable Trust,Thiruvananthapuram,Kerala,Private,GNM,25 (Twenty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
2,A K G Memorial Co- Operative School Of Nursing,"A K G Memorial Co- Operative School Of Nursing, Mavilayi Post, Near Gurukkenmarkavu, , Distt.- Kannur, Kerala, Pin Code- 670622",Kannur Cooperative Hospital Society Ltd,Kannur,Kerala,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
2,A K G Memorial Co- Operative School Of Nursing,"A K G Memorial Co- Operative School Of Nursing, Mavilayi Post, Near Gurukkenmarkavu, , Distt.- Kannur, Kerala, Pin Code- 670622",Kannur Cooperative Hospital Society Ltd,Kannur,Kerala,Private,B.Sc(N),80 (Eighty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
3,Abdul Wahab Memorial Rajah School Of Nursing,"Abdul Wahab Memorial Rajah School Of Nursing,, Muthuvattoor, Chavakkad, Distt.- Thrissur, Kerala, Pin Code- 680506",Rajah Charitable Medical Trust,Thrissur,Kerala,Private,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
4,Ahalia College Of Nursing,"Ahalia College Of Nursing, Ahalia Campus, Kozhippara Post, Palakkad, Distt.- Palakkad, Kerala, Pin Code- 678557",Ahalia International Foundation,Palakkad,Kerala,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
5,Al Shifa College Of Nursing,"Al Shifa College Of Nursing, Lemon Valley, Angadipuram Post, Perintalmanna, Distt.- Malappuram, Kerala, Pin Code- 679321",Shifa Medicare Trust,Malappuram,Kerala,Private,B.Sc(N),90 (Ninety),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
5,Al Shifa College Of Nursing,"Al Shifa College Of Nursing, Lemon Valley, Angadipuram Post, Perintalmanna, Distt.- Malappuram, Kerala, Pin Code- 679321",Shifa Medicare Trust,Malappuram,Kerala,Private,M. Sc (N),15 (Fifteen),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
6,Al-Azhar School Of Nursing,"Al-Azhar School Of Nursing, Ezhalloor, Perumpillichira, Thodupuzha, Distt.- Iddukki, Kerala, Pin Code- 685605",Noorul Islam Trust,Iddukki,Kerala,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
6,Al-Azhar School Of Nursing,"Al-Azhar School Of Nursing, Ezhalloor, Perumpillichira, Thodupuzha, Distt.- Iddukki, Kerala, Pin Code- 685605",Noorul Islam Trust,Iddukki,Kerala,Private,B.Sc(N),100 (ONE HUNDRED),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
7,Almas College Of Nursing,"Almas College Of Nursing, Po - Puthoor, Kottakkal, Distt.- Malappuram, Kerala, Pin Code- 676503",Almas Medical Educational And Charitable Trust,Malappuram,Kerala,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:23:29.305392
