inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Madhya Pradesh|Bhopal|ALL INDIA INSTITUTE OF MEDICAL SCIENCES COLLEGE OF NURSING,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Saket Nagar, Bhopal, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462020",Govt Of Madhya Pradesh,Bhopal,Madhya Pradesh,Government,B.Sc(N),60 (Sixty),60,462020,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Dewas|AMALTAS INSTITUTE OF NURSING SCIENCES,Amaltas Institute Of Nursing Sciences,"Amaltas Institute Of Nursing Sciences , Gram Bangar Ujjain Dewas Highway Dist Dewas, Dewas, Distt.- Dewas, Madhya Pradesh, Pin Code- 455001",Amaltas Educational Welfare Society,Dewas,Madhya Pradesh,Private,Ph. D | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),"8 (Eight) | 100 (One Hundred) | 150 (One Hundred Fifty) | 34 ( Thirty Four) Med Surg- 10, Chn -05, Obg- 05, Pead -09, Psy- 05 | 40 (Forty)",332,455001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Jabalpur|AMARJYOTI INSTITUTE OF NURSING SCIENCES & RESEARCH,Amarjyoti Institute Of Nursing Sciences & Research,"Amarjyoti Institute Of Nursing Sciences & Research, S-1, Laxmipur, Mr-4 Link Road, Near Vijayshree Tower, Ekta Chowk, Vijay Nagar, Vijay Nagar, Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Vindhyachal Women Development And Welfare Society,Jabalpur,Madhya Pradesh,Private,B.Sc(N),55 (Fifty Five),55,482002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Jabalpur|ANUSHREE COLLEGE OF NURSING,Anushree College Of Nursing,"Anushree College Of Nursing, 112, Kashodhan Nagar, Near Samdareeya Green City, Jabalpur , Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Anushree Education Society,Jabalpur,Madhya Pradesh,Private,B.Sc(N) | GNM | M. Sc (N) | P B B.Sc(N),60 (Sixty) | 60 (Sixty) | 30 (Thirty) | 30 (Thirty),180,482002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Jhabua|ARHAM INSTITUTE OF NURSING,Arham Institute Of Nursing,"Arham Institute Of Nursing, Near Choyal Hospital, College Road, Petlawad, Distt.- Jhabua, Madhya Pradesh, Pin Code- 457773",Om Sainath Shikshan Samiti,Jhabua,Madhya Pradesh,Private,GNM,50 (Fifty),50,457773,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Bhopal|ASHA NIKETAN SCHOOL OF NURSING,Asha Niketan School Of Nursing,"Asha Niketan School Of Nursing, E-6, Arera Colony, Vill.- Bhopal, Tehsil- Huzur, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462016",Ashaniketan Hospital And Rehabilitation Centre,Bhopal,Madhya Pradesh,Private,GNM,40 (Forty),40,462016,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Bhopal|AUROVINDO SCHOOL OF NURSING RESEARCH,Aurovindo School Of Nursing Research,"Aurovindo School Of Nursing Research, 160/2, Near Sagar Public School, Sikandrabad, Patwari Halka No-41, Revenue Inspector Circle No-03, Vikaskhand Phhanda, Ratibad Phhanda Road, Vill.- Silkandrab",Vivekanand Vichardham Shiksha Avam Samaj Kalyan Samiti,Bhopal,Madhya Pradesh,Private,ANM | B.Sc(N) | GNM | M. Sc (N),30 (Thirty) | 50 (Fifty) | 40 (Forty) | 25 (Twenty Five) Med. Surg-5 Paed-5 Chn-5 Obg-5 Psy-5,145,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Barwani|AUXILIARY NURSE AND MIDWIFE HEALTH WORKERS' SCHOOL / AUGUSTINE COLLEGE OF NURSING,Auxiliary Nurse And Midwife Health Workers' School / Augustine College Of Nursing,"Auxiliary Nurse And Midwife Health Workers' School / Augustine College Of Nursing, C/O Karuna Hospital, Old A B Road, Pipaldhar, Vill.- Pipaldhar, Tehsil- Niwali, Distt.- Barwani, Madhya Pradesh,",St.Augustine Social Service Society,Barwani,Madhya Pradesh,Private,ANM | B.Sc(N),20 (Twenty) | 30 (Thirty),50,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Burhanpur|B I M T S COLLEGE OF NURSING,B I M T S College Of Nursing,"B I M T S College Of Nursing, Khasra No. 180/1 180/2, Khandwa Road, Jhiri Panchyat, Burhanpur, Distt.- Burhanpur, Madhya Pradesh, Pin Code- 450331",Iswam Academy Of Technical And General Edu,Burhanpur,Madhya Pradesh,Private,B.Sc(N),60 (Sixty),60,450331,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Balaghat|BHARAT INSTITUTE OF NURSING,Bharat Institute Of Nursing,"Bharat Institute Of Nursing, Ukwa, Rupjhar, Ukwa Rupjhar , Distt.- Balaghat, Madhya Pradesh, Pin Code- 481105",Rastogi Education,Balaghat,Madhya Pradesh,Private,GNM,20 (Twenty),20,481105,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
