sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Saket Nagar, Bhopal, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462020",Govt Of Madhya Pradesh,Bhopal,Madhya Pradesh,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
2,Amaltas Institute Of Nursing Sciences,"Amaltas Institute Of Nursing Sciences , Gram Bangar Ujjain Dewas Highway Dist Dewas, Dewas, Distt.- Dewas, Madhya Pradesh, Pin Code- 455001",Amaltas Educational Welfare Society,Dewas,Madhya Pradesh,Private,Ph. D,8 (Eight),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
2,Amaltas Institute Of Nursing Sciences,"Amaltas Institute Of Nursing Sciences , Gram Bangar Ujjain Dewas Highway Dist Dewas, Dewas, Distt.- Dewas, Madhya Pradesh, Pin Code- 455001",Amaltas Educational Welfare Society,Dewas,Madhya Pradesh,Private,GNM,100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
2,Amaltas Institute Of Nursing Sciences,"Amaltas Institute Of Nursing Sciences , Gram Bangar Ujjain Dewas Highway Dist Dewas, Dewas, Distt.- Dewas, Madhya Pradesh, Pin Code- 455001",Amaltas Educational Welfare Society,Dewas,Madhya Pradesh,Private,B.Sc(N),150 (One Hundred Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
2,Amaltas Institute Of Nursing Sciences,"Amaltas Institute Of Nursing Sciences , Gram Bangar Ujjain Dewas Highway Dist Dewas, Dewas, Distt.- Dewas, Madhya Pradesh, Pin Code- 455001",Amaltas Educational Welfare Society,Dewas,Madhya Pradesh,Private,M. Sc (N),"34 ( Thirty Four) Med Surg- 10, Chn -05, Obg- 05, Pead -09, Psy- 05",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
2,Amaltas Institute Of Nursing Sciences,"Amaltas Institute Of Nursing Sciences , Gram Bangar Ujjain Dewas Highway Dist Dewas, Dewas, Distt.- Dewas, Madhya Pradesh, Pin Code- 455001",Amaltas Educational Welfare Society,Dewas,Madhya Pradesh,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
3,Amarjyoti Institute Of Nursing Sciences & Research,"Amarjyoti Institute Of Nursing Sciences & Research, S-1, Laxmipur, Mr-4 Link Road, Near Vijayshree Tower, Ekta Chowk, Vijay Nagar, Vijay Nagar, Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Vindhyachal Women Development And Welfare Society,Jabalpur,Madhya Pradesh,Private,B.Sc(N),55 (Fifty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
4,Anushree College Of Nursing,"Anushree College Of Nursing, 112, Kashodhan Nagar, Near Samdareeya Green City, Jabalpur , Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Anushree Education Society,Jabalpur,Madhya Pradesh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
4,Anushree College Of Nursing,"Anushree College Of Nursing, 112, Kashodhan Nagar, Near Samdareeya Green City, Jabalpur , Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Anushree Education Society,Jabalpur,Madhya Pradesh,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
4,Anushree College Of Nursing,"Anushree College Of Nursing, 112, Kashodhan Nagar, Near Samdareeya Green City, Jabalpur , Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Anushree Education Society,Jabalpur,Madhya Pradesh,Private,M. Sc (N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
4,Anushree College Of Nursing,"Anushree College Of Nursing, 112, Kashodhan Nagar, Near Samdareeya Green City, Jabalpur , Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Anushree Education Society,Jabalpur,Madhya Pradesh,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
5,Arham Institute Of Nursing,"Arham Institute Of Nursing, Near Choyal Hospital, College Road, Petlawad, Distt.- Jhabua, Madhya Pradesh, Pin Code- 457773",Om Sainath Shikshan Samiti,Jhabua,Madhya Pradesh,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
6,Asha Niketan School Of Nursing,"Asha Niketan School Of Nursing, E-6, Arera Colony, Vill.- Bhopal, Tehsil- Huzur, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462016",Ashaniketan Hospital And Rehabilitation Centre,Bhopal,Madhya Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
