inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Maharashtra|Thane|ROSALIND S. TETON SCHOOL OF NURSING,Rosalind S. Teton School Of Nursing,"Rosalind S. Teton School Of Nursing, Bhaktivedanta Hospital , Srishti Sector-1, Mira Road (E), Vill.- Mira Road , Tehsil- Vasai, Distt.- Thane, Maharashtra, Pin Code- 401107",Chaitanya Seva Trust,Thane,Maharashtra,Private,GNM,20 (Twenty),20,401107,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Jalna|VASANTRAO NAIK COLLEGE OF NURSING,Vasantrao Naik College Of Nursing,"Vasantrao Naik College Of Nursing , Chatrapati Colony,Near Old Tehsil Office, Old Jalna, Jalna , Distt.- Jalna, Maharashtra, Pin Code- 431213","Vasantrao Naik Shikshan Prasarak Mandal's, Jalna",Jalna,Maharashtra,Private,B.Sc(N) | ANM,40 (Forty) | 20 (Twenty),60,431213,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Nandurbar|AAISAHEB JAYABAI NURSING SCHOOL,Aaisaheb Jayabai Nursing School,"Aaisaheb Jayabai Nursing School, At.Pathrai,Post.Dhamdai, Pathrai, Distt.- Nandurbar, Maharashtra, Pin Code- 425412",Adiwasi Deomogra Education Society,Nandurbar,Maharashtra,Private,ANM,20 (Twenty),20,425412,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Amravati|AMRAVATI GENERAL HOSPITAL,Amravati General Hospital,"Amravati General Hospital, In Front Of General Hospital,Irwin Chowk, Amravati, Distt.- Amravati, Maharashtra, Pin Code- 444601",,Amravati,Maharashtra,Government,GNM,20 (Twenty),20,444601,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Aurangabad|ANAND COLLEGE OF NURSING,Anand College Of Nursing,"Anand College Of Nursing, At Post- Phulywadi Road, Vaijapur , Distt.- Aurangabad, Maharashtra, Pin Code- 423701",Anand Charitable Trust,Aurangabad,Maharashtra,Private,B.Sc(N),50 (Fifty),50,423701,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Gadchiroli|ANM SCHOOL OF NURSING GADCHIROLI,Anm School Of Nursing Gadchiroli,"Anm School Of Nursing Gadchiroli , General Hospital, Complex Area, Gadchiroli, Distt.- Gadchiroli, Maharashtra, Pin Code- 442605",Maharashtra,Gadchiroli,Maharashtra,Government,ANM,20 (Twenty),20,442605,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Dhule|ANNASAHEB CHUDAMAN PATIL MEMORIAL COLLEGE OF NURSING,Annasaheb Chudaman Patil Memorial College Of Nursing,"Annasaheb Chudaman Patil Memorial College Of Nursing, Post Box No. 145 Sakri Road, Dhule, Distt.- Dhule, Maharashtra, Pin Code- 424001",Jawahar Medical Foundation,Dhule,Maharashtra,Private,B.Sc(N),50 (Fifty),50,424001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Buldana|ANURADHA NURSING SCHOOL,Anuradha Nursing School,"Anuradha Nursing School, Anuradha Nagar Sakegaon Road, Chikhli, Distt.- Buldana, Maharashtra, Pin Code- 443201",Paramhansa Ramkrishna Munibaba Shikshan Sanstha,Buldana,Maharashtra,Private,ANM,30 (Thirty),30,443201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Pune|ARMED FORCES MEDICAL COLLEGE & HOSPITAL,Armed Forces Medical College & Hospital,"Armed Forces Medical College & Hospital, College Of Nursing Afmc Wanowarie Pune , Pune, Distt.- Pune, Maharashtra, Pin Code- 411040",Armed Forces,Pune,Maharashtra,Government,B.Sc(N) | M. Sc (N) | Post Basic Diploma in Operation Room Nursing | Post Basic Diploma in Cardio Thoracic Nursing | P B B.Sc(N) | Post Basic Diploma in Oncology Nursing | Post Basic Diploma in Ortho and Rehabilitation Nsg | Post Basic Diploma in Neonatal nursing,50 (Fifty) | 20 (Twenty) Med-Surg-6 Psy-2 Chn-4 Paed-4 Obg-4 | 20 (Twenty) | 8 (Eight) | 20 (Twenty) | 8 (Eight) | 20 (Twenty) | 8 (Eight),154,411040,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Nagpur|ASHARAM SCHOOL OF NURSING,Asharam School Of Nursing,"Asharam School Of Nursing, C/O Asha Hospital,Lekha Nagar,Cantonment,Kamptee Nagpur Road, Kamptee, Distt.- Nagpur, Maharashtra, Pin Code- 441001",Manakchand Prabhudan Charitable Trust,Nagpur,Maharashtra,Private,ANM,20 (Twenty),20,441001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
