sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Rosalind S. Teton School Of Nursing,"Rosalind S. Teton School Of Nursing, Bhaktivedanta Hospital , Srishti Sector-1, Mira Road (E), Vill.- Mira Road , Tehsil- Vasai, Distt.- Thane, Maharashtra, Pin Code- 401107",Chaitanya Seva Trust,Thane,Maharashtra,Private,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
2,Vasantrao Naik College Of Nursing,"Vasantrao Naik College Of Nursing , Chatrapati Colony,Near Old Tehsil Office, Old Jalna, Jalna , Distt.- Jalna, Maharashtra, Pin Code- 431213","Vasantrao Naik Shikshan Prasarak Mandal's, Jalna",Jalna,Maharashtra,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
2,Vasantrao Naik College Of Nursing,"Vasantrao Naik College Of Nursing , Chatrapati Colony,Near Old Tehsil Office, Old Jalna, Jalna , Distt.- Jalna, Maharashtra, Pin Code- 431213","Vasantrao Naik Shikshan Prasarak Mandal's, Jalna",Jalna,Maharashtra,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
3,Aaisaheb Jayabai Nursing School,"Aaisaheb Jayabai Nursing School, At.Pathrai,Post.Dhamdai, Pathrai, Distt.- Nandurbar, Maharashtra, Pin Code- 425412",Adiwasi Deomogra Education Society,Nandurbar,Maharashtra,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
4,Amravati General Hospital,"Amravati General Hospital, In Front Of General Hospital,Irwin Chowk, Amravati, Distt.- Amravati, Maharashtra, Pin Code- 444601",,Amravati,Maharashtra,Government,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
5,Anand College Of Nursing,"Anand College Of Nursing, At Post- Phulywadi Road, Vaijapur , Distt.- Aurangabad, Maharashtra, Pin Code- 423701",Anand Charitable Trust,Aurangabad,Maharashtra,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
6,Anm School Of Nursing Gadchiroli,"Anm School Of Nursing Gadchiroli , General Hospital, Complex Area, Gadchiroli, Distt.- Gadchiroli, Maharashtra, Pin Code- 442605",Maharashtra,Gadchiroli,Maharashtra,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
7,Annasaheb Chudaman Patil Memorial College Of Nursing,"Annasaheb Chudaman Patil Memorial College Of Nursing, Post Box No. 145 Sakri Road, Dhule, Distt.- Dhule, Maharashtra, Pin Code- 424001",Jawahar Medical Foundation,Dhule,Maharashtra,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
8,Anuradha Nursing School,"Anuradha Nursing School, Anuradha Nagar Sakegaon Road, Chikhli, Distt.- Buldana, Maharashtra, Pin Code- 443201",Paramhansa Ramkrishna Munibaba Shikshan Sanstha,Buldana,Maharashtra,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
9,Armed Forces Medical College & Hospital,"Armed Forces Medical College & Hospital, College Of Nursing Afmc Wanowarie Pune , Pune, Distt.- Pune, Maharashtra, Pin Code- 411040",Armed Forces,Pune,Maharashtra,Government,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
