inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Manipur|Imphal East|ACME COLLEGE OF NURSING,Acme College Of Nursing,"Acme College Of Nursing, Hiyang Hiren Leirak, Palace Compound, Imphal East, Distt.- Imphal East, Manipur, Pin Code- 795005",Acme Ignite Foundation,Imphal East,Manipur,Private,B.Sc(N),40 (Forty),40,795005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal West|ANM /FHW TRAINING SCHOOL,Anm /Fhw Training School,"Anm /Fhw Training School, Lamphelpat, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795004",Government Of Manipur,Imphal West,Manipur,Government,ANM,30 (Thirty),30,795004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Churachandpur|BETHESDA COLLEGE OF NURSING,Bethesda College Of Nursing,"Bethesda College Of Nursing, Muolvaiphei,Churachandpur District,Manipur, Churachandpur, Distt.- Churachandpur, Manipur, Pin Code- 795128",Muolvaiphei Rural Health &Amp; Research Centre(Mrh&Amp;Rc,Churachandpur,Manipur,Private,GNM | B.Sc(N) | P B B.Sc(N),40 (Forty) | 30 (Thirty) | 20 (Twenty),90,795128,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|C M C COLLEGE OF NURSING,C M C College Of Nursing,"C M C College Of Nursing, Mantripukhri Po Koirengei, Imphal, Distt.- Imphal East, Manipur, Pin Code- 795002",Catholic Medical Centre,Imphal East,Manipur,Private,B.Sc(N) | P B B.Sc(N),40 (Forty) | 20 (Twenty),60,795002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal West|CITY COLLEGE OF NURSING,City College Of Nursing,"City College Of Nursing, Sangaiprou,Airport Road,Imphal, Imphal West, Distt.- Imphal West, Manipur, Pin Code- 795001",City Hospital And Research Centre,Imphal West,Manipur,Private,B.Sc(N),30 (Thirty),30,795001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal West|COLLEGE OF NURSING (R I M S),College Of Nursing (R I M S),"College Of Nursing (R I M S) , Regional Institute Of Medical Sciences, Lamphelpat, Imphal , Distt.- Imphal West, Manipur, Pin Code- 795004",Regional Instt Of Med Sciences Society,Imphal West,Manipur,Government,B.Sc(N) | M. Sc (N),"50 (Fifty) | 10 (Ten) Med-Surg-4, Chn-4, Paed-2",60,795004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal West|COLLEGE OF NURSING MEDICAL DIRECTORATE,College Of Nursing Medical Directorate,"College Of Nursing Medical Directorate, Lamphelpat, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795004",Government Of Manipur,Imphal West,Manipur,Government,B.Sc(N) | M. Sc (N),"40 (Forty) | 10 (Ten) Paed-2, Psy-2, Obg-2, Chn-2, Med Surg- 2",50,795004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Churachandpur|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Churachandpur, Near District Hospital Churachandpur, Ib Road, Lamka Churachandpur, Manipur, Lamka, Distt.- Churachandpur, Manipur, Pin Code- 795128",Government Of Manipur,Churachandpur,Manipur,Government,Upgraded College of Nursing | GNM,30 (Thirty) | 30 (Thirty),60,795128,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Thoubal|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Thoubal, College Of Nursing, Thoubaldistrict Hospital Complex, Thoubal.Pin-795138, Manipur, Thoubal, Distt.- Thoubal, Manipur, Pin Code- 795138",Manipur,Thoubal,Manipur,Government,Upgraded College of Nursing | GNM,40 (Forty) | 40 (Forty),80,795138,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|DR ANJULI NAYAK NURSING SCHOOL,Dr Anjuli Nayak Nursing School,"Dr Anjuli Nayak Nursing School, Dewlahlane , Imphal, Distt.- Imphal East, Manipur, Pin Code- 795001",Kuki Christian Church Assembly,Imphal East,Manipur,Private,ANM | GNM,20 (Twenty) | 40 (Forty),60,795001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal West|FEMALE HEALTH WORKER TRAINING SCHOOL,Female Health Worker Training School,"Female Health Worker Training School, , Imphal, Distt.- Imphal West, Manipur, Pin Code- 795004",Family Welfare Dept Govt Of Manipur,Imphal West,Manipur,Government,ANM,40 (Forty),40,795004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Senapati|GREEN LAND COLLEGE OF NURSING,Green Land College Of Nursing,"Green Land College Of Nursing, Khopijang, Chandel, Distt.- Senapati, Manipur, Pin Code- 795101",People Healthcare And Development Organisation,Senapati,Manipur,Private,B.Sc(N),40 (Forty),40,795101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal West|IRNGBAM THAMCHA DEVI NURSING AND HEALTH CARE RESEARCH INSTITUTE,Irngbam Thamcha Devi Nursing And Health Care Research Institute,"Irngbam Thamcha Devi Nursing And Health Care Research Institute, Uripok, Khoisnam Leikai, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795001",All Manipur Management And Development Training And Research Centre,Imphal West,Manipur,Private,P B B.Sc(N),20 (Twenty),20,795001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|JAWAHARLAL NEHRU SCHOOL OF NURSING,Jawaharlal Nehru School Of Nursing,"Jawaharlal Nehru School Of Nursing, Soibam Leikai, Imphal , Distt.- Imphal East, Manipur, Pin Code- 795005",Human Care Organisation,Imphal East,Manipur,Private,GNM,40 (Forty),40,795005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|KANGLEIPAK MEDICAL AND NURSING INSTITUTE,Kangleipak Medical And Nursing Institute,"Kangleipak Medical And Nursing Institute, Khurai Konsam Leikai,Paonam Leirak , Imphal , Distt.- Imphal East, Manipur, Pin Code- 795010",Kangleipak Medical And Nursing Institute,Imphal East,Manipur,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N),40 (Forty) | 08 (Eight) Med Surg-02 Paed-02 Psy-02 Obg-02 | 30 (Thirty),78,795010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|L CHAOBI NURSING INSTITUTE,L Chaobi Nursing Institute,"L Chaobi Nursing Institute, J.N Hospital Road, Porompat (Pong Lambi) , Imphal, Distt.- Imphal East, Manipur, Pin Code- 795005",Development Of Community Society,Imphal East,Manipur,Private,GNM,20 (Twenty),20,795005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal West|LEIRIK INSTITUTE OF NURSING,Leirik Institute Of Nursing,"Leirik Institute Of Nursing, Sangaiprou, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795001",Leirik Memorial Charitable Society,Imphal West,Manipur,Private,GNM,40 (Forty),40,795001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Thoubal|MANIPUR NURSING INSTITUTE,Manipur Nursing Institute,"Manipur Nursing Institute,, Tentha Thongkhong Bazar, Wangjing, Distt.- Thoubal, Manipur, Pin Code- 795148",Wangjing Tentha Farmers Developement Association,Thoubal,Manipur,Private,GNM,30 (Thirty),30,795148,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|NIGHTINGALE NURSING INSTITUTE,Nightingale Nursing Institute,"Nightingale Nursing Institute, J.N.I.M's Road, Porompat, Imphal East, Vill.- Porompat, Tehsil- Porompat, Distt.- Imphal East, Manipur, Pin Code- 795010",Society For Rural Development,Imphal East,Manipur,Private,GNM,30 (Thirty),30,795010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
