sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Acme College Of Nursing,"Acme College Of Nursing, Hiyang Hiren Leirak, Palace Compound, Imphal East, Distt.- Imphal East, Manipur, Pin Code- 795005",Acme Ignite Foundation,Imphal East,Manipur,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
2,Anm /Fhw Training School,"Anm /Fhw Training School, Lamphelpat, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795004",Government Of Manipur,Imphal West,Manipur,Government,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
3,Bethesda College Of Nursing,"Bethesda College Of Nursing, Muolvaiphei,Churachandpur District,Manipur, Churachandpur, Distt.- Churachandpur, Manipur, Pin Code- 795128",Muolvaiphei Rural Health &Amp; Research Centre(Mrh&Amp;Rc,Churachandpur,Manipur,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
3,Bethesda College Of Nursing,"Bethesda College Of Nursing, Muolvaiphei,Churachandpur District,Manipur, Churachandpur, Distt.- Churachandpur, Manipur, Pin Code- 795128",Muolvaiphei Rural Health &Amp; Research Centre(Mrh&Amp;Rc,Churachandpur,Manipur,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
3,Bethesda College Of Nursing,"Bethesda College Of Nursing, Muolvaiphei,Churachandpur District,Manipur, Churachandpur, Distt.- Churachandpur, Manipur, Pin Code- 795128",Muolvaiphei Rural Health &Amp; Research Centre(Mrh&Amp;Rc,Churachandpur,Manipur,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
4,C M C College Of Nursing,"C M C College Of Nursing, Mantripukhri Po Koirengei, Imphal, Distt.- Imphal East, Manipur, Pin Code- 795002",Catholic Medical Centre,Imphal East,Manipur,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
4,C M C College Of Nursing,"C M C College Of Nursing, Mantripukhri Po Koirengei, Imphal, Distt.- Imphal East, Manipur, Pin Code- 795002",Catholic Medical Centre,Imphal East,Manipur,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
5,City College Of Nursing,"City College Of Nursing, Sangaiprou,Airport Road,Imphal, Imphal West, Distt.- Imphal West, Manipur, Pin Code- 795001",City Hospital And Research Centre,Imphal West,Manipur,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
6,College Of Nursing (R I M S),"College Of Nursing (R I M S) , Regional Institute Of Medical Sciences, Lamphelpat, Imphal , Distt.- Imphal West, Manipur, Pin Code- 795004",Regional Instt Of Med Sciences Society,Imphal West,Manipur,Government,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
6,College Of Nursing (R I M S),"College Of Nursing (R I M S) , Regional Institute Of Medical Sciences, Lamphelpat, Imphal , Distt.- Imphal West, Manipur, Pin Code- 795004",Regional Instt Of Med Sciences Society,Imphal West,Manipur,Government,M. Sc (N),"10 (Ten) Med-Surg-4, Chn-4, Paed-2",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
7,College Of Nursing Medical Directorate,"College Of Nursing Medical Directorate, Lamphelpat, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795004",Government Of Manipur,Imphal West,Manipur,Government,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
7,College Of Nursing Medical Directorate,"College Of Nursing Medical Directorate, Lamphelpat, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795004",Government Of Manipur,Imphal West,Manipur,Government,M. Sc (N),"10 (Ten) Paed-2, Psy-2, Obg-2, Chn-2, Med Surg- 2",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
