inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Mizoram|Aizawl|AIZAWL COLLEGE OF NURSING,Aizawl College Of Nursing,"Aizawl College Of Nursing, Ramrikawn, Tuivamit, Aizawl, Mizoram, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796009",Eye Care Hospital Society,Aizawl,Mizoram,Private,B.Sc(N),30 (Thirty),30,796009,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Aizawl|ANM SCHOOL AIZAWL,Anm School Aizawl,"Anm School Aizawl, Zemabawk, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796019",Government Of Mizoram,Aizawl,Mizoram,Government,ANM,20 (Twenty),20,796019,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Aizawl|APOLLO SCHOOL OF NURSING,Apollo School Of Nursing,"Apollo School Of Nursing, H.No. - Y/67B, Phileo Building, Luangmual Vengthlang, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796009",Sacred Heart Society,Aizawl,Mizoram,Private,GNM,50 (Fifty),50,796009,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Aizawl|B N COLLEGE OF NURSING,B N College Of Nursing,"B N College Of Nursing, H.No A-94, Kawnghnuai, Vailuitui,World Bank Road, Hualngohmun, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796005",Bn Foundation Society,Aizawl,Mizoram,Private,B.Sc(N),30 (Thirty),30,796005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Aizawl|BLESSINO NURSING SCHOOL,Blessino Nursing School,"Blessino Nursing School, Maubawk, Vill.- Maubawk, Tehsil- Tlangnuam, Distt.- Aizawl, Mizoram, Pin Code- 796001",Blessino Welfare Society,Aizawl,Mizoram,Private,GNM,30 (Thirty),30,796001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Lunglei|CHRISTIAN SERKAWN HOSP. SCHOOL OF NURSING,Christian Serkawn Hosp. School Of Nursing,"Christian Serkawn Hosp. School Of Nursing,, Christian Hospital Serkawn P.O.Zotlang,, Lunglei, Distt.- Lunglei, Mizoram, Pin Code- 796691",Baptist Church Of Mizoram,Lunglei,Mizoram,Private,GNM,30 (Thirty),30,796691,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Aizawl|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Synod Hospital, Durtlang, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796015",Synod Hospital Society,Aizawl,Mizoram,Private,B.Sc(N),30 (Thirty),30,796015,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Champhai|GNM SCHOOL CHAMPHAI,Gnm School Champhai,"Gnm School Champhai, Gnm School Champhaichamphai Vengsang, Champhai, Distt.- Champhai, Mizoram, Pin Code- 796321",Govt Of Mizoram,Champhai,Mizoram,Government,GNM,20 (Twenty),20,796321,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Lawngtlai|GOVERNMENT A N M SCHOOL OF NURSING,Government A N M School Of Nursing,"Government A N M School Of Nursing, , , Distt.- Lawngtlai, Mizoram, Pin Code- 796891",Government Of Mizoram,Lawngtlai,Mizoram,Government,ANM,20 (Twenty),20,796891,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
Mizoram|Kolasib|GOVERNMENT SCHOOL OF NURSING,Government School Of Nursing,"Government School Of Nursing, , , Distt.- Kolasib, Mizoram, Pin Code- 796081",Government Of Mizoram,Kolasib,Mizoram,Government,GNM,20 (Twenty),20,796081,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
