sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Aizawl College Of Nursing,"Aizawl College Of Nursing, Ramrikawn, Tuivamit, Aizawl, Mizoram, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796009",Eye Care Hospital Society,Aizawl,Mizoram,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
2,Anm School Aizawl,"Anm School Aizawl, Zemabawk, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796019",Government Of Mizoram,Aizawl,Mizoram,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
3,Apollo School Of Nursing,"Apollo School Of Nursing, H.No. - Y/67B, Phileo Building, Luangmual Vengthlang, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796009",Sacred Heart Society,Aizawl,Mizoram,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
4,B N College Of Nursing,"B N College Of Nursing, H.No A-94, Kawnghnuai, Vailuitui,World Bank Road, Hualngohmun, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796005",Bn Foundation Society,Aizawl,Mizoram,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
5,Blessino Nursing School,"Blessino Nursing School, Maubawk, Vill.- Maubawk, Tehsil- Tlangnuam, Distt.- Aizawl, Mizoram, Pin Code- 796001",Blessino Welfare Society,Aizawl,Mizoram,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
6,Christian Serkawn Hosp. School Of Nursing,"Christian Serkawn Hosp. School Of Nursing,, Christian Hospital Serkawn P.O.Zotlang,, Lunglei, Distt.- Lunglei, Mizoram, Pin Code- 796691",Baptist Church Of Mizoram,Lunglei,Mizoram,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
7,College Of Nursing,"College Of Nursing, Synod Hospital, Durtlang, Aizawl, Distt.- Aizawl, Mizoram, Pin Code- 796015",Synod Hospital Society,Aizawl,Mizoram,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
8,Gnm School Champhai,"Gnm School Champhai, Gnm School Champhaichamphai Vengsang, Champhai, Distt.- Champhai, Mizoram, Pin Code- 796321",Govt Of Mizoram,Champhai,Mizoram,Government,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
9,Government A N M School Of Nursing,"Government A N M School Of Nursing, , , Distt.- Lawngtlai, Mizoram, Pin Code- 796891",Government Of Mizoram,Lawngtlai,Mizoram,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
10,Government School Of Nursing,"Government School Of Nursing, , , Distt.- Kolasib, Mizoram, Pin Code- 796081",Government Of Mizoram,Kolasib,Mizoram,Government,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:54.572855
