sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,College Of Nursing,"College Of Nursing , Majakong Ward, Mokokchung, Distt.- Mokokchung, Nagaland, Pin Code- 798601",Government Of Nagaland,Mokokchung,Nagaland,Government,Upgraded College of Nursing,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
2,Anm School Of Nursing,"Anm School Of Nursing, District Hospital , , Distt.- Tuensang, Nagaland, Pin Code- 798612",Government Of Nagaland,Tuensang,Nagaland,Government,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
3,Christian Institute Of Health Sciences &Amp; Research College Of Nursing,"Christian Institute Of Health Sciences &Amp; Research College Of Nursing, College Ofnursing, Cihsr 4Th Mile Po-31 Artc , Dimapur, Distt.- Dimapur, Nagaland, Pin Code- 797115",Christian Institute Of Health Sciences Research Society,Dimapur,Nagaland,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
3,Christian Institute Of Health Sciences &Amp; Research College Of Nursing,"Christian Institute Of Health Sciences &Amp; Research College Of Nursing, College Ofnursing, Cihsr 4Th Mile Po-31 Artc , Dimapur, Distt.- Dimapur, Nagaland, Pin Code- 797115",Christian Institute Of Health Sciences Research Society,Dimapur,Nagaland,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
3,Christian Institute Of Health Sciences &Amp; Research College Of Nursing,"Christian Institute Of Health Sciences &Amp; Research College Of Nursing, College Ofnursing, Cihsr 4Th Mile Po-31 Artc , Dimapur, Distt.- Dimapur, Nagaland, Pin Code- 797115",Christian Institute Of Health Sciences Research Society,Dimapur,Nagaland,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
4,College Of Nursing,"College Of Nursing, Naga Hospital Authority Kohima., College Of Nursing, Naga Hospital Authority Kohima. Kohima- 797001, , Kohima, Distt.- Kohima, Nagaland, Pin Code- 797001",Government Of Nagaland,Kohima,Nagaland,Government,Upgraded College of Nursing,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
5,Collge Of Nursing District Hospital Dimapur,"Collge Of Nursing District Hospital Dimapur, College Of Nursing District Hospital Dimapur.Nagaland, Dimapur, Distt.- Dimapur, Nagaland, Pin Code- 797112",Government Of Nagaland,Dimapur,Nagaland,Government,Upgraded College of Nursing,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
6,Grace Nursing And Health Sciences Institute,"Grace Nursing And Health Sciences Institute, 748, Padum Pukhuri Village, Dimapur , Distt.- Dimapur, Nagaland, Pin Code- 797115",Grace Educational And Charitable Trust,Dimapur,Nagaland,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
7,Health Care Nursing School,"Health Care Nursing School, Longleng, Medical Ward, Longleng Nagaland, Longleng Town, Distt.- Longleng, Nagaland, Pin Code- 798625","Institute Of Development Skills And Youth Welfare Society, Longleng",Longleng,Nagaland,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
8,Health Nursing School,"Health Nursing School, Singrijan, Dhansiripar Road, Dimapur, Distt.- Dimapur, Nagaland, Pin Code- 797112",Institute Of Rural Health Service Youth Welfare Society,Dimapur,Nagaland,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
8,Health Nursing School,"Health Nursing School, Singrijan, Dhansiripar Road, Dimapur, Distt.- Dimapur, Nagaland, Pin Code- 797112",Institute Of Rural Health Service Youth Welfare Society,Dimapur,Nagaland,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
9,North East Christain Univercity Department Of Nursing,"North East Christain Univercity Department Of Nursing, North East Christain Univercity , Anchor Complex , Burma Camp East Block , Post Box No. 109, Dimapur, Distt.- Dimapur, Nagaland, Pin Code- 7",North East Christain Univercity,Dimapur,Nagaland,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
9,North East Christain Univercity Department Of Nursing,"North East Christain Univercity Department Of Nursing, North East Christain Univercity , Anchor Complex , Burma Camp East Block , Post Box No. 109, Dimapur, Distt.- Dimapur, Nagaland, Pin Code- 7",North East Christain Univercity,Dimapur,Nagaland,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:14.168071
