inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Orissa|Khordha|A N M / H W ( F) TRAINING CENTRE,A N M / H W ( F) Training Centre,"A N M / H W ( F) Training Centre, Capital Hospital Campus Unit 6 Bhubaneswar , Bhubaneshwar, Distt.- Khordha, Orissa, Pin Code- 751001",Govt. Of Orissa,Khordha,Orissa,Government,ANM,50 (Fifty),50,751001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Ganjam|A N M TRAINING CENTRE CITY HOSPITAL,A N M Training Centre City Hospital,"A N M Training Centre City Hospital, Anm Training Center, Near City Hospital Road, Berhampur, Ganjam, Odisha , Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760001",Govt. Of Orissa,Ganjam,Orissa,Government,ANM,40 (Forty),40,760001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Kendrapara|A N M TRAINING CENTRE SCHOOL OF NURSING,A N M Training Centre School Of Nursing,"A N M Training Centre School Of Nursing, Anm Training Center,Dhh,Kendrapara Dist-Kendrapara , Kendrapara, Distt.- Kendrapara, Orissa, Pin Code- 754211",,Kendrapara,Orissa,Government,ANM,40 (Forty),40,754211,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Dhenkanal|A N M TRAINING CENTRE SCHOOL OF NURSING,A N M Training Centre School Of Nursing,"A N M Training Centre School Of Nursing, Kaibalya Bazar, Rathagada Dhenkanal , Dhenkanal, Distt.- Dhenkanal, Orissa, Pin Code- 759001",Govt Of Odisha,Dhenkanal,Orissa,Government,ANM,40 (Forty),40,759001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Kalahandi|A N M TRAINING CENTRE,A N M Training Centre,"A N M Training Centre, Anmtc,Dhh, Bhawanipatna, Distt.- Kalahandi, Orissa, Pin Code- 766001","Director Nursing Odisha,Bhubaneswar",Kalahandi,Orissa,Government,ANM,30 (Thirty),30,766001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Puri|A N M TRAINING CENTRE,A N M Training Centre,"A N M Training Centre, District Head Quarter Hospital Campus, Puri , Distt.- Puri, Orissa, Pin Code- 752001",Govt. Of Orissa,Puri,Orissa,Government,ANM,40 (Forty),40,752001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Boudh|A N M TRAINING SCHOOL,A N M Training School,"A N M Training School, At- Back Side Of Special Sub Jail, Boudh, Distt.- Boudh, Orissa, Pin Code- 762014",Health And Family Welfare Department Govt Of Odisha Bhubaneswar,Boudh,Orissa,Government,ANM,40 (Forty),40,762014,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Dhenkanal|ACHARYA HARIHARA ANM TRAINING SCHOOL,Acharya Harihara Anm Training School,"Acharya Harihara Anm Training School, At Po Anlabereni, Kamakshyanagar, Distt.- Dhenkanal, Orissa, Pin Code- 759023",A Managing Committee Of Acharya Harihar Vidyapitha,Dhenkanal,Orissa,Private,ANM,30 (Thirty),30,759023,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Khordha|ALL INDIA INSTITUTE OF MEDICAL SCIENCES COLLEGE OF NURSING,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Dumuduma, , Distt.- Khordha, Orissa, Pin Code- 751019",Govt Of Orissa,Khordha,Orissa,Government,B.Sc(N) | M. Sc (N),"75 (Seventy Five) | 25 (Twenty Five) Psy-4, Paed-7, Chn-2, Obg-4,Med-Surg-8",100,751019,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
Orissa|Ganjam|AMIT COLLEGE OF NURSING,Amit College Of Nursing,"Amit College Of Nursing, Nh-5,Konisi-Randha Road, Randha760007, Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760007",Vidya Bharati Charitable And Educational Trust,Ganjam,Orissa,Private,B.Sc(N),40 (Forty),40,760007,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
