sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A N M / H W ( F) Training Centre,"A N M / H W ( F) Training Centre, Capital Hospital Campus Unit 6 Bhubaneswar , Bhubaneshwar, Distt.- Khordha, Orissa, Pin Code- 751001",Govt. Of Orissa,Khordha,Orissa,Government,ANM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
2,A N M Training Centre City Hospital,"A N M Training Centre City Hospital, Anm Training Center, Near City Hospital Road, Berhampur, Ganjam, Odisha , Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760001",Govt. Of Orissa,Ganjam,Orissa,Government,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
3,A N M Training Centre School Of Nursing,"A N M Training Centre School Of Nursing, Anm Training Center,Dhh,Kendrapara Dist-Kendrapara , Kendrapara, Distt.- Kendrapara, Orissa, Pin Code- 754211",,Kendrapara,Orissa,Government,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
4,A N M Training Centre School Of Nursing,"A N M Training Centre School Of Nursing, Kaibalya Bazar, Rathagada Dhenkanal , Dhenkanal, Distt.- Dhenkanal, Orissa, Pin Code- 759001",Govt Of Odisha,Dhenkanal,Orissa,Government,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
5,A N M Training Centre,"A N M Training Centre, Anmtc,Dhh, Bhawanipatna, Distt.- Kalahandi, Orissa, Pin Code- 766001","Director Nursing Odisha,Bhubaneswar",Kalahandi,Orissa,Government,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
6,A N M Training Centre,"A N M Training Centre, District Head Quarter Hospital Campus, Puri , Distt.- Puri, Orissa, Pin Code- 752001",Govt. Of Orissa,Puri,Orissa,Government,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
7,A N M Training School,"A N M Training School, At- Back Side Of Special Sub Jail, Boudh, Distt.- Boudh, Orissa, Pin Code- 762014",Health And Family Welfare Department Govt Of Odisha Bhubaneswar,Boudh,Orissa,Government,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
8,Acharya Harihara Anm Training School,"Acharya Harihara Anm Training School, At Po Anlabereni, Kamakshyanagar, Distt.- Dhenkanal, Orissa, Pin Code- 759023",A Managing Committee Of Acharya Harihar Vidyapitha,Dhenkanal,Orissa,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
9,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Dumuduma, , Distt.- Khordha, Orissa, Pin Code- 751019",Govt Of Orissa,Khordha,Orissa,Government,B.Sc(N),75 (Seventy Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
9,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Dumuduma, , Distt.- Khordha, Orissa, Pin Code- 751019",Govt Of Orissa,Khordha,Orissa,Government,M. Sc (N),"25 (Twenty Five) Psy-4, Paed-7, Chn-2, Obg-4,Med-Surg-8",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
10,Amit College Of Nursing,"Amit College Of Nursing, Nh-5,Konisi-Randha Road, Randha760007, Berhampur, Distt.- Ganjam, Orissa, Pin Code- 760007",Vidya Bharati Charitable And Educational Trust,Ganjam,Orissa,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
11,Anm Training Centre,"Anm Training Centre, At:Gov.Anm Training Centre, Sundargarh Po/Ps: Sundargarh Dist: Sundargarh , Sundargarh , Distt.- Sundargarh, Orissa, Pin Code- 770001",Health And Family Welfare,Sundargarh,Orissa,Government,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
