inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Pondicherry/Puducherry|Puducherry|A G PADMAVATI COLLEGE OF NURSING,A G Padmavati College Of Nursing,"A G Padmavati College Of Nursing, No. 142/3, Savarayalu Reddy Road, Bahour Commune,, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607402",A G Padmavati Govinda Swamy Medical And Educational Trust,Puducherry,Pondicherry/Puducherry,Private,ANM | B.Sc(N) | GNM,20 (Twenty) | 60 (Sixty) | 20 (Twenty),100,607402,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Puducherry|CHRIST COLLEGE OF NURSING,Christ College Of Nursing,"Christ College Of Nursing, Anbu Nagar, Sedarapet Road,Thuthipet, Thondamanatham,Puducherry - 605502, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605502",Sampaul Educational Trust,Puducherry,Pondicherry/Puducherry,Private,ANM | GNM | B.Sc(N),40 (Forty) | 40 (Forty) | 40 (Forty),120,605502,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Puducherry|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Indira Gandhi Medical College And Research Institute, Igmc&Ri, Vazhudavur Road, Kathirkamam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605009",Puducherry Government,Puducherry,Pondicherry/Puducherry,Government,B.Sc(N) | M. Sc (N) | P B B.Sc(N),60 (Sixty) | 25 (Twenty Five) | 30 (Thirty),115,605009,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Karaikal|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Mother Theresa Post Graduate And Research Institute Of Health Sciences, Karaikal Branch , Western Bypass Road, Near Karaikal Bus Stand, Karaikal , Karaikal , Distt.- Karaikal, P",Government Of Puducherry,Karaikal,Pondicherry/Puducherry,Government,Upgraded College of Nursing,40 (Forty),40,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Puducherry|EAST COAST INSTITUTE OF MEDICAL SCIENCES,East Coast Institute Of Medical Sciences,"East Coast Institute Of Medical Sciences, No 1, Paris Nagar, Perambai Road, Moolakulam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605010",East Coast Hospitals Ltd,Puducherry,Pondicherry/Puducherry,Private,ANM | GNM | B.Sc(N) | M. Sc (N),30 (Thirty) | 40 (Forty) | 60 (Sixty) | 06 (Six),136,605010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Karaikal|IMMACULATE INSTITUTE OF HEALTH SCIENCES,Immaculate Institute Of Health Sciences,"Immaculate Institute Of Health Sciences, Idhaya Nagar, Mela Puthamangalam, Karaikal, Distt.- Karaikal, Pondicherry/Puducherry, Pin Code- 609607",Immaculate Heart Of Mary Society Generalate,Karaikal,Pondicherry/Puducherry,Private,GNM,50 (Fifty),50,609607,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Puducherry|KASTURBA GANDHI NURSING COLLEGE,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N) | NURSE PRACTITIONER IN CRITICAL CARE(NPCC),100 (One Hundred) | 25 (Twenty Five) Med-Surg-5 Chn-5 Psy-5 Paed-5 Obg-5 | 40 (Forty) | 10 (Ten),175,607403,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Puducherry|MOTHER TERESA INSTITUTE OF HEALTH SCIENCES,Mother Teresa Institute Of Health Sciences,"Mother Teresa Institute Of Health Sciences, School Of Nursing, Indra Nagar, Gori Medu, Vill.- Puducherry, Tehsil- Oulgaret, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605006",Govt Of Puducherry,Puducherry,Pondicherry/Puducherry,Government,ANM | GNM,30 (Thirty) | 40 (Forty),70,605006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Yanam|MOTHER THERESA POST GRADUATE & RESEARCH INSTITUTE OF HEALTH SCIENCES,Mother Theresa Post Graduate & Research Institute Of Health Sciences,"Mother Theresa Post Graduate & Research Institute Of Health Sciences, Government General Hospital, Yanam, Distt.- Yanam, Pondicherry/Puducherry, Pin Code- 533464",Mother Theresa Post Graduate And Research Institute Of Health Science,Yanam,Pondicherry/Puducherry,Government,ANM | GNM,12 (Twelve) | 20 (Twenty),32,533464,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
Pondicherry/Puducherry|Puducherry|MOTHER THERESA POST GRADUATE AND RESEARCH INSTITUTE OF HEALTH SCIENCES,Mother Theresa Post Graduate And Research Institute Of Health Sciences,"Mother Theresa Post Graduate And Research Institute Of Health Sciences, Indira Nagar, Gorimedu, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605006",Govt Of Puducherry,Puducherry,Pondicherry/Puducherry,Government,B.Sc(N) | M. Sc (N) | P B B.Sc(N),"100 (One Hundred) | 22 (Twenty Two) Med-Surg-5, Obg-5, Chn-5, Psy-7 | 25 (Twenty Five)",147,605006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
