sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A G Padmavati College Of Nursing,"A G Padmavati College Of Nursing, No. 142/3, Savarayalu Reddy Road, Bahour Commune,, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607402",A G Padmavati Govinda Swamy Medical And Educational Trust,Puducherry,Pondicherry/Puducherry,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
1,A G Padmavati College Of Nursing,"A G Padmavati College Of Nursing, No. 142/3, Savarayalu Reddy Road, Bahour Commune,, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607402",A G Padmavati Govinda Swamy Medical And Educational Trust,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
1,A G Padmavati College Of Nursing,"A G Padmavati College Of Nursing, No. 142/3, Savarayalu Reddy Road, Bahour Commune,, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607402",A G Padmavati Govinda Swamy Medical And Educational Trust,Puducherry,Pondicherry/Puducherry,Private,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
2,Christ College Of Nursing,"Christ College Of Nursing, Anbu Nagar, Sedarapet Road,Thuthipet, Thondamanatham,Puducherry - 605502, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605502",Sampaul Educational Trust,Puducherry,Pondicherry/Puducherry,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
2,Christ College Of Nursing,"Christ College Of Nursing, Anbu Nagar, Sedarapet Road,Thuthipet, Thondamanatham,Puducherry - 605502, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605502",Sampaul Educational Trust,Puducherry,Pondicherry/Puducherry,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
2,Christ College Of Nursing,"Christ College Of Nursing, Anbu Nagar, Sedarapet Road,Thuthipet, Thondamanatham,Puducherry - 605502, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605502",Sampaul Educational Trust,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
3,College Of Nursing,"College Of Nursing, Indira Gandhi Medical College And Research Institute, Igmc&Ri, Vazhudavur Road, Kathirkamam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605009",Puducherry Government,Puducherry,Pondicherry/Puducherry,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
4,College Of Nursing,"College Of Nursing, Jawaharlal Institute Of Postgraduate Medical Education And Research , Dhanvantari Nagar, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605066",Jawaharlal Institute Of Postgraduate Medical Education And Research Jipmer,Puducherry,Pondicherry/Puducherry,Government,B.Sc(N),75 (Seventy Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
4,College Of Nursing,"College Of Nursing, Jawaharlal Institute Of Postgraduate Medical Education And Research , Dhanvantari Nagar, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605066",Jawaharlal Institute Of Postgraduate Medical Education And Research Jipmer,Puducherry,Pondicherry/Puducherry,Government,M. Sc (N),25 (Twenty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
5,College Of Nursing,"College Of Nursing, Mother Theresa Post Graduate And Research Institute Of Health Sciences, Karaikal Branch , Western Bypass Road, Near Karaikal Bus Stand, Karaikal , Karaikal , Distt.- Karaikal, P",Government Of Puducherry,Karaikal,Pondicherry/Puducherry,Government,Upgraded College of Nursing,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
6,College Of Nursing,"College Of Nursing, Pondicherry Institute Of Medical Sciences , Ganapathichettikulam, Kalapet , Pondicherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605014",Madras Medical Mission,Puducherry,Pondicherry/Puducherry,Private,M. Sc (N),20 (Twenty) 4 In Each Speciality,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
6,College Of Nursing,"College Of Nursing, Pondicherry Institute Of Medical Sciences , Ganapathichettikulam, Kalapet , Pondicherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605014",Madras Medical Mission,Puducherry,Pondicherry/Puducherry,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
6,College Of Nursing,"College Of Nursing, Pondicherry Institute Of Medical Sciences , Ganapathichettikulam, Kalapet , Pondicherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605014",Madras Medical Mission,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),100 (Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
7,East Coast Institute Of Medical Sciences,"East Coast Institute Of Medical Sciences, No 1, Paris Nagar, Perambai Road, Moolakulam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605010",East Coast Hospitals Ltd,Puducherry,Pondicherry/Puducherry,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
7,East Coast Institute Of Medical Sciences,"East Coast Institute Of Medical Sciences, No 1, Paris Nagar, Perambai Road, Moolakulam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605010",East Coast Hospitals Ltd,Puducherry,Pondicherry/Puducherry,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
7,East Coast Institute Of Medical Sciences,"East Coast Institute Of Medical Sciences, No 1, Paris Nagar, Perambai Road, Moolakulam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605010",East Coast Hospitals Ltd,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
7,East Coast Institute Of Medical Sciences,"East Coast Institute Of Medical Sciences, No 1, Paris Nagar, Perambai Road, Moolakulam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605010",East Coast Hospitals Ltd,Puducherry,Pondicherry/Puducherry,Private,M. Sc (N),06 (Six),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
8,Immaculate Institute Of Health Sciences,"Immaculate Institute Of Health Sciences, Idhaya Nagar, Mela Puthamangalam, Karaikal, Distt.- Karaikal, Pondicherry/Puducherry, Pin Code- 609607",Immaculate Heart Of Mary Society Generalate,Karaikal,Pondicherry/Puducherry,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
9,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
9,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,M. Sc (N),25 (Twenty Five) Med-Surg-5 Chn-5 Psy-5 Paed-5 Obg-5,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
9,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
9,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,NURSE PRACTITIONER IN CRITICAL CARE(NPCC),10 (Ten),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
