inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Punjab|Jalandhar|A P S COLLEGE OF NURSING,A P S College Of Nursing,"A P S College Of Nursing, Shahkot Road, Malsian, Jalandhar, Distt.- Jalandhar, Punjab, Pin Code- 144701",Parul Educational Society,Jalandhar,Punjab,Private,GNM | B.Sc(N) | P B B.Sc(N),60 (Sixty) | 40 (Forty) | 20 (Twenty),120,144701,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Pathankot|ABIGAIL CHARISTIAN NURSING INSTITUTE,Abigail Charistian Nursing Institute,"Abigail Charistian Nursing Institute, Shahpur Kandi Road, Vill- Kot , Pathankot , Vill.- Kot , Tehsil- Dharkalan, Distt.- Pathankot, Punjab, Pin Code- 145029",Bibi Rehmete Christian Educational Society,Pathankot,Punjab,Private,GNM,40 (Forty),40,145029,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Patiala|ADARSH SCHOOL OF NURSING,Adarsh School Of Nursing,"Adarsh School Of Nursing, Village Chounth, Patiala Samana Road, Vill.- Chounth Kheri, Tehsil- Samana, Distt.- Patiala, Punjab, Pin Code- 147101",Nova Educational Society,Patiala,Punjab,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),50 (Fifty) | 60 (Sixty) | 60 (Sixty) | 25 (Twnty Five) 5 In Each Speciality | 40 (Forty),235,147101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Mukatsar|ADESH HOSPITAL &AMP; RESEARCH CENTRE PVT. LTD.,Adesh Hospital &Amp; Research Centre Pvt. Ltd.,"Adesh Hospital &Amp; Research Centre Pvt. Ltd., College Of Nursing, Sri Muktsar Sahib , Distt.- Mukatsar, Punjab, Pin Code- 152026",Adesh Welfare Society,Mukatsar,Punjab,Private,P B B.Sc(N) | GNM | B.Sc(N),40 (Forty) | 60 (Sixty) | 60 (Sixty),160,152026,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Bathinda|ADESH INSTITUTE OF MADICAL SIENCES AND RESARCH,Adesh Institute Of Madical Siences And Resarch,"Adesh Institute Of Madical Siences And Resarch, Bhucho Kalan, Barnala Road,, Bathinda, Distt.- Bathinda, Punjab, Pin Code- 151101",Adesh Foundation,Bathinda,Punjab,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),60 (Sixty) | 100 (One Hundred) | 14 (Fourteen) Med-Surg-5 Psy-4 Paed-3 Obg-2 | 40 (Forty),214,151101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Ferozepur|AGGARWAL COLLEGE OF NURSING,Aggarwal College Of Nursing,"Aggarwal College Of Nursing, Tehsil Road, Guruharsahai, Vill.- Guruharsahai , Tehsil- Guruhar Sahai, Distt.- Ferozepur, Punjab, Pin Code- 152022",Aggarwal School Of Nsg And Parmedical Edu Soc,Ferozepur,Punjab,Private,ANM | GNM,40 (Forty) | 60 (Sixty),100,152022,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Bathinda|AIIMS BATHINDA,Aiims Bathinda,"Aiims Bathinda, Aiims, Dabwali Road, Bathinda, Punjab 151001, Bathinda, Distt.- Bathinda, Punjab, Pin Code- 151001",Aiims Bathinda,Bathinda,Punjab,Government,B.Sc(N) | M. Sc (N),60 (Sixty) | 25 (Twenty Five) 5 In Each Speciality,85,151001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Sangrur|AJIT NURSING INSTITUTE,Ajit Nursing Institute,"Ajit Nursing Institute, On Sunam Lehra Jakha Road, Opp Haryali Kissan Bazar, Sunam, Distt.- Sangrur, Punjab, Pin Code- 148028",Ajit Educational And Public Welfare Society,Sangrur,Punjab,Private,ANM | GNM | B.Sc(N) | P B B.Sc(N),40 (Forty) | 40 (Forty) | 40 (Forty) | 30 (Thirty),150,148028,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Pathankot|AMAN BHALLA COLLEGE OF NURSING,Aman Bhalla College Of Nursing,"Aman Bhalla College Of Nursing,, Nh-54, Kotli Mughlan, Pathankot - Amritsar Highway, Pathankot, , Distt.- Pathankot, Punjab, Pin Code- 145025",Aman Bhalla Foundation,Pathankot,Punjab,Private,B.Sc(N) | P B B.Sc(N),50 (Fifty) | 30 (Thirty),80,145025,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
Punjab|Amritser|AMANDEEP SCHOOL OF NURSING,Amandeep School Of Nursing,"Amandeep School Of Nursing, Village - Jethuwal, Vill.- Jethuwal, Tehsil- Ajnala, Distt.- Amritser, Punjab, Pin Code- 143502",Amandeep Educational Society,Amritser,Punjab,Private,GNM | B.Sc(N) | P B B.Sc(N),50 (Fifty) | 100 (One Hundred) | 40 (Forty),190,143502,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
