sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A P S College Of Nursing,"A P S College Of Nursing, Shahkot Road, Malsian, Jalandhar, Distt.- Jalandhar, Punjab, Pin Code- 144701",Parul Educational Society,Jalandhar,Punjab,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
1,A P S College Of Nursing,"A P S College Of Nursing, Shahkot Road, Malsian, Jalandhar, Distt.- Jalandhar, Punjab, Pin Code- 144701",Parul Educational Society,Jalandhar,Punjab,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
1,A P S College Of Nursing,"A P S College Of Nursing, Shahkot Road, Malsian, Jalandhar, Distt.- Jalandhar, Punjab, Pin Code- 144701",Parul Educational Society,Jalandhar,Punjab,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
2,Abigail Charistian Nursing Institute,"Abigail Charistian Nursing Institute, Shahpur Kandi Road, Vill- Kot , Pathankot , Vill.- Kot , Tehsil- Dharkalan, Distt.- Pathankot, Punjab, Pin Code- 145029",Bibi Rehmete Christian Educational Society,Pathankot,Punjab,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
3,Adarsh School Of Nursing,"Adarsh School Of Nursing, Village Chounth, Patiala Samana Road, Vill.- Chounth Kheri, Tehsil- Samana, Distt.- Patiala, Punjab, Pin Code- 147101",Nova Educational Society,Patiala,Punjab,Private,ANM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
3,Adarsh School Of Nursing,"Adarsh School Of Nursing, Village Chounth, Patiala Samana Road, Vill.- Chounth Kheri, Tehsil- Samana, Distt.- Patiala, Punjab, Pin Code- 147101",Nova Educational Society,Patiala,Punjab,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
3,Adarsh School Of Nursing,"Adarsh School Of Nursing, Village Chounth, Patiala Samana Road, Vill.- Chounth Kheri, Tehsil- Samana, Distt.- Patiala, Punjab, Pin Code- 147101",Nova Educational Society,Patiala,Punjab,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
3,Adarsh School Of Nursing,"Adarsh School Of Nursing, Village Chounth, Patiala Samana Road, Vill.- Chounth Kheri, Tehsil- Samana, Distt.- Patiala, Punjab, Pin Code- 147101",Nova Educational Society,Patiala,Punjab,Private,M. Sc (N),25 (Twnty Five) 5 In Each Speciality,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
3,Adarsh School Of Nursing,"Adarsh School Of Nursing, Village Chounth, Patiala Samana Road, Vill.- Chounth Kheri, Tehsil- Samana, Distt.- Patiala, Punjab, Pin Code- 147101",Nova Educational Society,Patiala,Punjab,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
4,Adesh Hospital &Amp; Research Centre Pvt. Ltd.,"Adesh Hospital &Amp; Research Centre Pvt. Ltd., College Of Nursing, Sri Muktsar Sahib , Distt.- Mukatsar, Punjab, Pin Code- 152026",Adesh Welfare Society,Mukatsar,Punjab,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
4,Adesh Hospital &Amp; Research Centre Pvt. Ltd.,"Adesh Hospital &Amp; Research Centre Pvt. Ltd., College Of Nursing, Sri Muktsar Sahib , Distt.- Mukatsar, Punjab, Pin Code- 152026",Adesh Welfare Society,Mukatsar,Punjab,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
4,Adesh Hospital &Amp; Research Centre Pvt. Ltd.,"Adesh Hospital &Amp; Research Centre Pvt. Ltd., College Of Nursing, Sri Muktsar Sahib , Distt.- Mukatsar, Punjab, Pin Code- 152026",Adesh Welfare Society,Mukatsar,Punjab,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
5,Adesh Institute Of Madical Siences And Resarch,"Adesh Institute Of Madical Siences And Resarch, Bhucho Kalan, Barnala Road,, Bathinda, Distt.- Bathinda, Punjab, Pin Code- 151101",Adesh Foundation,Bathinda,Punjab,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
5,Adesh Institute Of Madical Siences And Resarch,"Adesh Institute Of Madical Siences And Resarch, Bhucho Kalan, Barnala Road,, Bathinda, Distt.- Bathinda, Punjab, Pin Code- 151101",Adesh Foundation,Bathinda,Punjab,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
5,Adesh Institute Of Madical Siences And Resarch,"Adesh Institute Of Madical Siences And Resarch, Bhucho Kalan, Barnala Road,, Bathinda, Distt.- Bathinda, Punjab, Pin Code- 151101",Adesh Foundation,Bathinda,Punjab,Private,M. Sc (N),14 (Fourteen) Med-Surg-5 Psy-4 Paed-3 Obg-2,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
5,Adesh Institute Of Madical Siences And Resarch,"Adesh Institute Of Madical Siences And Resarch, Bhucho Kalan, Barnala Road,, Bathinda, Distt.- Bathinda, Punjab, Pin Code- 151101",Adesh Foundation,Bathinda,Punjab,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
6,Aggarwal College Of Nursing,"Aggarwal College Of Nursing, Tehsil Road, Guruharsahai, Vill.- Guruharsahai , Tehsil- Guruhar Sahai, Distt.- Ferozepur, Punjab, Pin Code- 152022",Aggarwal School Of Nsg And Parmedical Edu Soc,Ferozepur,Punjab,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
6,Aggarwal College Of Nursing,"Aggarwal College Of Nursing, Tehsil Road, Guruharsahai, Vill.- Guruharsahai , Tehsil- Guruhar Sahai, Distt.- Ferozepur, Punjab, Pin Code- 152022",Aggarwal School Of Nsg And Parmedical Edu Soc,Ferozepur,Punjab,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
7,Aiims Bathinda,"Aiims Bathinda, Aiims, Dabwali Road, Bathinda, Punjab 151001, Bathinda, Distt.- Bathinda, Punjab, Pin Code- 151001",Aiims Bathinda,Bathinda,Punjab,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
7,Aiims Bathinda,"Aiims Bathinda, Aiims, Dabwali Road, Bathinda, Punjab 151001, Bathinda, Distt.- Bathinda, Punjab, Pin Code- 151001",Aiims Bathinda,Bathinda,Punjab,Government,M. Sc (N),25 (Twenty Five) 5 In Each Speciality,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
8,Ajit Nursing Institute,"Ajit Nursing Institute, On Sunam Lehra Jakha Road, Opp Haryali Kissan Bazar, Sunam, Distt.- Sangrur, Punjab, Pin Code- 148028",Ajit Educational And Public Welfare Society,Sangrur,Punjab,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:32:03.585090
