inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Rajasthan|Ganganagar|A.S. SCHOOL OF NURSING,A.S. School Of Nursing,"A.S. School Of Nursing , Behind Audi Motors, Chahal Chowk, Naya Chak, Sri Ganganagar , Sri Ganganagar, Distt.- Ganganagar, Rajasthan, Pin Code- 335001",Aggarwal Charitable Institute,Ganganagar,Rajasthan,Private,GNM,40 (Forty),40,335001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Jaipur|AAYUSHMAN INSTITUTE OF MEDICAL SCIENCE AND COLLEGE OF NURSING,Aayushman Institute Of Medical Science And College Of Nursing,"Aayushman Institute Of Medical Science And College Of Nursing , 576, Baniya Wali (Charanwala, Main Diggi- Malpura Road, Sanganer, Distt.- Jaipur, Rajasthan, Pin Code- 302029",Shri Gopinath Gulab Devi Pradhan Memorial Charitable Trust,Jaipur,Rajasthan,Private,B.Sc(N),60 (Sixty),60,302029,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Jhunjhunu|ADARSH PILANI NURSING SCHOOL,Adarsh Pilani Nursing School,"Adarsh Pilani Nursing School,, F-72,Industrial Area, Rajgarh Road,, Pilani, Distt.- Jhunjhunu, Rajasthan, Pin Code- 333031",Adarsh Pilani Education Trust,Jhunjhunu,Rajasthan,Private,GNM,50 (Fifty),50,333031,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Sikar|AKHIL BHARATI VIDYAPEETH COLLEGE OF NURSING,Akhil Bharati Vidyapeeth College Of Nursing,"Akhil Bharati Vidyapeeth College Of Nursing , Jaipur Road, Sikar, Rajasthan , Sikar , Distt.- Sikar, Rajasthan, Pin Code- 332001",Shri Amrit Educational And Health Sciences Samiti,Sikar,Rajasthan,Private,GNM | B.Sc(N),30 (Thirty) | 40 (Forty),70,332001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Jodhpur|ALL INDIA INSTITUTE OF MEDICAL SCIENCES COLLEGE OF NURSING,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Hi Area Phase Ii, Basni, Jodhpur, Distt.- Jodhpur, Rajasthan, Pin Code- 342005",Govt Of Rajasthan,Jodhpur,Rajasthan,Government,B.Sc(N) | M. Sc (N),100 (One Hundred) | 33 (Thirty Three),133,342005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Alwar|ALWAR COLLEGE OF NURSING,Alwar College Of Nursing,"Alwar College Of Nursing , Behind Aps, Kesarpur Ki Dhani, Rajgarh Road, Post - Burja, Alwar - 301001 , Alwar , Distt.- Alwar, Rajasthan, Pin Code- 301001",Shri Krishna Education Society,Alwar,Rajasthan,Private,B.Sc(N),40 (Forty),40,301001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Alwar|ALWAR NURSING COLLEGE,Alwar Nursing College,"Alwar Nursing College , Sai Mandir Tijara Road Alwar (Raj.) 301001 , Alwar, Distt.- Alwar, Rajasthan, Pin Code- 301001",Public Rose Shiksha Samiti,Alwar,Rajasthan,Private,B.Sc(N),50 (Fifty),50,301001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Jaipur|AMBASSY SCHOOL OF NURSING,Ambassy School Of Nursing,"Ambassy School Of Nursing, Am Nagar Extension, New Sanganer Road, Sodala, Jaipur, Distt.- Jaipur, Rajasthan, Pin Code- 302019",Mahatma Jyoti Rao Phule Shiksha Sansthan,Jaipur,Rajasthan,Private,GNM,40 (Forty),40,302019,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Rajsamand|ANANTA COLLEGE OF NURSING,Ananta College Of Nursing,"Ananta College Of Nursing, National Highway 08 Village Kaliwas, Kaliwas, Distt.- Rajsamand, Rajasthan, Pin Code- 0",Ananta Charitable Educational Society,Rajsamand,Rajasthan,Private,GNM | B.Sc(N),70 (Seventy) | 60 (Sixty),130,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
Rajasthan|Sawai Madhopur|ANM TRAINING CENTRE,Anm Training Centre,"Anm Training Centre, Govt General Hospital Sawai Madhopur, Sawai Madhopur, Distt.- Sawai Madhopur, Rajasthan, Pin Code- 322001",Govt Of Rajasthan,Sawai Madhopur,Rajasthan,Government,ANM,20 (Twenty),20,322001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:35:08.193115
