inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Tamilnadu|Chennai|INSTITUTE OF MENTAL HEALTH,Institute Of Mental Health,"Institute Of Mental Health , Medavakkam Tank Road, Kilpauk , Chennai, Distt.- Chennai, Tamilnadu, Pin Code- 600010",Tamil Nadu,Chennai,Tamilnadu,Government,Post Basic Diploma in Psychiatric nsg.,10 (Ten),10,600010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Thoothukudi|ST. ANN'S COLLEGE OF NURSING,St. Ann's College Of Nursing,"St. Ann's College Of Nursing, Sacred Heart Hospital, Kandasamypuram,, Vill.- Tuticorin, Tehsil- Thoothukkudi, Distt.- Thoothukudi, Tamilnadu, Pin Code- 628002",St Ann's Society,Thoothukudi,Tamilnadu,Private,B.Sc(N) | GNM,50 (Fifty) | 40 (Forty),90,628002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Coimbatore|A J K COLLEGE OF NURSING,A J K College Of Nursing,"A J K College Of Nursing, Palakkad Main Road, Navakkarai, Coimbatore, Distt.- Coimbatore, Tamilnadu, Pin Code- 641105",A J K Educational And Charitable Trust,Coimbatore,Tamilnadu,Private,B.Sc(N),60 (Sixty),60,641105,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Thoothukudi|A V M SCHOOL OF NURSING,A V M School Of Nursing,"A V M School Of Nursing, No. 135 Palayamkottai Road, Vill.- Thoothukudi, Tehsil- Thoothukkudi, Distt.- Thoothukudi, Tamilnadu, Pin Code- 628003",A V M M Associates Pvt Ltd,Thoothukudi,Tamilnadu,Private,GNM,20 (Twenty),20,628003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Vellore|A. DR. VIMAL COLLEGE OF NURSING,A. Dr. Vimal College Of Nursing,"A. Dr. Vimal College Of Nursing, Vellore-Arni Highway, Nh-234, Dharmavaram Road, Nelvoy, Pannathur, Vill.- Pennathur, Tehsil- Kaniyambadi, Distt.- Vellore, Tamilnadu, Pin Code- 632011",Sudesi Seva Trust,Vellore,Tamilnadu,Private,B.Sc(N),50 (Fifty),50,632011,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Tiruvannamalai|A.A.B. COLLEGE OF NURSING,A.A.B. College Of Nursing,"A.A.B. College Of Nursing, Arni Road, Thellur Village, Kilkuvalaivedu Post, Vandavasi, Distt.- Tiruvannamalai, Tamilnadu, Pin Code- 604404",A A B Educational Trust,Tiruvannamalai,Tamilnadu,Private,GNM | B.Sc(N),60 (Sixty) | 50 (Fifty),110,604404,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Kancheepuram|ADHIPARASAKTHI COLLEGE OF NURSING,Adhiparasakthi College Of Nursing,"Adhiparasakthi College Of Nursing , Mmelmaruvathur, Cheyyur Taluk, Melmaruvathur , Distt.- Kancheepuram, Tamilnadu, Pin Code- 603319",Adhiparasakthi Charitable Medical Educational And Cultural Trust -Acmect,Kancheepuram,Tamilnadu,Private,GNM | M. Sc (N) | B.Sc(N) | P B B.Sc(N),100 (One Hundred) | 40 (Forty) 8 In Each Speciality | 100 (One Hundred) | 30 (Thirty),270,603319,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Tiruvannamalai|AL- AMEEN SCHOOL OF NURSING,Al- Ameen School Of Nursing,"Al- Ameen School Of Nursing,, Main Road, Somasipadi , Distt.- Tiruvannamalai, Tamilnadu, Pin Code- 606611",Al - Ameen Educational Trust,Tiruvannamalai,Tamilnadu,Private,GNM | B.Sc(N),20 (Twenty) | 50 (Fifty),70,606611,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Tirunelveli|ALADI ARUNA COLLEGE OF NURSING,Aladi Aruna College Of Nursing,"Aladi Aruna College Of Nursing, Tirunelveli - Tenkasi Highway Ilver Kulam Village, Alangulam, Distt.- Tirunelveli, Tamilnadu, Pin Code- 627853",Aladi Aruna Foundation,Tirunelveli,Tamilnadu,Private,B.Sc(N),60 (Sixty),60,627853,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Sivaganga|ALAGAPPA COLLEGE OF NURSING,Alagappa College Of Nursing,"Alagappa College Of Nursing, Alagappapuram, Karaikudi - 03, Karaikudi, Distt.- Sivaganga, Tamilnadu, Pin Code- 630003",Dr.Alagappa Chettiar Educational Trust,Sivaganga,Tamilnadu,Private,B.Sc(N),50 (Fifty),50,630003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Tirunelveli|ALMIGHTY COLLEGE OF NURSING,Almighty College Of Nursing,"Almighty College Of Nursing, Thoothukudi Main Road, Ariyakulam, Distt.- Tirunelveli, Tamilnadu, Pin Code- 627351",Devendra Educational And Charitable Trust,Tirunelveli,Tamilnadu,Private,B.Sc(N) | ANM,60 (Sixty) | 30 (Thirty),90,627351,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Chengalpattu|ANBARASU INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,Anbarasu Institute Of Medical Sciences And Research,"Anbarasu Institute Of Medical Sciences And Research, T T K Nagar, Irumbuliyur, Tambaram,, Chennai, Distt.- Chengalpattu, Tamilnadu, Pin Code- 600045",Dr. C. Anbarasu And Dr. K.C. Rajabathar Educational And Cultural As Charitable Trust,Chengalpattu,Tamilnadu,Private,GNM,20 (Twenty),20,600045,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Namakkal|ANBU COLLEGE OF NURSING,Anbu College Of Nursing,"Anbu College Of Nursing,, Mgr Nagar, Pallipalayam Road,, Komarapalayam, Distt.- Namakkal, Tamilnadu, Pin Code- 638183",Anbu Educational Trust,Namakkal,Tamilnadu,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N) | GNM,50 (Fifty) | 25 ; 5 In Each Speciality | 40 (Forty) | 20 (Twenty),135,638183,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Madurai|ANM TRAINING SCHOOL,Anm Training School,"Anm Training School , Govt.Primary Health Centre Campus, Sathiyamoorthi Nagar, Samayanallur,, Madurai, Distt.- Madurai, Tamilnadu, Pin Code- 625402",Government Of Tamilnadu,Madurai,Tamilnadu,Government,ANM,30 (Thirty),30,625402,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Dharmapuri|ANNAI COLLEGE OF NURSING,Annai College Of Nursing,"Annai College Of Nursing , Nambipatti, H.Doddampatti Po , Harur, Distt.- Dharmapuri, Tamilnadu, Pin Code- 636903",Annai Educational Trust,Dharmapuri,Tamilnadu,Private,B.Sc(N),40 (Forty),40,636903,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
Tamilnadu|Theni|ANNAI DORA COLLEGE OF NURSING,Annai Dora College Of Nursing,"Annai Dora College Of Nursing,, Sevanilayam, Vill.- Rajathani, Tehsil- Andipatti, Distt.- Theni, Tamilnadu, Pin Code- 625512",Sevanilayam Society,Theni,Tamilnadu,Private,B.Sc(N),50 (Fifty),50,625512,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
