sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Institute Of Mental Health,"Institute Of Mental Health , Medavakkam Tank Road, Kilpauk , Chennai, Distt.- Chennai, Tamilnadu, Pin Code- 600010",Tamil Nadu,Chennai,Tamilnadu,Government,Post Basic Diploma in Psychiatric nsg.,10 (Ten),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
2,St. Ann's College Of Nursing,"St. Ann's College Of Nursing, Sacred Heart Hospital, Kandasamypuram,, Vill.- Tuticorin, Tehsil- Thoothukkudi, Distt.- Thoothukudi, Tamilnadu, Pin Code- 628002",St Ann's Society,Thoothukudi,Tamilnadu,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
2,St. Ann's College Of Nursing,"St. Ann's College Of Nursing, Sacred Heart Hospital, Kandasamypuram,, Vill.- Tuticorin, Tehsil- Thoothukkudi, Distt.- Thoothukudi, Tamilnadu, Pin Code- 628002",St Ann's Society,Thoothukudi,Tamilnadu,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
3,A J K College Of Nursing,"A J K College Of Nursing, Palakkad Main Road, Navakkarai, Coimbatore, Distt.- Coimbatore, Tamilnadu, Pin Code- 641105",A J K Educational And Charitable Trust,Coimbatore,Tamilnadu,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
4,A V M School Of Nursing,"A V M School Of Nursing, No. 135 Palayamkottai Road, Vill.- Thoothukudi, Tehsil- Thoothukkudi, Distt.- Thoothukudi, Tamilnadu, Pin Code- 628003",A V M M Associates Pvt Ltd,Thoothukudi,Tamilnadu,Private,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
5,A. Dr. Vimal College Of Nursing,"A. Dr. Vimal College Of Nursing, Vellore-Arni Highway, Nh-234, Dharmavaram Road, Nelvoy, Pannathur, Vill.- Pennathur, Tehsil- Kaniyambadi, Distt.- Vellore, Tamilnadu, Pin Code- 632011",Sudesi Seva Trust,Vellore,Tamilnadu,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
6,A.A.B. College Of Nursing,"A.A.B. College Of Nursing, Arni Road, Thellur Village, Kilkuvalaivedu Post, Vandavasi, Distt.- Tiruvannamalai, Tamilnadu, Pin Code- 604404",A A B Educational Trust,Tiruvannamalai,Tamilnadu,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
6,A.A.B. College Of Nursing,"A.A.B. College Of Nursing, Arni Road, Thellur Village, Kilkuvalaivedu Post, Vandavasi, Distt.- Tiruvannamalai, Tamilnadu, Pin Code- 604404",A A B Educational Trust,Tiruvannamalai,Tamilnadu,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
7,Adhiparasakthi College Of Nursing,"Adhiparasakthi College Of Nursing , Mmelmaruvathur, Cheyyur Taluk, Melmaruvathur , Distt.- Kancheepuram, Tamilnadu, Pin Code- 603319",Adhiparasakthi Charitable Medical Educational And Cultural Trust -Acmect,Kancheepuram,Tamilnadu,Private,GNM,100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
7,Adhiparasakthi College Of Nursing,"Adhiparasakthi College Of Nursing , Mmelmaruvathur, Cheyyur Taluk, Melmaruvathur , Distt.- Kancheepuram, Tamilnadu, Pin Code- 603319",Adhiparasakthi Charitable Medical Educational And Cultural Trust -Acmect,Kancheepuram,Tamilnadu,Private,M. Sc (N),40 (Forty) 8 In Each Speciality,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:36:55.238973
