inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Telangana|Hyderabad|ANDHRA MAHILA SABHA NURSING TRG INSTITUTE,Andhra Mahila Sabha Nursing Trg Institute,"Andhra Mahila Sabha Nursing Trg Institute, ( Durgabai Deshmukh Hospital & Research Centre) Osmania University Road, Didyanagar, Near Andhra Bank , Hyderabad, Distt.- Hyderabad, Telangana, Pin Code-","Durgabai Deshmukh Mahila Sabha,Ams",Hyderabad,Telangana,Private,GNM,60 (Sixty),60,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Hyderabad|APOLLO COLLEGE OF NURSING,Apollo College Of Nursing,"Apollo College Of Nursing, Apollo Hospital Campus, Jubilee Hills, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500096",Apollo Hospitals Educational And Research Foundation,Hyderabad,Telangana,Private,GNM | B.Sc(N) | P B B.Sc(N),60 (Sixty) | 100 (One Hundred) | 30 (Thirty),190,500096,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Warangal Urban|APPLE SCHOOL OF NURSING,Apple School Of Nursing,"Apple School Of Nursing, 14-2-77, Pochamma Maidan, , Warangal, Distt.- Warangal Urban, Telangana, Pin Code- 506002","Foundation For Education, Economic And Cultural Development",Warangal Urban,Telangana,Private,GNM,60 (Sixty),60,506002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Ranga Reddy|AWARE COLLEGE OF NURSING,Aware College Of Nursing,"Aware College Of Nursing, Shanthivanm,Nagarjuna Sagar Road, Vill.- Bairamalguda, Tehsil- Saroornagar, Distt.- Ranga Reddy, Telangana, Pin Code- 500035",Aware,Ranga Reddy,Telangana,Private,B.Sc(N),50 (Fifty),50,500035,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Warangal Urban|BALAJI INSTITUTE OF NURSING,Balaji Institute Of Nursing,"Balaji Institute Of Nursing, Laknepally, Narsampet, Narsampet, Distt.- Warangal Urban, Telangana, Pin Code- 506331",Maheshwara Educational Society,Warangal Urban,Telangana,Private,B.Sc(N),40 (Forty),40,506331,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Hyderabad|BHAGAWAN MAHAVIR SCHOOL OF NURSING,Bhagawan Mahavir School Of Nursing,"Bhagawan Mahavir School Of Nursing,, 10-1-1, Mahavir Marg, A C Guards,, Vill.- Khairatabad, Tehsil- Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500004",Bhagwan Memorial Mahavir Trust,Hyderabad,Telangana,Private,GNM,20 (Twenty),20,500004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Suryapet|BHAVANI COLLEGE OF NURSING,Bhavani College Of Nursing,"Bhavani College Of Nursing, Hno:-3-5-140/1/D, Jammigadda, Vill.- Suryapet, Tehsil- Suryapet, Distt.- Suryapet, Telangana, Pin Code- 508213",Bhavani Educational And Rural Development Society,Suryapet,Telangana,Private,B.Sc(N),45 (Forty Five),45,508213,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Hyderabad|BSC COLLEGE OF NURSING MUSLIM MATERNITY AND ZANANA GENERAL HOSPITAL,Bsc College Of Nursing Muslim Maternity And Zanana General Hospital,"Bsc College Of Nursing Muslim Maternity And Zanana General Hospital, H.No: 16-6-326, Osmanpura, Chaderghat , Vill.- Hyderabad, Tehsil- Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500024",Islamic Social Service Society,Hyderabad,Telangana,Private,B.Sc(N),30 (Thirty),30,500024,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Karimnagar|CHALMEDA ANAND RAO INSTITUTE OF MEDICAL SCIENCES,Chalmeda Anand Rao Institute Of Medical Sciences,"Chalmeda Anand Rao Institute Of Medical Sciences,, Bommakal, Karimnagar, Vill.- Bommakal, Tehsil- Karimnagar (Rural), Distt.- Karimnagar, Telangana, Pin Code- 505001",Arihant Education Society,Karimnagar,Telangana,Private,B.Sc(N) | M. Sc (N),"100 (One Hundred) | 25 (Twenty Five) Med- Surg-05, Chn-05, Obg-05, Paed-05, Psy-05",125,505001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Suryapet|CHANDANA COLLEGE OF NURSING,Chandana College Of Nursing,"Chandana College Of Nursing, Suryapet, Vill.- Pillalamarri, Tehsil- Suryapet, Distt.- Suryapet, Telangana, Pin Code- 508213",Srinivasa Educational Society,Suryapet,Telangana,Private,B.Sc(N) | GNM,40 (Forty) | 40 (Forty),80,508213,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
