sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Andhra Mahila Sabha Nursing Trg Institute,"Andhra Mahila Sabha Nursing Trg Institute, ( Durgabai Deshmukh Hospital & Research Centre) Osmania University Road, Didyanagar, Near Andhra Bank , Hyderabad, Distt.- Hyderabad, Telangana, Pin Code-","Durgabai Deshmukh Mahila Sabha,Ams",Hyderabad,Telangana,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
2,Apollo College Of Nursing,"Apollo College Of Nursing, Apollo Hospital Campus, Jubilee Hills, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500096",Apollo Hospitals Educational And Research Foundation,Hyderabad,Telangana,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
2,Apollo College Of Nursing,"Apollo College Of Nursing, Apollo Hospital Campus, Jubilee Hills, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500096",Apollo Hospitals Educational And Research Foundation,Hyderabad,Telangana,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
2,Apollo College Of Nursing,"Apollo College Of Nursing, Apollo Hospital Campus, Jubilee Hills, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500096",Apollo Hospitals Educational And Research Foundation,Hyderabad,Telangana,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
3,Apple School Of Nursing,"Apple School Of Nursing, 14-2-77, Pochamma Maidan, , Warangal, Distt.- Warangal Urban, Telangana, Pin Code- 506002","Foundation For Education, Economic And Cultural Development",Warangal Urban,Telangana,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
4,Aware College Of Nursing,"Aware College Of Nursing, Shanthivanm,Nagarjuna Sagar Road, Vill.- Bairamalguda, Tehsil- Saroornagar, Distt.- Ranga Reddy, Telangana, Pin Code- 500035",Aware,Ranga Reddy,Telangana,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
5,Balaji Institute Of Nursing,"Balaji Institute Of Nursing, Laknepally, Narsampet, Narsampet, Distt.- Warangal Urban, Telangana, Pin Code- 506331",Maheshwara Educational Society,Warangal Urban,Telangana,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
6,Bhagawan Mahavir School Of Nursing,"Bhagawan Mahavir School Of Nursing,, 10-1-1, Mahavir Marg, A C Guards,, Vill.- Khairatabad, Tehsil- Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500004",Bhagwan Memorial Mahavir Trust,Hyderabad,Telangana,Private,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
7,Bhavani College Of Nursing,"Bhavani College Of Nursing, Hno:-3-5-140/1/D, Jammigadda, Vill.- Suryapet, Tehsil- Suryapet, Distt.- Suryapet, Telangana, Pin Code- 508213",Bhavani Educational And Rural Development Society,Suryapet,Telangana,Private,B.Sc(N),45 (Forty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
8,Bsc College Of Nursing Muslim Maternity And Zanana General Hospital,"Bsc College Of Nursing Muslim Maternity And Zanana General Hospital, H.No: 16-6-326, Osmanpura, Chaderghat , Vill.- Hyderabad, Tehsil- Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500024",Islamic Social Service Society,Hyderabad,Telangana,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
