inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Tripura|West Tripura|A N M (R) TRAINING INSTITUTE,A N M (R) Training Institute,"A N M (R) Training Institute, C M O(W) Complex, Palace Compound, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799001",Government Of Tripura,West Tripura,Tripura,Government,ANM,60 (Sixty),60,799001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|Unakoti|A N M (R) TRAINING INSTITUTE,A N M (R) Training Institute,"A N M (R) Training Institute, Kailashahar, Kailashahar, Distt.- Unakoti, Tripura, Pin Code- 799277",Government Of Tripura,Unakoti,Tripura,Government,ANM,25 (Twenty Five),25,799277,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|South Tripura|A N M (R) TRAINING INSTITUTE,A N M (R) Training Institute,"A N M (R) Training Institute, Santirbazar, Old Santirbazar, P H C Building, Santir Bazar, Distt.- South Tripura, Tripura, Pin Code- 799144",Government Of Tripura,South Tripura,Tripura,Government,ANM,30 (Thirty),30,799144,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|West Tripura|AGARTALA GOVERNMENT NURSING COLLEGE,Agartala Government Nursing College,"Agartala Government Nursing College, Agmc & Gbp Hospital, G+8 Building, Igm Hospital Complex, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799001",Government Of Tripura,West Tripura,Tripura,Government,Upgraded College of Nursing,50 (Fifty),50,799001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|West Tripura|DR. B R A M NURSING SCHOOL,Dr. B R A M Nursing School,"Dr. B R A M Nursing School, G+8 Building, I G M Hospital Complex, Akhaura Road, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799001",Govt. Of Tripura,West Tripura,Tripura,Government,GNM,50 (Fifty),50,799001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|Gomti|G N M TRAINING INSTITUTE,G N M Training Institute,"G N M Training Institute, Ward No: 09, Block, Matabari, Udaipur, Distt.- Gomti, Tripura, Pin Code- 799120",Government Of Tripura,Gomti,Tripura,Government,GNM,40 (Forty),40,799120,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|West Tripura|H F T INSTITUTE OF NURSING SCIENCES,H F T Institute Of Nursing Sciences,"H F T Institute Of Nursing Sciences, H F T House, Indranagar, Agartala, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799006",Hepatitis Foundation Of Tripura,West Tripura,Tripura,Private,ANM,40 (Forty),40,799006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|West Tripura|I L S NURSING INSTITUTE,I L S Nursing Institute,"I L S Nursing Institute, Capital Complex Extension, P:O- New Secretariat Agartala, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799010",G P T Healthcare Education Trust,West Tripura,Tripura,Private,GNM | B.Sc(N) | P B B.Sc(N),50 (Fifty) | 50 (Fifty) | 30 (Thirty),130,799010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|West Tripura|ICFAI NURSING SCHOOL,Icfai Nursing School,"Icfai Nursing School, Icfai University Tripura,Kamalghat Mohanpur Agartala, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799210","Icfai University,Tripura",West Tripura,Tripura,Private,GNM,40 (Forty),40,799210,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
Tripura|West Tripura|NORTH EAST INSTITUTE OF NURSING SCIENCE,North East Institute Of Nursing Science,"North East Institute Of Nursing Science, Amtali Bypass Road, Adjacent Saibaba Temple , Agartala, Distt.- West Tripura, Tripura, Pin Code- 799130",Balaji Educational Trust,West Tripura,Tripura,Private,B.Sc(N) | GNM,40 (Forty) | 30 (Thirty),70,799130,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
