sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A N M (R) Training Institute,"A N M (R) Training Institute, C M O(W) Complex, Palace Compound, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799001",Government Of Tripura,West Tripura,Tripura,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
2,A N M (R) Training Institute,"A N M (R) Training Institute, Kailashahar, Kailashahar, Distt.- Unakoti, Tripura, Pin Code- 799277",Government Of Tripura,Unakoti,Tripura,Government,ANM,25 (Twenty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
3,A N M (R) Training Institute,"A N M (R) Training Institute, Santirbazar, Old Santirbazar, P H C Building, Santir Bazar, Distt.- South Tripura, Tripura, Pin Code- 799144",Government Of Tripura,South Tripura,Tripura,Government,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
4,Agartala Government Nursing College,"Agartala Government Nursing College, Agmc & Gbp Hospital, G+8 Building, Igm Hospital Complex, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799001",Government Of Tripura,West Tripura,Tripura,Government,Upgraded College of Nursing,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
5,Dr. B R A M Nursing School,"Dr. B R A M Nursing School, G+8 Building, I G M Hospital Complex, Akhaura Road, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799001",Govt. Of Tripura,West Tripura,Tripura,Government,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
6,G N M Training Institute,"G N M Training Institute, Ward No: 09, Block, Matabari, Udaipur, Distt.- Gomti, Tripura, Pin Code- 799120",Government Of Tripura,Gomti,Tripura,Government,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
7,H F T Institute Of Nursing Sciences,"H F T Institute Of Nursing Sciences, H F T House, Indranagar, Agartala, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799006",Hepatitis Foundation Of Tripura,West Tripura,Tripura,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
8,I L S Nursing Institute,"I L S Nursing Institute, Capital Complex Extension, P:O- New Secretariat Agartala, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799010",G P T Healthcare Education Trust,West Tripura,Tripura,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
8,I L S Nursing Institute,"I L S Nursing Institute, Capital Complex Extension, P:O- New Secretariat Agartala, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799010",G P T Healthcare Education Trust,West Tripura,Tripura,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
8,I L S Nursing Institute,"I L S Nursing Institute, Capital Complex Extension, P:O- New Secretariat Agartala, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799010",G P T Healthcare Education Trust,West Tripura,Tripura,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
9,Icfai Nursing School,"Icfai Nursing School, Icfai University Tripura,Kamalghat Mohanpur Agartala, Agartala, Distt.- West Tripura, Tripura, Pin Code- 799210","Icfai University,Tripura",West Tripura,Tripura,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
10,North East Institute Of Nursing Science,"North East Institute Of Nursing Science, Amtali Bypass Road, Adjacent Saibaba Temple , Agartala, Distt.- West Tripura, Tripura, Pin Code- 799130",Balaji Educational Trust,West Tripura,Tripura,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
10,North East Institute Of Nursing Science,"North East Institute Of Nursing Science, Amtali Bypass Road, Adjacent Saibaba Temple , Agartala, Distt.- West Tripura, Tripura, Pin Code- 799130",Balaji Educational Trust,West Tripura,Tripura,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
11,Raj Rajeshwari Institute Of Nursing Science,"Raj Rajeshwari Institute Of Nursing Science, Uttam Chowmuhani, Madhar Mura,Sekerkote, Near Tapuban Asram, Sekerkote, Distt.- Sepahijala, Tripura, Pin Code- 799130",Anantaya Educational And Charitable Trust,Sepahijala,Tripura,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
12,Sarvodaya Institute Of Nursing,"Sarvodaya Institute Of Nursing, Oposite:Melaghar Fire Station,P.O:Chandigarh,P.S:Melaghar,Sepahijala, Melaghar, Distt.- Sepahijala, Tripura, Pin Code- 799115",Sarvodaya Educational Trust,Sepahijala,Tripura,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
13,Sarvodaya Institute Of Nursing,"Sarvodaya Institute Of Nursing, Opposite,Melaghar Fire Station, Melaghar, Distt.- Sepahijala, Tripura, Pin Code- 799115",Sarvodaya Educational Trust,Sepahijala,Tripura,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
14,Tripura College Of Nursing,"Tripura College Of Nursing, Hapania , Agartala , Distt.- West Tripura, Tripura, Pin Code- 799014",Society For Tripura Medical College Dr Bram Teach Hospital,West Tripura,Tripura,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
14,Tripura College Of Nursing,"Tripura College Of Nursing, Hapania , Agartala , Distt.- West Tripura, Tripura, Pin Code- 799014",Society For Tripura Medical College Dr Bram Teach Hospital,West Tripura,Tripura,Private,M. Sc (N),20 (Twenty) 04 Each Specialty,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
15,Tripura Institute Of Paramedical Sciences,"Tripura Institute Of Paramedical Sciences, Opposite To Womens Polytechnic College, Hapania, Amtali , Agartala, Distt.- West Tripura, Tripura, Pin Code- 799014",Bengal Institute Of Pharmaceutical Sciences,West Tripura,Tripura,Private,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
15,Tripura Institute Of Paramedical Sciences,"Tripura Institute Of Paramedical Sciences, Opposite To Womens Polytechnic College, Hapania, Amtali , Agartala, Distt.- West Tripura, Tripura, Pin Code- 799014",Bengal Institute Of Pharmaceutical Sciences,West Tripura,Tripura,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
15,Tripura Institute Of Paramedical Sciences,"Tripura Institute Of Paramedical Sciences, Opposite To Womens Polytechnic College, Hapania, Amtali , Agartala, Distt.- West Tripura, Tripura, Pin Code- 799014",Bengal Institute Of Pharmaceutical Sciences,West Tripura,Tripura,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
15,Tripura Institute Of Paramedical Sciences,"Tripura Institute Of Paramedical Sciences, Opposite To Womens Polytechnic College, Hapania, Amtali , Agartala, Distt.- West Tripura, Tripura, Pin Code- 799014",Bengal Institute Of Pharmaceutical Sciences,West Tripura,Tripura,Private,M. Sc (N),25 (Twenty Five) 05 (Five) In Each Speciality,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:56.529142
