inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Uttar Pradesh|Hathras|A B G INSTITUTE OF PARAMEDICAL SCIENCES,A B G Institute Of Paramedical Sciences,"A B G Institute Of Paramedical Sciences, Mehmudpur Barse, Sasni , Distt.- Hathras, Uttar Pradesh, Pin Code- 204216",Shri Abg Dharmarth Sansthan,Hathras,Uttar Pradesh,Private,GNM | ANM | B.Sc(N),30 (Thirty) | 40 (Forty) | 40 (Forty),110,204216,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Lucknow|A K G INSTITUTE OF NURSING,A K G Institute Of Nursing,"A K G Institute Of Nursing, Bhawani Pur, Chandrika Devi Road, Bakshi Ka Talab, Vill.- Bakshi Ka Talab , Tehsil- Lucknow, Distt.- Lucknow, Uttar Pradesh, Pin Code- 226201",A K G Trust,Lucknow,Uttar Pradesh,Private,ANM | GNM | B.Sc(N),60 (Sixty) | 60 (Sixty) | 40 (Forty),160,226201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Kanpur Nagar|AASTHA NURSING COLLEGE,Aastha Nursing College,"Aastha Nursing College, Singhpur, Kanpur Nagar (U.P.) - 208017, Kanpur Nagar, Distt.- Kanpur Nagar, Uttar Pradesh, Pin Code- 208017",Deccan Health And Education Society,Kanpur Nagar,Uttar Pradesh,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,208017,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Chandauli|ABHISHEK NURSING AND PARAMEDICAL INSTITUTE,Abhishek Nursing And Paramedical Institute,"Abhishek Nursing And Paramedical Institute, Lokmanya Tilak Nagar, Ward No 5, Chandauli, Distt.- Chandauli, Uttar Pradesh, Pin Code- 232104",Abhishek Sewa Sanstha,Chandauli,Uttar Pradesh,Private,ANM | GNM | B.Sc(N),40 (Forty) | 50 (Fifty) | 40 (Forty),130,232104,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Bareilly|ACME INSTITUTE OF MEDICAL SCIENCES,Acme Institute Of Medical Sciences,"Acme Institute Of Medical Sciences, Vill Megi Nagla, Faridpur, Distt.- Bareilly, Uttar Pradesh, Pin Code- 243503",Shri Hari Krishan Educational Society,Bareilly,Uttar Pradesh,Private,ANM,40 (Forty),40,243503,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Amroha|AHSAN PARAMEDICAL AND NURSING COLLEGE,Ahsan Paramedical And Nursing College,"Ahsan Paramedical And Nursing College, 14 Km. Milestone Moradabad- Delhi Highway, Chaudharpur, Distt. Amroha (U.P.), Amroha, Distt.- Amroha, Uttar Pradesh, Pin Code- 244221",Ahsan Welfare Society,Amroha,Uttar Pradesh,Private,GNM,40 (Forty),40,244221,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Aligarh|ALIGARH COLLEGE OF NURSING & HOSPITAL,Aligarh College Of Nursing & Hospital,"Aligarh College Of Nursing & Hospital, Opposite F. M. Tower, Anoop Shahar Road, Aligarh , Distt.- Aligarh, Uttar Pradesh, Pin Code- 202002",All India Rehabilitation Educational Society,Aligarh,Uttar Pradesh,Private,ANM | GNM,30 (Thirty) | 50 (Fifty),80,202002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Azamgarh|ALL INDIA CHILDREN CARE &AMP; EDUCATIONAL DEVELOPMENT SOCIETY NURSING COLLEGE,All India Children Care &Amp; Educational Development Society Nursing College,"All India Children Care &Amp; Educational Development Society Nursing College , Ataura, Chandeshwar, Azamgarh , Distt.- Azamgarh, Uttar Pradesh, Pin Code- 276128",All India Children Care Edu Dev. Society,Azamgarh,Uttar Pradesh,Private,B.Sc(N) | ANM | GNM,40 (Forty) | 60 (Sixty) | 100 (One Hundred),200,276128,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Mirzapur|AMBEKAR GENERAL NURSING TRAINING CENTRE,Ambekar General Nursing Training Centre,"Ambekar General Nursing Training Centre, Etawan, Rewa Road, Mirzapur, Distt.- Mirzapur, Uttar Pradesh, Pin Code- 231001",Aklavy Jan Uthan Avam Prayavaran Pradushan Niyantrak Sanstha,Mirzapur,Uttar Pradesh,Private,P B B.Sc(N) | ANM | B.Sc(N) | GNM,40 (Forty) | 60 (Sixty) | 40 (Forty) | 60 (Sixty),200,231001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Ghaziabad|AMOGHA INSTITUTE OF PROFESSIONAL AND TECHNICAL EDU,Amogha Institute Of Professional And Technical Edu,"Amogha Institute Of Professional And Technical Edu, 7Th Mile Stone, Meerut Road, Morta, Ghaziabad, Distt.- Ghaziabad, Uttar Pradesh, Pin Code- 201003",Amogha Educational Society,Ghaziabad,Uttar Pradesh,Private,GNM | B.Sc(N) | M. Sc (N),30 (Thirty) | 40 (Forty) | 20 (Twenty) Med-Surg-5 Chn-5 Psy-5 Paed-5,90,201003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Bareilly|ANA COLLEGE OF MEDICAL SCIENCES AND HOSPITAL,Ana College Of Medical Sciences And Hospital,"Ana College Of Medical Sciences And Hospital, 13.5 K.M. Bareilly Delhi Highway, Vill Kutra, Agras Road , Bareilly, Distt.- Bareilly, Uttar Pradesh, Pin Code- 243501",Late Amar Nath Anand Trust,Bareilly,Uttar Pradesh,Private,GNM | B.Sc(N),40 (Forty) | 40 (Forty),80,243501,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Meerut|ANAND NURSING COLLEGE,Anand Nursing College,"Anand Nursing College, A-11 Damodar Colony Garh Road Meerut , Vill.- Garh Road, Tehsil- Meerut, Distt.- Meerut, Uttar Pradesh, Pin Code- 250004",Anand Nirogdham Hospital Pvt Ltd,Meerut,Uttar Pradesh,Private,ANM | B.Sc(N) | GNM,30 (Thirty) | 40 (Forty) | 40 (Forty),110,250004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
Uttar Pradesh|Kanpur Nagar|ANANDA SCHOOL OF NURSING,Ananda School Of Nursing,"Ananda School Of Nursing, Phuphuwar Suithok, Narwal Road Near Mawaiya, Sarsaul Teh. Narwal, Vill.- Kanpur Nagar, Tehsil- Sarsaul, Distt.- Kanpur Nagar, Uttar Pradesh, Pin Code- 209402",Ananda Buddha Charitable Foundation Society,Kanpur Nagar,Uttar Pradesh,Private,GNM,40 (Forty),40,209402,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Lucknow|ANKERITE INTERNATIONAL INSTITUTE OF MEDICAL SCIENCES,Ankerite International Institute Of Medical Sciences,"Ankerite International Institute Of Medical Sciences, C.R.P.F Chauraha, Post - Mati, Mati Road, Bijnour, , Lucknow, Distt.- Lucknow, Uttar Pradesh, Pin Code- 226002",Ankerite Sewa Sansthan,Lucknow,Uttar Pradesh,Private,B.Sc(N) | ANM | GNM,40 (Forty) | 40 (Forty) | 40 (Forty),120,226002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Bareilly|ANUBIS INSTITUTE OF MEDICAL SCIENCES,Anubis Institute Of Medical Sciences,"Anubis Institute Of Medical Sciences, Nh-24, Vill Parora, Meerganj, , Bareilly, Distt.- Bareilly, Uttar Pradesh, Pin Code- 243504",Baba Educational Trust,Bareilly,Uttar Pradesh,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,243504,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Varanasi|APEX COLLEGE OF NURSING,Apex College Of Nursing,"Apex College Of Nursing, S. M. Plot No. 80, , Vill.- Mauza Bhikharipur Khurd, Tehsil- Kashi Vidyapeeth, Distt.- Varanasi, Uttar Pradesh, Pin Code- 221004",Apex Welcare Pvt Ltd,Varanasi,Uttar Pradesh,Private,ANM | GNM | M. Sc (N) | B.Sc(N) | P B B.Sc(N),30 (Thirty) | 60 (Sixty) | 20 (Twenty) | 50 (Fifty) | 30 (Thirty),190,221004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Mirzapur|APEX TRUST NURSING COLLEGE,Apex Trust Nursing College,"Apex Trust Nursing College, Nh-35, Varanasi -Mirzapur Highway, Samaspur, Chunar, Distt.- Mirzapur, Uttar Pradesh, Pin Code- 231304",Apex Welcare Trust,Mirzapur,Uttar Pradesh,Private,P B B.Sc(N) | GNM | B.Sc(N),20 (Twenty) | 40 (Forty) | 40 (Forty),100,231304,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Kannauj|ARSHI NURSING AND PARAMEDICAL COLLEGE,Arshi Nursing And Paramedical College,"Arshi Nursing And Paramedical College, Gt Road Infront Of Navin Mandi Purwi Bypass Road, Vill.- Jalalpur Sarvan , Tehsil- Kannauj, Distt.- Kannauj, Uttar Pradesh, Pin Code- 209725",Arshi Minority Welfare Society,Kannauj,Uttar Pradesh,Private,GNM,20 (Twenty),20,209725,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Azamgarh|ASHADEEP NURSING COLLEGE AND PARAMEDICAL AZAMGARH,Ashadeep Nursing College And Paramedical Azamgarh,"Ashadeep Nursing College And Paramedical Azamgarh, Ashadeep Hospital Azamatgarh Near Sbi Bank, Azamatgarh, Distt.- Azamgarh, Uttar Pradesh, Pin Code- 276124",Ashadeep Educational Trust,Azamgarh,Uttar Pradesh,Private,ANM,40 (Forty),40,276124,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Varanasi|ASHIRVAD NURSING PARAMEDICAL INSTITUTE,Ashirvad Nursing Paramedical Institute,"Ashirvad Nursing Paramedical Institute, B-37/170-23, Girinagar Extension, Birdopur,Mahmoorganj, Varanasi , Vill.- Varanasi , Tehsil- Kashi Vidyapeeth, Distt.- Varanasi, Uttar Pradesh, Pin Code-",Ashirvad Sewa Sansthan,Varanasi,Uttar Pradesh,Private,GNM | ANM,60 (Sixty) | 50 (Fifty),110,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Jaunpur|ASHIRWAD NURSING AND PARAMEDICAL COLLEGE,Ashirwad Nursing And Paramedical College,"Ashirwad Nursing And Paramedical College, Village - Chhitauna, Vill.- Chitauna, Tehsil- Kerakat, Distt.- Jaunpur, Uttar Pradesh, Pin Code- 222136",Babu Baijnath Prasad Educational Trust,Jaunpur,Uttar Pradesh,Private,GNM,20 (Twenty),20,222136,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
Uttar Pradesh|Bareilly|ASIAN COLLEGE OF NURSING,Asian College Of Nursing,"Asian College Of Nursing, Behind Jeevan Jyoti Campus, Near Old Roadways, , Bareilly, Distt.- Bareilly, Uttar Pradesh, Pin Code- 243001",Rohailkhand Medical Educational Welfare Trust,Bareilly,Uttar Pradesh,Private,ANM,30 (Thirty),30,243001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:18.208163
