sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A B G Institute Of Paramedical Sciences,"A B G Institute Of Paramedical Sciences, Mehmudpur Barse, Sasni , Distt.- Hathras, Uttar Pradesh, Pin Code- 204216",Shri Abg Dharmarth Sansthan,Hathras,Uttar Pradesh,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
1,A B G Institute Of Paramedical Sciences,"A B G Institute Of Paramedical Sciences, Mehmudpur Barse, Sasni , Distt.- Hathras, Uttar Pradesh, Pin Code- 204216",Shri Abg Dharmarth Sansthan,Hathras,Uttar Pradesh,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
1,A B G Institute Of Paramedical Sciences,"A B G Institute Of Paramedical Sciences, Mehmudpur Barse, Sasni , Distt.- Hathras, Uttar Pradesh, Pin Code- 204216",Shri Abg Dharmarth Sansthan,Hathras,Uttar Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
2,A K G Institute Of Nursing,"A K G Institute Of Nursing, Bhawani Pur, Chandrika Devi Road, Bakshi Ka Talab, Vill.- Bakshi Ka Talab , Tehsil- Lucknow, Distt.- Lucknow, Uttar Pradesh, Pin Code- 226201",A K G Trust,Lucknow,Uttar Pradesh,Private,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
2,A K G Institute Of Nursing,"A K G Institute Of Nursing, Bhawani Pur, Chandrika Devi Road, Bakshi Ka Talab, Vill.- Bakshi Ka Talab , Tehsil- Lucknow, Distt.- Lucknow, Uttar Pradesh, Pin Code- 226201",A K G Trust,Lucknow,Uttar Pradesh,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
2,A K G Institute Of Nursing,"A K G Institute Of Nursing, Bhawani Pur, Chandrika Devi Road, Bakshi Ka Talab, Vill.- Bakshi Ka Talab , Tehsil- Lucknow, Distt.- Lucknow, Uttar Pradesh, Pin Code- 226201",A K G Trust,Lucknow,Uttar Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
3,Aastha Nursing College,"Aastha Nursing College, Singhpur, Kanpur Nagar (U.P.) - 208017, Kanpur Nagar, Distt.- Kanpur Nagar, Uttar Pradesh, Pin Code- 208017",Deccan Health And Education Society,Kanpur Nagar,Uttar Pradesh,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
3,Aastha Nursing College,"Aastha Nursing College, Singhpur, Kanpur Nagar (U.P.) - 208017, Kanpur Nagar, Distt.- Kanpur Nagar, Uttar Pradesh, Pin Code- 208017",Deccan Health And Education Society,Kanpur Nagar,Uttar Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
4,Abhishek Nursing And Paramedical Institute,"Abhishek Nursing And Paramedical Institute, Lokmanya Tilak Nagar, Ward No 5, Chandauli, Distt.- Chandauli, Uttar Pradesh, Pin Code- 232104",Abhishek Sewa Sanstha,Chandauli,Uttar Pradesh,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
4,Abhishek Nursing And Paramedical Institute,"Abhishek Nursing And Paramedical Institute, Lokmanya Tilak Nagar, Ward No 5, Chandauli, Distt.- Chandauli, Uttar Pradesh, Pin Code- 232104",Abhishek Sewa Sanstha,Chandauli,Uttar Pradesh,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:40:11.179004
