inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Uttaranchal|Haridwar|AAROGYAM NURSING COLLEGE,Aarogyam Nursing College,"Aarogyam Nursing College, Nh-73, Po Bhagwanpur, Vill.- Karondhi, Tehsil- Bhagwan Pur, Distt.- Haridwar, Uttaranchal, Pin Code- 247661",Arogyam Educational Trust,Haridwar,Uttaranchal,Private,ANM | B.Sc(N) | P B B.Sc(N),20 (Twenty) | 90 (Ninety) | 20 (Twenty),130,247661,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Dehra Dun|ALL INDIA INSTITUTE OF MEDICAL SCIENCES COLLEGE OF NURSING,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Veerbhadra Marg, Pahulok, Rishikesh, Distt.- Dehra Dun, Uttaranchal, Pin Code- 249203",Ministry Of Health And Family Welfare,Dehra Dun,Uttaranchal,Government,B.Sc(N) | M. Sc (N),100 (One Hundred) | 25 Med-Surg-10 Paed-4 Psy-4 Obg- 4 Chn-3,125,249203,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Dehra Dun|ANMOL BHARATIYA UPCHAAR AND YOGA INSTITUTE,Anmol Bharatiya Upchaar And Yoga Institute,"Anmol Bharatiya Upchaar And Yoga Institute , Near Ujjwal Bhavan, Gms Road Ballupur Chowk Dehradun, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248001",Anmol Upchaar Evam Yoga Sansthan,Dehra Dun,Uttaranchal,Private,GNM,30 (Thirty),30,248001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Haridwar|ARIHANT COLLEGE OF NURSING,Arihant College Of Nursing,"Arihant College Of Nursing, Opp. Hotel Sarover Partico, Near Crystal World, Post-Daulatpur , Vill.- Badhedi- Shantarshah, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Arihant Educational Society,Haridwar,Uttaranchal,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),"30 (Thirty) | 40 (Forty) | 30 (Thirty) | 21 (Twenty One) Chn-05, Paed-05, Obg-05, Psy-03, Med-Surg-03 | 30 (Thirty)",151,249402,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Haridwar|BISHAMBER SAHAI MEDICAL COLLEGE & RESEARCH CENTRE,Bishamber Sahai Medical College & Research Centre,"Bishamber Sahai Medical College & Research Centre, 6 Km Miles Stone, Delhi Dehradun Highway, Vill.- Saliyar, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 247667",Roop Chand Sharma Education Trust,Haridwar,Uttaranchal,Private,GNM | B.Sc(N),25 (Twenty Five) | 55 (Fifty Five),80,247667,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Haridwar|CHINMAYA ADVANCE RESEARCH EDUCATION CARE,Chinmaya Advance Research Education Care,"Chinmaya Advance Research Education Care, Rohalki Kishanpur Road , Haridwar , Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Chinmaya Advance Research Education Care,Haridwar,Uttaranchal,Private,ANM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),"30 (Thirty) | 60 (Sixty) | 24 (Twenty Four) Obg-8, Chn-4, Psy-4, Med-Surg-4, Paed-4 | 45 (Forty Five)",159,249402,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Dehra Dun|COMBINED ( P G) INSTITUTE OF MEDICAL SCIENCES,Combined ( P G) Institute Of Medical Sciences,"Combined ( P G) Institute Of Medical Sciences, Kuanwala, Harrawala, Haridwar Road, , Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248160",J J Educational Institute,Dehra Dun,Uttaranchal,Private,ANM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),30 (Thirty) | 40 (Forty) | 23 (Twenty Three) | 40 (Forty),133,248160,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Dehra Dun|D I T COLLEGE OF NURSING,D I T College Of Nursing,"D I T College Of Nursing, Brahman Gaon, Makkawala Mussoorie Diversion Roaddehradun, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248009",Unison Education Foundation,Dehra Dun,Uttaranchal,Private,B.Sc(N),60 (Sixty),60,248009,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Pauri|DEPARTMENT OF NURSING,Department Of Nursing,"Department Of Nursing, Bhagwant Global University, Jhandi Chaur, Haridwar Road, , Vill.- Uttari, Tehsil- Dugadda, Distt.- Pauri, Uttaranchal, Pin Code- 246149",Bhagwant Education Foundation,Pauri,Uttaranchal,Private,GNM,50 (Fifty),50,246149,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Udham Singh Nagar|DEVSTHALI VIDYAPEETH COLLEGE OF NURSING,Devsthali Vidyapeeth College Of Nursing,"Devsthali Vidyapeeth College Of Nursing , Vill-Kachhi Khamaria, Po- Lalpur( Via- Kichha), Dist- Udham Singh Nagar, Uttarakhand, Rudrapur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263148",Devbhumi Shiksha Prasar Samiti,Udham Singh Nagar,Uttaranchal,Private,GNM | B.Sc(N),40 (Forty) | 40 (Forty),80,263148,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Haridwar|DIVINE COLLEGE OF NURSING AND PARAMEDICAL SCIENCES,Divine College Of Nursing And Paramedical Sciences,"Divine College Of Nursing And Paramedical Sciences, Shyampur,Haridwar, Haridwar, Distt.- Haridwar, Uttaranchal, Pin Code- 249408",Divine International Foundation,Haridwar,Uttaranchal,Private,GNM | B.Sc(N),30 (Thirty) | 60 (Sixty),90,249408,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
Uttaranchal|Dehra Dun|DOON INSTITUTE OF MEDICAL SCIENCE FACULTY OF NURSING,Doon Institute Of Medical Science Faculty Of Nursing,"Doon Institute Of Medical Science Faculty Of Nursing, Shankarpur ,Hukumatpur,Sahaspur,, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248197",Smt Poorna Devi Memorial Trust,Dehra Dun,Uttaranchal,Private,GNM | B.Sc(N) | M. Sc (N),60 (Sixty) | 80 (Eighty) | 20 (Twenty) 04 In Each Subject,160,248197,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Udham Singh Nagar|DROAN COLLEGE OF NURSING,Droan College Of Nursing,"Droan College Of Nursing, Po - Khanpur Purab, Dineshpur Road, Rudrapur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263153",Droan Educational Society,Udham Singh Nagar,Uttaranchal,Private,ANM | GNM | B.Sc(N),20 (Twenty) | 50 (Fifty) | 40 (Forty),110,263153,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Haridwar|FACULTY OF NURSING MOTHERHOOD UNIVERSITY,Faculty Of Nursing Motherhood University,"Faculty Of Nursing Motherhood University, Roorkee Dehradun Road, Bhagwanpur, Vill.- Karaundi, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 247661",Motherhood Institute Of Management And Technology Society,Haridwar,Uttaranchal,Private,B.Sc(N),20 (Twenty),20,247661,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Chamoli|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Patiyaldhar, Gopeshwar, Chamoli, Distt.- Chamoli, Uttaranchal, Pin Code- 246424",Govt,Chamoli,Uttaranchal,Government,B.Sc(N),40 (Forty),40,246424,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Pauri|GOVERNMENT NURSING COLLEGE PAURI,Government Nursing College Pauri,"Government Nursing College Pauri, Village-Dobh-Srikot, P.0.-Gadwagaad Pauri Garhwall 246001, Dobh-Srikot, Distt.- Pauri, Uttaranchal, Pin Code- 246001",Uttarakhand,Pauri,Uttaranchal,Government,B.Sc(N),60 (Sixty),60,246001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Udham Singh Nagar|GOVERNMENT NURSING COLLEGE,Government Nursing College,"Government Nursing College, Bajpur, Government Nursing College, Rani Nagal (Fauzi Colony)Bajpur, Uttarakhand, Bajpur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 262401",Uttarakhand,Udham Singh Nagar,Uttaranchal,Government,B.Sc(N),33 (Thirty Three),33,262401,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Champawat|GOVERNMENT NURSING COLLEGE,Government Nursing College,"Government Nursing College, Champawat , Tarachaud, Punethi, Champawat, Champawat, Distt.- Champawat, Uttaranchal, Pin Code- 262523",Government Of Uttrakhand,Champawat,Uttaranchal,Government,B.Sc(N),33 (Thirty Three),33,262523,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Nainital|GOVERNMENT NURSING COLLEGE,Government Nursing College,"Government Nursing College, Haldwani, Rampur Road, Haldwani , Distt.- Nainital, Uttaranchal, Pin Code- 263139",N.A.,Nainital,Uttaranchal,Government,B.Sc(N),50 (Fifty),50,263139,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Udham Singh Nagar|GOVERNMENT SCHOOL OF NURSING,Government School Of Nursing,"Government School Of Nursing, Health Worker Female Training Centre, Gadarpur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263152",Na,Udham Singh Nagar,Uttaranchal,Government,ANM,20 (Twenty),20,263152,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
Uttaranchal|Dehra Dun|GOVERNMENT SCHOOL OF NURSING,Government School Of Nursing,"Government School Of Nursing, Ranipokhri, , Dehradun , Distt.- Dehra Dun, Uttaranchal, Pin Code- 248001",Govt. Of Uttarakhand,Dehra Dun,Uttaranchal,Government,ANM,20 (Twenty),20,248001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
