sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Aarogyam Nursing College,"Aarogyam Nursing College, Nh-73, Po Bhagwanpur, Vill.- Karondhi, Tehsil- Bhagwan Pur, Distt.- Haridwar, Uttaranchal, Pin Code- 247661",Arogyam Educational Trust,Haridwar,Uttaranchal,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
1,Aarogyam Nursing College,"Aarogyam Nursing College, Nh-73, Po Bhagwanpur, Vill.- Karondhi, Tehsil- Bhagwan Pur, Distt.- Haridwar, Uttaranchal, Pin Code- 247661",Arogyam Educational Trust,Haridwar,Uttaranchal,Private,B.Sc(N),90 (Ninety),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
1,Aarogyam Nursing College,"Aarogyam Nursing College, Nh-73, Po Bhagwanpur, Vill.- Karondhi, Tehsil- Bhagwan Pur, Distt.- Haridwar, Uttaranchal, Pin Code- 247661",Arogyam Educational Trust,Haridwar,Uttaranchal,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
2,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Veerbhadra Marg, Pahulok, Rishikesh, Distt.- Dehra Dun, Uttaranchal, Pin Code- 249203",Ministry Of Health And Family Welfare,Dehra Dun,Uttaranchal,Government,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
2,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Veerbhadra Marg, Pahulok, Rishikesh, Distt.- Dehra Dun, Uttaranchal, Pin Code- 249203",Ministry Of Health And Family Welfare,Dehra Dun,Uttaranchal,Government,M. Sc (N),25 Med-Surg-10 Paed-4 Psy-4 Obg- 4 Chn-3,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
3,Anmol Bharatiya Upchaar And Yoga Institute,"Anmol Bharatiya Upchaar And Yoga Institute , Near Ujjwal Bhavan, Gms Road Ballupur Chowk Dehradun, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248001",Anmol Upchaar Evam Yoga Sansthan,Dehra Dun,Uttaranchal,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
4,Arihant College Of Nursing,"Arihant College Of Nursing, Opp. Hotel Sarover Partico, Near Crystal World, Post-Daulatpur , Vill.- Badhedi- Shantarshah, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Arihant Educational Society,Haridwar,Uttaranchal,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
4,Arihant College Of Nursing,"Arihant College Of Nursing, Opp. Hotel Sarover Partico, Near Crystal World, Post-Daulatpur , Vill.- Badhedi- Shantarshah, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Arihant Educational Society,Haridwar,Uttaranchal,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
4,Arihant College Of Nursing,"Arihant College Of Nursing, Opp. Hotel Sarover Partico, Near Crystal World, Post-Daulatpur , Vill.- Badhedi- Shantarshah, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Arihant Educational Society,Haridwar,Uttaranchal,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
4,Arihant College Of Nursing,"Arihant College Of Nursing, Opp. Hotel Sarover Partico, Near Crystal World, Post-Daulatpur , Vill.- Badhedi- Shantarshah, Tehsil- Roorkee, Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Arihant Educational Society,Haridwar,Uttaranchal,Private,M. Sc (N),"21 (Twenty One) Chn-05, Paed-05, Obg-05, Psy-03, Med-Surg-03",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
