inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
West Bengal|Purulia|A N M (R) TRAINING SCHOOL,A N M (R) Training School,"A N M (R) Training School , Raghunathpur Sd/Ss Hospital, Barakar Road, Purulia, Distt.- Purulia, West Bengal, Pin Code- 723133",Govt. Of West Bengal,Purulia,West Bengal,Government,ANM | GNM,60 (Sixty) | 65 (Sixty Five),125,723133,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Murshidabad|A N M (R) NURSING TRAINING SCHOOL,A N M (R) Nursing Training School,"A N M (R) Nursing Training School, Domkal S D & S S H, Domkal, Domkal, Distt.- Murshidabad, West Bengal, Pin Code- 742303",Government Of West Bengal,Murshidabad,West Bengal,Government,ANM,50 (Fifty),50,742303,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|South 24 Parganas|A N M (R) TRAINING SCHOOL,A N M (R) Training School,"A N M (R) Training School, Diamond Harbour Government Medical College, Newtown, Diamond Harbour, Ward No-4, Diamond Harbour, Distt.- South 24 Parganas, West Bengal, Pin Code- 743331",Government Of West Bengal,South 24 Parganas,West Bengal,Government,ANM,50 (Fifty),50,743331,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Murshidabad|A N M (R) TRAINING SCHOOL,A N M (R) Training School,"A N M (R) Training School, Jangipur S D Hospital, P.O.- Raghunathganj, Jangipur, Distt.- Murshidabad, West Bengal, Pin Code- 742225",Govt. Of West Bengal,Murshidabad,West Bengal,Government,ANM | GNM,50 (Fifty) | 60 (Sixty),110,742225,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Kolkata|A N M (R) TRAINING SCHOOL,A N M (R) Training School,"A N M (R) Training School, Vidyasagar S G Hospital, Behala , Distt.- Kolkata, West Bengal, Pin Code- 700034",Govt. Of West Bengal,Kolkata,West Bengal,Government,ANM,60 (Sixty),60,700034,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|South 24 Parganas|A N M TRAINING SCHOOL,A N M Training School,"A N M Training School, Kakdwip Sub-Divisional Hospital, Village + Post- Subhasnagar, Vill.- Subhasnagar, Tehsil- Kakdwip, Distt.- South 24 Parganas, West Bengal, Pin Code- 743347",Govt. Of West Bengal,South 24 Parganas,West Bengal,Government,ANM,60 (Sixty),60,743347,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Paschim Bardhaman|ABS ACADEMY OF NURSING AND HEALTH SCIENCES,Abs Academy Of Nursing And Health Sciences,"Abs Academy Of Nursing And Health Sciences, J.P Avenue, Sagarbhanga, Durgapur, Durgapur, Distt.- Paschim Bardhaman, West Bengal, Pin Code- 713211",Sarthak Educational Trust,Paschim Bardhaman,West Bengal,Private,GNM,60 (Sixty),60,713211,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Darjeeling|ADAN INSTITUE OF NURSING SCIENCE,Adan Institue Of Nursing Science,"Adan Institue Of Nursing Science, Milan More, Sisbari, P.O.-Champasari, P.S.-Pradhannagr, Dist-Darjeeling, Pin-734003, Siliguri, Distt.- Darjeeling, West Bengal, Pin Code- 734003",Hosana Welfare Society,Darjeeling,West Bengal,Private,GNM | B.Sc(N),60 (Sixty) | 40 (Forty),100,734003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Howrah|AGRAGATI INSTITUTE OF HEALTH SCIENCES NURSING EDUCATION UNIT,Agragati Institute Of Health Sciences Nursing Education Unit,"Agragati Institute Of Health Sciences Nursing Education Unit, Village P.O.-Rashpur, P.S.-Amta, , Distt.- Howrah, West Bengal, Pin Code- 711401",Agragati,Howrah,West Bengal,Private,GNM | B.Sc(N),60 (Sixty) | 60 (Sixty),120,711401,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Kolkata|ALIAH UNIVERSITY,Aliah University,"Aliah University, Department Of Nursing, 17, Gora Chand Road, Park Circus, Kolkata , Distt.- Kolkata, West Bengal, Pin Code- 700014",Government Of West Bengal,Kolkata,West Bengal,Government,B.Sc(N),60 (Sixty),60,700014,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Darjeeling|ANANDALOKE INSTITUTE OF NURSING EDUCATION,Anandaloke Institute Of Nursing Education,"Anandaloke Institute Of Nursing Education, Green Park Tea, Auction Road, Mallaguri, Siliguri, Distt.- Darjeeling, West Bengal, Pin Code- 734001",Skr Educational Foundation,Darjeeling,West Bengal,Private,GNM | B.Sc(N),60 (Sixty) | 55 (Fifty Five),115,734001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|North 24 Parganas|ANGEL DAY SCHOOL OF NURSING,Angel Day School Of Nursing,"Angel Day School Of Nursing, Vill: Rahana (2Nd More), P.O. Sadhanpur, P.S. Amdanga, Dist. North 24 Parganas, Pin: 743221, West Bengal, Barasat, Distt.- North 24 Parganas, West Bengal, Pin Code- 74",Angel Day School Trust,North 24 Parganas,West Bengal,Private,GNM,60 (Sixty),60,743221,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Paschim Bardhaman|ANNAPURNA NURSING INSTITUTE,Annapurna Nursing Institute,"Annapurna Nursing Institute, Rajbandh (Near Bankali Mandir) , P.S-Kanksha , P.O-Rajbandh , Durgapur, Distt.- Paschim Bardhaman, West Bengal, Pin Code- 713212",Annapurna Trust,Paschim Bardhaman,West Bengal,Private,GNM,40 (Forty),40,713212,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Kolkata|APOLLO COLLEGE OF NURSING,Apollo College Of Nursing,"Apollo College Of Nursing, Rgn/6/A/S/1044, Gopalpur Narayanpur, Battala, Battala, Distt.- Kolkata, West Bengal, Pin Code- 700136",Apollo Hospitals Educational Trust,Kolkata,West Bengal,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N) | Post Basic Diploma in Critical care nursing,100 (One Hundred) | 25 (Twenty Five) | 20 (Twenty) | 10 (Ten),155,700136,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|South 24 Parganas|ASHSHEEFA INSTITUTE OF NURSING,Ashsheefa Institute Of Nursing,"Ashsheefa Institute Of Nursing, Jaganathpur, Sahararhat, Falta, 24 Pgs(S), Sahararhat, Distt.- South 24 Parganas, West Bengal, Pin Code- 743504",Ashsheefa Group,South 24 Parganas,West Bengal,Private,GNM,60 (Sixty),60,743504,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Kolkata|B M BIRLA COLLEGE OF NURSING,B M Birla College Of Nursing,"B M Birla College Of Nursing, P.O.- Rasapunja, Near Military Camp, Bakhrahat Road, P.S.- Bishnupur, Kolkata, Distt.- Kolkata, West Bengal, Pin Code- 700104",The Calcutta Medical Research Institute,Kolkata,West Bengal,Private,B.Sc(N) | M. Sc (N),"50 (Fifty) | 27; Obg-5, Paed-5, Chn-5, Med-Srug-8, Psy-4",77,700104,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Kolkata|B P PODDAR PARVATI DEVI ACADEMY OF NURSING,B P Poddar Parvati Devi Academy Of Nursing,"B P Poddar Parvati Devi Academy Of Nursing, 46, Manujendra Dutta Road, Gorabazar , Kolkata, Distt.- Kolkata, West Bengal, Pin Code- 700028",B.P. Poddar And Parvati Devi Foundation For Education,Kolkata,West Bengal,Private,GNM | B.Sc(N),60 (Sixty) | 60 (Sixty),120,700028,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Murshidabad|BASUMATI INSTITUTE OF NURSING,Basumati Institute Of Nursing,"Basumati Institute Of Nursing, P.O.- Bokhara, P.S.- Sagardighi, Vill.- Bokhara, Tehsil- Sagardighi, Distt.- Murshidabad, West Bengal, Pin Code- 742226",Florence Nightingale Welfare Trust,Murshidabad,West Bengal,Private,GNM,60 (Sixty),60,742226,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Paschim Bardhaman|BCET INSTITUTE OF NURSING SCIENCES,Bcet Institute Of Nursing Sciences,"Bcet Institute Of Nursing Sciences, Shilpo Kanon Road, Bidhannagar (Near Hudco More), Durgapur, Distt.- Paschim Bardhaman, West Bengal, Pin Code- 713212",S K S Educational And Social Trust,Paschim Bardhaman,West Bengal,Private,GNM | B.Sc(N),30 (Thirty) | 30 (Thirty),60,713212,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
West Bengal|Bankura|BELARANI INSTITUTE OF NURSING,Belarani Institute Of Nursing,"Belarani Institute Of Nursing, Nh-60, Vivekanandanagar, P.O- Damodarbati, P.S- Onda, Bankura, Distt.- Bankura, West Bengal, Pin Code- 722144",Belarani Education Trust,Bankura,West Bengal,Private,B.Sc(N) | GNM,60 (Sixty) | 60 (Sixty),120,722144,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
West Bengal|Murshidabad|BHAGWANGOLA NURSING INSTITUTE,Bhagwangola Nursing Institute,"Bhagwangola Nursing Institute, Vill-Kanapukur, P.O. &Amp; P.S.-Bhagwangola, Bhagwangola, Distt.- Murshidabad, West Bengal, Pin Code- 742135",Fajila Begum Educational And Welfare Trust,Murshidabad,West Bengal,Private,GNM | B.Sc(N),60 (Sixty) | 60 (Sixty),120,742135,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
West Bengal|South 24 Parganas|BHARAT SEVASHRAM SANGHA SCHOOL OF NURSING,Bharat Sevashram Sangha School Of Nursing,"Bharat Sevashram Sangha School Of Nursing, Bharat Sevashram Sangha Hospital, Diamond Harbour Road, P.O. Pailan, Kolkata, Distt.- South 24 Parganas, West Bengal, Pin Code- 700104",Bharat Sevashram Sangha,South 24 Parganas,West Bengal,Private,GNM,20 (Twenty),20,700104,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
West Bengal|Bankura|BISHNUPUR PUBLIC SCHOOL AND COLLEGE OF NURSING,Bishnupur Public School And College Of Nursing,"Bishnupur Public School And College Of Nursing, Vill- Ramananda Nagar (Chougan), P.O. &Amp; P.S.- Bishnupur, Bishnupur, Distt.- Bankura, West Bengal, Pin Code- 722122",Bishnupur Public Education Society,Bankura,West Bengal,Private,B.Sc(N) | GNM,60 (Sixty) | 60 (Sixty),120,722122,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
West Bengal|South 24 Parganas|BUDGE BUDGE INSTITUTE OF NURSING,Budge Budge Institute Of Nursing,"Budge Budge Institute Of Nursing, Chandipur More, Birlapur Road, P.S.: Nodakhali, P.O.: B Chandipur, Kolkata, Distt.- South 24 Parganas, West Bengal, Pin Code- 700137",Amanat Foundation,South 24 Parganas,West Bengal,Private,GNM,60 (Sixty),60,700137,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
West Bengal|North 24 Parganas|CARE AND CURE INSTITUTION OF NURSING AND RESEARCH,Care And Cure Institution Of Nursing And Research,"Care And Cure Institution Of Nursing And Research , S.N. Road, Nabapally, Barasat, Barasat, Distt.- North 24 Parganas, West Bengal, Pin Code- 700126",Ccnr,North 24 Parganas,West Bengal,Private,GNM | B.Sc(N),60 (Sixty) | 60 (Sixty),120,700126,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
West Bengal|South 24 Parganas|CHANDRAKANT INSTITUTE OF NURSING AND HEALTH SCIENCES,Chandrakant Institute Of Nursing And Health Sciences,"Chandrakant Institute Of Nursing And Health Sciences, Sitala (East), Malipukuria, P.O Sonarpur, Kolkata, Distt.- South 24 Parganas, West Bengal, Pin Code- 700150","Liver Foundation, West Bengal",South 24 Parganas,West Bengal,Private,GNM,50 (Fifty),50,700150,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
West Bengal|North 24 Parganas|CHARNOCK SCHOOL OF NURSING CHARNOCK HEALTH CARE INSTITUTE,Charnock School Of Nursing Charnock Health Care Institute,"Charnock School Of Nursing Charnock Health Care Institute, Synthesis Building Unit 4, Cbd 1, Action Area Ii, New Town , Kolkata, Distt.- North 24 Parganas, West Bengal, Pin Code- 700156",Charnock Healthcare Institute,North 24 Parganas,West Bengal,Private,GNM | B.Sc(N) | M. Sc (N),"100 (One Hundred) | 100 (One Hundred) | 25 (Twenty Five) OBG-05, CHN-05, MED-SURG.-11, PEAD- 02, PSY- 02",225,700156,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
West Bengal|Kolkata|CHITTARANJAN NATIONAL CANCER INSTITUTE,Chittaranjan National Cancer Institute,"Chittaranjan National Cancer Institute, Street No.299, Plot No. Dj – 01, Premises No. 02-0321, Action Area Id, New Town, Kolkata, Distt.- Kolkata, West Bengal, Pin Code- 700160",Chittaranjan National Cancer Institute,Kolkata,West Bengal,Government,Post Basic Diploma in Oncology Nursing,10 (Ten),10,700160,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:44:02.464237
