sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A N M (R) Training School,"A N M (R) Training School , Raghunathpur Sd/Ss Hospital, Barakar Road, Purulia, Distt.- Purulia, West Bengal, Pin Code- 723133",Govt. Of West Bengal,Purulia,West Bengal,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
1,A N M (R) Training School,"A N M (R) Training School , Raghunathpur Sd/Ss Hospital, Barakar Road, Purulia, Distt.- Purulia, West Bengal, Pin Code- 723133",Govt. Of West Bengal,Purulia,West Bengal,Government,GNM,65 (Sixty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
2,A N M (R) Nursing Training School,"A N M (R) Nursing Training School, Domkal S D & S S H, Domkal, Domkal, Distt.- Murshidabad, West Bengal, Pin Code- 742303",Government Of West Bengal,Murshidabad,West Bengal,Government,ANM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
3,A N M (R) Training School,"A N M (R) Training School, Diamond Harbour Government Medical College, Newtown, Diamond Harbour, Ward No-4, Diamond Harbour, Distt.- South 24 Parganas, West Bengal, Pin Code- 743331",Government Of West Bengal,South 24 Parganas,West Bengal,Government,ANM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
4,A N M (R) Training School,"A N M (R) Training School, Jangipur S D Hospital, P.O.- Raghunathganj, Jangipur, Distt.- Murshidabad, West Bengal, Pin Code- 742225",Govt. Of West Bengal,Murshidabad,West Bengal,Government,ANM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
4,A N M (R) Training School,"A N M (R) Training School, Jangipur S D Hospital, P.O.- Raghunathganj, Jangipur, Distt.- Murshidabad, West Bengal, Pin Code- 742225",Govt. Of West Bengal,Murshidabad,West Bengal,Government,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
5,A N M (R) Training School,"A N M (R) Training School, Vidyasagar S G Hospital, Behala , Distt.- Kolkata, West Bengal, Pin Code- 700034",Govt. Of West Bengal,Kolkata,West Bengal,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
6,A N M Training School,"A N M Training School, Kakdwip Sub-Divisional Hospital, Village + Post- Subhasnagar, Vill.- Subhasnagar, Tehsil- Kakdwip, Distt.- South 24 Parganas, West Bengal, Pin Code- 743347",Govt. Of West Bengal,South 24 Parganas,West Bengal,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
7,Abs Academy Of Nursing And Health Sciences,"Abs Academy Of Nursing And Health Sciences, J.P Avenue, Sagarbhanga, Durgapur, Durgapur, Distt.- Paschim Bardhaman, West Bengal, Pin Code- 713211",Sarthak Educational Trust,Paschim Bardhaman,West Bengal,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
8,Adan Institue Of Nursing Science,"Adan Institue Of Nursing Science, Milan More, Sisbari, P.O.-Champasari, P.S.-Pradhannagr, Dist-Darjeeling, Pin-734003, Siliguri, Distt.- Darjeeling, West Bengal, Pin Code- 734003",Hosana Welfare Society,Darjeeling,West Bengal,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
8,Adan Institue Of Nursing Science,"Adan Institue Of Nursing Science, Milan More, Sisbari, P.O.-Champasari, P.S.-Pradhannagr, Dist-Darjeeling, Pin-734003, Siliguri, Distt.- Darjeeling, West Bengal, Pin Code- 734003",Hosana Welfare Society,Darjeeling,West Bengal,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
9,Agragati Institute Of Health Sciences Nursing Education Unit,"Agragati Institute Of Health Sciences Nursing Education Unit, Village P.O.-Rashpur, P.S.-Amta, , Distt.- Howrah, West Bengal, Pin Code- 711401",Agragati,Howrah,West Bengal,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
9,Agragati Institute Of Health Sciences Nursing Education Unit,"Agragati Institute Of Health Sciences Nursing Education Unit, Village P.O.-Rashpur, P.S.-Amta, , Distt.- Howrah, West Bengal, Pin Code- 711401",Agragati,Howrah,West Bengal,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
10,Aliah University,"Aliah University, Department Of Nursing, 17, Gora Chand Road, Park Circus, Kolkata , Distt.- Kolkata, West Bengal, Pin Code- 700014",Government Of West Bengal,Kolkata,West Bengal,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
11,Anandaloke Institute Of Nursing Education,"Anandaloke Institute Of Nursing Education, Green Park Tea, Auction Road, Mallaguri, Siliguri, Distt.- Darjeeling, West Bengal, Pin Code- 734001",Skr Educational Foundation,Darjeeling,West Bengal,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
11,Anandaloke Institute Of Nursing Education,"Anandaloke Institute Of Nursing Education, Green Park Tea, Auction Road, Mallaguri, Siliguri, Distt.- Darjeeling, West Bengal, Pin Code- 734001",Skr Educational Foundation,Darjeeling,West Bengal,Private,B.Sc(N),55 (Fifty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
12,Angel Day School Of Nursing,"Angel Day School Of Nursing, Vill: Rahana (2Nd More), P.O. Sadhanpur, P.S. Amdanga, Dist. North 24 Parganas, Pin: 743221, West Bengal, Barasat, Distt.- North 24 Parganas, West Bengal, Pin Code- 74",Angel Day School Trust,North 24 Parganas,West Bengal,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
13,Annapurna Nursing Institute,"Annapurna Nursing Institute, Rajbandh (Near Bankali Mandir) , P.S-Kanksha , P.O-Rajbandh , Durgapur, Distt.- Paschim Bardhaman, West Bengal, Pin Code- 713212",Annapurna Trust,Paschim Bardhaman,West Bengal,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:56.143278
